Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Цумадинская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749					
1	"Число избирателей, внесенных в список избирателей"	14041	760	777	417	327	78	889	151	280	555	139	272	68	353	824	776	121	73	76	64	265	306	58	668	147	366	104	234	93	71	112	183	179	356	708	103	241	179	106	183	145	73	142	196	238	208	172	319	66	97	119	226	61	146	75	96					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	715	765	380	300	74	878	145	266	478	133	260	65	340	685	644	115	70	71	63	252	285	54	540	147	338	100	224	90	68	106	175	170	338	672	97	240	170	100	179	137	69	132	186	223	168	143	300	62	92	112	222	58	138	72	94					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12990	715	762	377	296	74	878	145	266	478	133	260	65	340	685	644	115	70	71	63	252	285	54	540	147	338	100	224	90	68	106	175	170	338	672	97	240	170	100	179	137	69	132	186	223	168	143	300	62	92	112	222	58	138	72	94					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	10	0	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12990	715	762	377	296	74	878	145	266	478	133	260	65	340	685	644	115	70	71	63	252	285	54	540	147	338	100	224	90	68	106	175	170	338	672	97	240	170	100	179	137	69	132	186	223	168	143	300	62	92	112	222	58	138	72	94					
9	Число недействительных избирательных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	12989	714	762	377	296	74	878	145	266	478	133	260	65	340	685	644	115	70	71	63	252	285	54	540	147	338	100	224	90	68	106	175	170	338	672	97	240	170	100	179	137	69	132	186	223	168	143	300	62	92	112	222	58	138	72	94					
