Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Шиханская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №1819	УИК №1820					
1	"Число избирателей, внесенных в список избирателей"	5374	2589	2785					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5500	2750	2750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3188	1534	1654					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	244	126	118					
6	Число погашенных избирательных бюллетеней	2068	1090	978					
7	Число избирательных бюллетеней в переносных ящиках для голосования	244	126	118					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3185	1531	1654					
9	Число недействительных избирательных бюллетеней	74	44	30					
10	Число действительных избирательных бюллетеней	3355	1613	1742					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	65	44	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	21	18					
14	Число погашенных неиспользованных открепительных удостоверений	35	6	29					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	3					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	553	282	271					
		16.13%	17.02%	15.29%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	418	187	231					
		12.19%	11.29%	13.04%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	18	13					
		0.90%	1.09%	0.73%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	641	320	321					
		18.69%	19.31%	18.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	83	42	41					
		2.42%	2.53%	2.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1615	760	855					
		47.10%	45.87%	48.25%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	4	10					
		0.41%	0.24%	0.56%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
