Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Тербунская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808					
1	"Число избирателей, внесенных в списки"	17834	629	364	487	453	173	566	530	208	376	550	252	135	575	267	129	534	112	198	458	320	125	481	1022	371	998	944	588	1053	904	875	1050	435	314	652	268	438					
2	"Число бюллетеней, полученных участковыми комиссиями"	17660	637	360	488	434	167	574	533	226	377	543	246	138	578	262	124	530	114	195	462	312	124	476	1017	366	965	924	563	1029	890	855	1041	437	313	655	270	435					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8047	269	182	264	240	80	159	260	108	189	256	124	94	258	46	52	237	49	114	147	229	81	263	339	215	452	506	275	465	408	414	342	214	149	265	94	208					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2267	106	78	70	63	60	62	61	50	86	107	40	20	79	121	53	108	30	24	98	24	17	97	210	50	19	7	19	21	28	9	157	48	23	48	78	96					
6	Число погашенных бюллетеней	7346	262	100	154	131	27	353	212	68	102	180	82	24	241	95	19	185	35	57	217	59	26	116	468	101	494	411	269	543	454	432	542	175	141	342	98	131					
7	Число бюллетеней в переносных ящиках для голосования	2267	106	78	70	63	60	62	61	50	86	107	40	20	79	121	53	108	30	24	98	24	17	97	210	50	19	7	19	21	28	9	157	48	23	48	78	96					
8	Число бюллетеней в стационарных ящиках для голосования	8035	269	182	264	240	80	159	260	108	189	256	124	94	258	46	52	237	49	114	147	229	81	263	339	215	452	506	275	463	399	414	342	214	149	265	93	208					
9	Число недействительных бюллетеней	174	2	5	14	3	1	3	5	4	3	6	1	2	9	0	7	10	0	8	10	0	0	2	1	6	9	4	7	4	9	1	3	8	4	12	2	9					
10	Число действительных бюллетеней	10128	373	255	320	300	139	218	316	154	272	357	163	112	328	167	98	335	79	130	235	253	98	358	548	259	462	509	287	480	418	422	496	254	168	301	169	295					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	360	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	9	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	3	3	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	351	10	10	10	9	10	9	10	10	10	10	10	9	10	10	10	10	10	10	9	10	10	10	10	10	9	10	10	10	10	8	10	9	10	9	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	138	3	6	8	8	3	0	7	3	4	2	0	1	2	5	4	6	1	0	6	1	1	3	6	8	6	4	2	2	3	7	4	2	3	4	2	11					
		1.33%	0.8%	2.30%	2.39%	2.64%	2.14%	0.0%	2.18%	1.89%	1.45%	0.55%	0.0%	0.87%	0.59%	2.99%	3.80%	1.73%	1.26%	0.0%	2.44%	0.39%	1.02%	0.83%	1.09%	3.01%	1.27%	0.77%	0.68%	0.41%	0.70%	1.65%	0.80%	0.76%	1.74%	1.27%	1.16%	3.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	163	8	4	7	7	2	3	10	0	2	4	1	2	3	3	2	6	0	1	0	3	0	0	10	5	9	13	5	9	13	11	9	2	2	3	1	3					
