Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Кочевская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5022									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9142	1530	1495	192	476	193	319	195	104	463	194	653	209	637	185	111	170	569	226	384	597	240									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9090	1540	1490	190	480	190	320	190	100	460	190	660	210	620	180	100	170	570	230	380	590	230									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2989	495	461	61	171	58	115	55	40	116	74	204	64	246	72	44	50	160	73	168	188	74									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	159	6	4	4	2	4	11	2	1	9	14	14	13	23	5	0	16	6	2	3	14	6									
6	Число погашенных избирательных бюллетеней	5942	1039	1025	125	307	128	194	133	59	335	102	442	133	351	103	56	104	404	155	209	388	150									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	159	6	4	4	2	4	11	2	1	9	14	14	13	23	5	0	16	6	2	3	14	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2986	495	461	61	171	58	113	55	40	116	74	204	64	246	72	44	50	160	73	167	188	74									
9	Число недействительных избирательных бюллетеней	158	24	13	3	7	5	5	0	3	7	6	8	7	19	4	0	2	7	5	4	26	3									
10	Число действительных избирательных бюллетеней	2987	477	452	62	166	57	119	57	38	118	82	210	70	250	73	44	64	159	70	166	176	77									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	275	35	35	5	15	5	10	10	5	15	5	20	10	20	5	5	5	15	10	15	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	31	6	5	0	1	0	1	0	0	4	0	2	0	2	0	0	0	3	4	0	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	2	3	0	2	1	2	2	0	1	1	0	1	0	0	1	2	0	2	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	244	29	30	5	14	5	9	10	5	11	5	18	10	18	5	5	5	12	6	15	17	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	4	3	0	1	0	0	2	0	0	0	0	0	0	1	0	0	4	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	2	2	0	0	0	0	0	0	0	2	2	0	3	0	0	0	1	2	0	2	1									
