Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
"Наименование Избирательной комиссии:    Нижний Тагил, Ленинская"																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236					
1	"Число избирателей, внесенных в списки избирателей"	94215	2172	1873	1411	1564	1657	1836	1622	2402	2174	1927	2205	2006	1735	1881	2039	2010	2246	2443	2013	1842	2264	2147	1648	2147	2887	2463	2462	2229	2315	1920	2794	2455	2285	2390	1907	2362	516	769	441	1763	1374	1506	2389	1194	632	807	2056	2053	2106	876					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	88850	2100	1800	1300	1500	1500	1800	1600	2200	2100	1800	2000	1900	1700	1800	2000	1900	2100	2400	2200	1700	2300	1800	1500	2000	2800	2400	2300	2100	2200	1800	2600	2300	2200	2300	1900	2100	450	650	400	1600	1200	1400	2200	1100	550	700	1900	1900	1900	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	58777	1367	1162	904	1042	1071	1165	932	1528	1443	1278	1423	1282	1088	1214	1401	1273	1410	1597	1066	1094	1341	1435	1027	1274	1779	1523	1582	1428	1405	1262	1712	1452	1434	1525	1293	1230	277	338	194	1044	689	929	1385	638	389	554	1436	1410	1197	855					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2322	46	41	33	27	36	23	262	30	43	47	51	43	25	62	25	40	34	22	272	49	32	30	18	34	28	27	27	39	54	29	89	17	16	17	20	29	30	37	29	23	30	9	30	41	36	82	51	44	143	20					
6	Число погашенных избирательных бюллетеней	27751	687	597	363	431	393	612	406	642	614	475	526	575	587	524	574	587	656	781	862	557	927	335	455	692	993	850	691	633	741	509	799	831	750	758	587	841	143	275	177	533	481	462	785	421	125	64	413	446	560	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2321	46	41	33	27	36	23	262	30	43	47	51	43	25	62	25	40	34	22	272	49	32	30	17	34	28	27	27	39	54	29	89	17	16	17	20	29	30	37	29	23	30	9	30	41	36	82	51	44	143	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58756	1366	1162	904	1042	1071	1163	932	1528	1441	1275	1423	1282	1088	1214	1401	1273	1410	1597	1066	1092	1341	1433	1027	1273	1779	1523	1580	1428	1405	1262	1712	1452	1434	1525	1293	1229	277	338	194	1044	689	928	1383	638	389	554	1436	1409	1196	855					
9	Число недействительных избирательных бюллетеней	709	19	16	9	14	13	7	5	14	8	22	22	10	19	18	16	22	23	28	14	13	13	13	21	12	16	15	17	16	9	9	24	20	15	12	16	15	6	7	5	10	11	6	15	4	4	4	19	28	23	12					
10	Число действительных избирательных бюллетеней	60368	1393	1187	928	1055	1094	1179	1189	1544	1476	1300	1452	1315	1094	1258	1410	1291	1421	1591	1324	1128	1360	1450	1023	1295	1791	1535	1590	1451	1450	1282	1777	1449	1435	1530	1297	1243	301	368	218	1057	708	931	1398	675	421	632	1468	1425	1316	863					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1535	40	40	20	30	20	40	20	40	55	30	30	30	40	40	30	30	30	40	40	30	40	30	25	30	40	45	30	30	35	40	50	30	55	35	30	20	15	20	10	25	20	30	50	20	10	5	30	30	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1214	31	26	19	22	14	31	12	33	34	21	29	29	30	33	28	28	22	32	33	21	36	19	19	27	40	38	24	27	30	27	36	28	38	35	26	19	10	6	2	25	10	29	36	13	5	2	28	30	21	0					
