Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
"Наименование Избирательной комиссии:    Нижний Тагил, Ленинская "																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №648	УИК №654	УИК №667	УИК №691	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237					
1	"Число избирателей, внесенных в список избирателей"	93379	522	1263	77	201	2056	1689	1319	1421	1474	1727	1575	2363	2071	1853	1928	1971	1719	1750	2000	1886	2120	2331	2014	1837	2227	1428	1573	2556	2493	2363	2341	2101	2186	1863	2547	2361	2223	2262	1878	2426	473	755	531	1893	1514	1392	2448	1793	687	711	1997	1956	2053	880	301					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90600	500	1200	70	180	2000	1700	1300	1400	1500	1700	1200	2300	2000	1800	1900	1900	1700	1700	2000	1900	2100	2300	1900	1800	2300	1400	1500	2500	2500	2400	2300	2100	2100	1800	2500	2300	2200	2200	1900	2300	400	700	500	1800	1400	1300	2300	1600	600	500	2000	2000	2000	900	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	48033	195	580	44	106	1116	873	677	810	888	962	777	1194	1112	1004	1169	1091	922	1022	1050	949	1154	1292	735	889	1077	678	884	1277	1229	1283	1305	1143	1126	1040	1375	1158	1062	1238	959	935	199	243	201	792	540	674	1186	777	326	428	1213	1201	1000	840	33					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2029	78	139	6	34	35	41	16	23	32	31	277	23	39	25	32	22	36	29	24	27	32	27	133	38	37	28	18	26	18	19	23	42	45	20	25	12	33	14	23	26	10	20	25	38	41	11	25	31	23	9	31	24	90	40	3					
6	Число погашенных избирательных бюллетеней	40457	227	481	20	40	849	786	607	567	580	707	146	1083	849	771	699	787	742	649	926	924	914	981	1032	873	1186	694	598	1197	1253	1098	972	915	929	740	1100	1130	1105	948	918	1339	191	437	274	970	819	615	1089	792	251	63	756	775	910	20	133					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2110	78	139	6	34	35	41	16	23	32	31	277	23	39	25	32	22	36	29	24	27	32	27	133	38	37	28	18	26	18	19	23	42	45	20	25	12	33	14	23	26	10	20	25	38	41	11	25	31	23	9	31	24	90	40	84					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48022	195	580	44	106	1115	873	677	810	888	962	777	1194	1112	1004	1166	1090	922	1022	1049	949	1154	1292	735	889	1077	678	884	1276	1229	1283	1305	1143	1126	1040	1373	1158	1062	1238	959	935	199	243	201	792	540	674	1186	777	326	428	1213	1201	998	840	33					
9	Число недействительных избирательных бюллетеней	1292	4	16	0	3	37	13	11	18	23	20	44	21	29	25	28	22	24	19	29	0	30	34	28	29	43	17	29	61	14	34	31	22	22	16	42	40	24	28	31	31	2	11	9	13	13	11	25	18	9	6	29	42	25	84	3					
10	Число действительных избирательных бюллетеней	48840	269	703	50	137	1113	901	682	815	897	973	1010	1196	1122	1004	1170	1090	934	1032	1044	976	1156	1285	840	898	1071	689	873	1241	1233	1268	1297	1163	1149	1044	1356	1130	1071	1224	951	930	207	252	217	817	568	674	1186	790	340	431	1215	1183	1063	796	114					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1475	20	25	10	10	20	25	25	30	25	25	30	40	45	25	30	30	25	30	30	25	30	35	30	30	30	25	25	30	35	35	40	35	25	30	40	35	30	50	40	20	10	10	10	30	20	20	40	30	10	10	40	30	30	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1174	13	24	2	7	15	23	18	25	23	25	21	36	37	21	28	30	22	27	26	21	26	28	28	17	27	24	20	27	30	30	36	31	19	22	28	29	20	38	31	15	4	5	3	15	10	14	36	28	3	1	38	25	19	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1183	15	30	5	5	28	17	22	16	19	34	28	35	23	27	23	18	15	37	6	27	14	16	25	11	15	14	15	13	13	17	36	14	17	13	18	11	9	17	16	18	10	9	12	10	19	7	22	20	6	70	38	6	33	158	11					
14	Число погашенных неиспользованных открепительных удостоверений	301	7	1	8	3	5	2	7	5	2	0	9	4	8	4	2	0	3	3	4	4	4	7	2	13	3	1	5	3	5	5	4	4	6	8	12	6	10	12	9	5	6	5	7	15	10	6	4	2	7	9	2	5	11	0	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	0	0	3	0	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12807	60	198	5	33	347	249	207	232	258	256	265	297	282	248	344	318	305	228	268	246	344	338	247	226	244	192	243	317	303	316	367	365	278	276	323	284	227	309	259	235	43	57	56	233	123	229	367	199	92	105	313	315	246	70	20					
		25.55%	21.98%	27.54%	10.00%	23.57%	30.17%	27.24%	29.87%	27.85%	28.04%	25.78%	25.14%	24.40%	24.50%	24.10%	28.71%	28.60%	31.84%	21.69%	24.98%	25.20%	29.01%	25.63%	28.46%	24.38%	21.90%	27.20%	26.94%	24.35%	24.30%	24.27%	27.64%	30.80%	23.74%	26.04%	23.10%	24.27%	20.73%	24.68%	26.37%	24.45%	20.57%	21.67%	24.78%	28.07%	21.17%	33.43%	30.31%	24.63%	26.36%	24.03%	25.16%	25.71%	22.61%	7.95%	17.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9175	47	159	19	30	167	146	125	119	142	156	164	229	172	167	143	166	176	178	177	184	190	238	158	137	241	139	161	230	240	239	277	171	203	199	289	229	240	251	196	194	44	45	33	182	149	132	233	177	82	79	229	241	218	224	19					
		18.30%	17.22%	22.11%	38.00%	21.43%	14.52%	15.97%	18.04%	14.29%	15.43%	15.71%	15.56%	18.82%	14.94%	16.23%	11.94%	14.93%	18.37%	16.94%	16.50%	18.85%	16.02%	18.04%	18.20%	14.78%	21.63%	19.69%	17.85%	17.67%	19.25%	18.36%	20.86%	14.43%	17.34%	18.77%	20.67%	19.57%	21.92%	20.05%	19.96%	20.19%	21.05%	17.11%	14.60%	21.93%	25.65%	19.27%	19.24%	21.91%	23.50%	18.08%	18.41%	19.67%	20.04%	25.45%	16.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	415	3	4	1	2	6	5	5	5	6	10	14	11	9	8	11	10	4	12	14	4	14	15	4	8	11	5	3	13	13	15	13	14	5	8	9	7	7	7	6	8	3	3	2	7	12	9	6	5	1	3	11	10	9	4	1					
		0.83%	1.10%	0.56%	2.00%	1.43%	0.52%	0.55%	0.72%	0.60%	0.65%	1.01%	1.33%	0.90%	0.78%	0.78%	0.92%	0.90%	0.42%	1.14%	1.30%	0.41%	1.18%	1.14%	0.46%	0.86%	0.99%	0.71%	0.33%	0.99%	1.04%	1.15%	0.98%	1.18%	0.43%	0.75%	0.64%	0.60%	0.64%	0.56%	0.61%	0.83%	1.44%	1.14%	0.88%	0.84%	2.07%	1.31%	0.50%	0.62%	0.29%	0.69%	0.88%	0.82%	0.83%	0.45%	0.85%					
