Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Шелковская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №457	УИК №458									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31725	385	1112	1039	1375	1482	1333	1377	555	1597	2252	2223	2447	1898	1023	815	1221	1355	1340	389	648	1354	2325	190	388	750	852									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30877	374	1082	1009	1336	1441	1296	1339	540	1552	2192	2159	2379	1836	995	792	1186	1317	1303	378	630	1316	2261	185	377	750	852									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29903	361	1052	970	1301	1389	1239	1301	522	1488	2130	2075	2311	1791	961	779	1135	1284	1261	371	606	1279	2178	179	359	740	841									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	175	3	7	6	8	9	11	11	4	12	15	13	11	8	4	2	3	5	3	1	3	10	16	4	6	0	0									
6	Число погашенных избирательных бюллетеней	799	10	23	33	27	43	46	27	14	52	47	71	57	37	30	11	48	28	39	6	21	27	67	2	12	10	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	175	3	7	6	8	9	11	11	4	12	15	13	11	8	4	2	3	5	3	1	3	10	16	4	6	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29903	361	1052	970	1301	1389	1239	1301	522	1488	2130	2075	2311	1791	961	779	1135	1284	1261	371	606	1279	2178	179	359	740	841									
9	Число недействительных избирательных бюллетеней	17	0	1	0	1	1	0	2	0	1	1	1	1	2	1	0	1	0	1	0	0	1	1	0	0	1	0									
10	Число действительных избирательных бюллетеней	30061	364	1058	976	1308	1397	1250	1310	526	1499	2144	2087	2321	1797	964	781	1137	1289	1263	372	609	1288	2193	183	365	739	841									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	233	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	21	92									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	1	2	1	4	0	3	5	1	2	2	2	1	5	0	1	1	1	0	0	1	0	0	0	0	10	62									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	128	4	3	4	1	5	2	0	4	3	3	3	4	0	5	4	4	4	5	5	4	5	5	5	5	11	30									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	0	2	1	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	4	0	0	2	19									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	73	2	4	7	3	8	1	2	1	2	6	1	13	2	1	0	8	1	7	0	1	0	0	0	1	0	2									
		0.24%	0.55%	0.38%	0.72%	0.23%	0.57%	0.08%	0.15%	0.19%	0.13%	0.28%	0.05%	0.56%	0.11%	0.10%	0.00%	0.70%	0.08%	0.55%	0.00%	0.16%	0.00%	0.00%	0.00%	0.27%	0.00%	0.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	605	6	17	18	18	15	39	25	14	33	39	43	39	58	14	12	17	9	19	6	12	39	61	3	10	19	20									
		2.01%	1.65%	1.61%	1.84%	1.38%	1.07%	3.12%	1.91%	2.66%	2.20%	1.82%	2.06%	1.68%	3.22%	1.45%	1.54%	1.49%	0.70%	1.50%	1.61%	1.97%	3.03%	2.78%	1.64%	2.74%	2.57%	2.38%									
