Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Карачевская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27759	1453	983	1106	1864	2165	1133	1140	933	1304	1290	492	744	1132	1329	1051	563	511	561	281	674	826	367	367	228	970	585	131	269	271	126	224	411	731	249	466	156	334	172	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27750	1450	975	1100	1850	2175	1125	1125	900	1300	1275	475	725	1025	1325	1050	575	525	575	275	675	825	350	350	225	1000	575	125	275	425	150	200	400	750	300	450	175	325	175	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16133	863	627	348	1101	1351	575	705	606	820	811	301	458	693	850	758	271	337	361	128	372	240	231	214	116	545	386	73	154	239	65	119	236	248	115	317	109	204	88	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1668	10	50	54	67	42	33	36	29	4	18	3	32	29	15	50	82	39	36	38	128	182	14	53	40	43	54	15	43	32	13	25	20	114	55	41	16	49	45	19									
6	Число погашенных избирательных бюллетеней	9949	577	298	698	682	782	517	384	265	476	446	171	235	303	460	242	222	149	178	109	175	403	105	83	69	412	135	37	78	154	72	56	144	388	130	92	50	72	42	58									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1668	10	50	54	67	42	33	36	29	4	18	3	32	29	15	50	82	39	36	38	128	182	14	53	40	43	54	15	43	32	13	25	20	114	55	41	16	49	45	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16124	863	627	348	1101	1351	575	705	606	811	811	301	458	693	850	758	271	337	361	128	372	240	231	214	116	545	386	73	154	239	65	119	236	248	115	317	109	204	88	98									
9	Число недействительных избирательных бюллетеней	183	0	4	5	28	23	8	1	11	0	7	0	5	29	2	17	2	2	8	0	0	1	0	2	0	3	2	0	0	5	0	0	3	4	2	2	1	0	6	0									
10	Число действительных избирательных бюллетеней	17609	873	673	397	1140	1370	600	740	624	815	822	304	485	693	863	791	351	374	389	166	500	421	245	265	156	585	438	88	197	266	78	144	253	358	168	356	124	253	127	117									
