Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кимрская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10947	1930	342	1446	1183	289	845	304	558	734	190	826	267	496	1537									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11006	1949	347	1483	1212	293	856	302	563	751	193	789	259	500	1509									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3713	726	103	431	372	91	351	185	108	206	69	345	99	165	462									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	950	26	59	155	163	57	15	43	173	23	19	34	27	47	109									
6	Число погашенных избирательных бюллетеней	6343	1197	185	897	677	145	490	74	282	522	105	410	133	288	938									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	950	26	59	155	163	57	15	43	173	23	19	34	27	47	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3713	726	103	431	372	91	351	185	108	206	69	345	99	165	462									
9	Число недействительных избирательных бюллетеней	73	16	1	5	7	2	8	2	0	10	1	13	1	1	6									
10	Число действительных избирательных бюллетеней	4590	736	161	581	528	146	358	226	281	219	87	366	125	211	565									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	35	5	18	40	8	20	7	9	11	5	9	6	9	23									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	72	4	2	18	12	4	5	7	1	4	0	0	4	1	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	10	1	10	5	5	1	5	3	3	2	10	12	3	41									
14	Число погашенных неиспользованных открепительных удостоверений	133	31	3	0	28	4	15	0	8	7	5	9	2	8	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	5	2	5	1	0	2	1	5	1	0	0	0	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	17	0	6	3	6	6	1	2	1	0	9	7	6	17									
		1.74%	2.26%	0.00%	1.02%	0.56%	4.05%	1.64%	0.44%	0.71%	0.44%	0.00%	2.37%	5.56%	2.83%	2.98%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	113	20	3	16	18	1	9	11	2	4	4	9	2	4	10									
		2.42%	2.66%	1.85%	2.73%	3.36%	0.68%	2.46%	4.82%	0.71%	1.75%	4.55%	2.37%	1.59%	1.89%	1.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	120	19	9	15	13	3	13	2	6	5	0	10	2	6	17									
		2.57%	2.53%	5.56%	2.56%	2.43%	2.03%	3.55%	0.88%	2.14%	2.18%	0.00%	2.64%	1.59%	2.83%	2.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2410	288	89	333	280	80	203	159	192	107	47	191	65	112	264									
		51.68%	38.30%	54.94%	56.83%	52.34%	54.05%	55.46%	69.74%	68.33%	46.72%	53.41%	50.40%	51.59%	52.83%	46.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	1	0	1	2	0	3	1	2	1	1	0	1	1	3									
