Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Кетченеровская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116					
1	"Число избирателей, внесенных в списки избирателей"	7410	597	460	646	684	430	229	479	153	437	83	653	332	277	605	99	676	570					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7109	553	418	594	619	399	211	487	140	426	97	625	341	268	571	93	704	563					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4460	291	249	329	333	229	143	248	122	316	67	561	181	220	353	66	358	394					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	574	18	8	45	37	16	7	89	18	97	16	13	41	9	72	5	63	20					
6	Число погашенных избирательных бюллетеней	2075	244	161	220	249	154	61	150	0	13	14	51	119	39	146	22	283	149					
7	Число избирательных бюллетеней в переносных ящиках для голосования	574	18	8	45	37	16	7	89	18	97	16	13	41	9	72	5	63	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4460	291	249	329	333	229	143	248	122	316	67	561	181	220	353	66	358	394					
9	Число недействительных избирательных бюллетеней	39	1	6	4	3	8	0	2	0	0	1	0	0	0	4	0	4	6					
10	Число действительных избирательных бюллетеней	4995	308	251	370	367	237	150	335	140	413	82	574	222	229	421	71	417	408					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	247	15	15	10	20	10	10	25	5	15	5	20	15	15	20	5	22	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	187	7	4	8	18	10	6	25	3	12	2	15	15	11	10	5	16	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	61	2	6	7	5	7	1	2	4	3	0	2	2	3	8	3	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	60	8	11	2	2	0	4	0	2	3	3	5	0	4	10	0	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	1.Политическая партия «Аграрная партия России»	165	15	6	12	7	16	4	6	1	9	0	34	4	2	21	5	15	8					
		3.28%	4.85%	2.33%	3.21%	1.89%	6.53%	2.67%	1.78%	0.71%	2.18%	0.00%	5.92%	1.80%	0.87%	4.94%	7.04%	3.56%	1.93%					
