Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Александровск-Сахалинская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15					
1	"Число избирателей, внесенных в список"	13247	270	611	243	113	1460	325	346	169	653	1294	1499	2104	2659	1455	46					
2	Число полученных избирательных бюллетеней	12810	230	620	250	110	1500	350	350	200	650	1200	1400	2000	2500	1400	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6355	133	294	176	79	719	210	148	90	230	546	745	1126	1299	519	41					
5	"Число избирательных бюллетеней, выданных вне помещения"	776	57	40	2	5	77	33	94	52	35	66	53	65	99	98	0					
6	Число погашенных избирательных бюллетеней	5679	40	286	72	26	704	107	108	58	385	588	602	809	1102	783	9					
7	Число избирательных бюллетеней в переносных ящиках	776	57	40	2	5	77	33	94	52	35	66	53	65	99	98	0					
8	Число бюллетеней в стационарных ящиках для голосования	6354	133	294	176	79	719	210	148	90	230	546	745	1125	1299	519	41					
9	Число недействительных избирательных бюллетеней	48	1	8	1	2	8	2	1	0	2	4	1	6	9	3	0					
10	Число действительных избирательных бюллетеней	7082	189	326	177	82	788	241	241	142	263	608	797	1184	1389	614	41					
11	Число полученных открепительных  удостоверений	213	10	15	10	10	20	10	20	10	15	13	20	23	27	10	0					
12	Число выданных открепительных удостоверений	127	2	3	9	0	13	7	15	5	5	6	16	20	21	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	1	2	4	3	3	5	8	2	1	3	12	2	8	2	0					
14	Число неиспользованных открепительных удостоверений	86	8	12	1	10	7	3	5	5	10	7	4	3	6	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	0	0	2	0	0	0	1	2	1	2	4	5	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	261	3	13	4	0	43	7	3	6	10	20	39	54	43	16	0					
		3.66%	1.58%	3.89%	2.25%	0.00%	5.40%	2.88%	1.24%	4.23%	3.77%	3.27%	4.89%	4.54%	3.08%	2.59%	0.00%					
19	. Малышкин Олег Александрович	165	2	8	0	3	26	11	6	7	6	18	15	26	22	13	2					
		2.31%	1.05%	2.40%	0.00%	3.57%	3.27%	4.53%	2.48%	4.93%	2.26%	2.94%	1.88%	2.18%	1.57%	2.11%	4.88%					
20	. Миронов Сергей Михайлович	52	0	2	1	1	7	0	0	1	2	6	9	8	13	2	0					
		0.73%	0.00%	0.60%	0.56%	1.19%	0.88%	0.00%	0.00%	0.70%	0.75%	0.98%	1.13%	0.67%	0.93%	0.32%	0.00%					
21	. Путин Владимир Владимирович	4725	174	202	139	62	482	164	179	95	196	389	522	806	896	387	32					
		66.27%	91.58%	60.48%	78.09%	73.81%	60.55%	67.49%	73.97%	66.90%	73.96%	63.56%	65.41%	67.73%	64.09%	62.72%	78.05%					
22	. Хакамада Ирина Муцуовна	262	6	11	0	5	16	4	3	0	4	31	27	43	80	31	1					
		3.67%	3.16%	3.29%	0.00%	5.95%	2.01%	1.65%	1.24%	0.00%	1.51%	5.07%	3.38%	3.61%	5.72%	5.02%	2.44%					
23	. Харитонов Николай Михайлович	1298	4	81	29	9	191	40	42	22	36	121	139	181	272	127	4					
		18.20%	2.11%	24.25%	16.29%	10.71%	23.99%	16.46%	17.36%	15.49%	13.58%	19.77%	17.42%	15.21%	19.46%	20.58%	9.76%					
																						
24	Против всех	319	0	9	4	2	23	15	8	11	9	23	46	66	63	38	2					
		4.47%	0.00%	2.69%	2.25%	2.38%	2.89%	6.17%	3.31%	7.75%	3.40%	3.76%	5.76%	5.55%	4.51%	6.16%	4.88%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
