Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    район Замоскворечье																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №3611	УИК №3612	УИК №4002									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29012	2683	2577	2448	2738	2726	2495	2808	2248	2706	2298	3001	85	31	168									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22050	2000	2000	1800	2000	2000	2000	2000	1700	2000	1700	2200	100	50	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10394	933	933	874	1042	1012	905	912	728	949	777	1047	83	31	168									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	304	31	22	28	33	37	32	29	25	25	17	25	0	0	0									
6	Число погашенных избирательных бюллетеней	11352	1036	1045	898	925	951	1063	1059	947	1026	906	1128	17	19	332									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	304	31	22	28	33	37	32	29	25	25	17	25	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10375	930	931	870	1042	1010	905	911	727	949	777	1041	83	31	168									
9	Число недействительных избирательных бюллетеней	177	21	11	15	18	13	11	13	7	16	28	22	0	0	2									
10	Число действительных избирательных бюллетеней	10502	940	942	883	1057	1034	926	927	745	958	766	1044	83	31	166									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	10	20	20	25	10	20	20	20	20	10	25	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	150	9	14	14	25	10	13	13	9	20	8	15	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1350	88	113	215	269	91	115	75	13	127	8	58	0	10	168									
14	Число погашенных неиспользованных открепительных удостоверений	50	1	6	6	0	0	7	7	11	0	2	10	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	1	2	1	2	3	2	0	2	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	333	27	25	27	24	51	22	37	19	24	32	36	3	2	4									
		3.12%	2.81%	2.62%	3.01%	2.23%	4.87%	2.35%	3.94%	2.53%	2.46%	4.03%	3.38%	3.61%	6.45%	2.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	181	15	17	12	22	16	11	20	9	18	16	20	1	0	4									
		1.69%	1.56%	1.78%	1.34%	2.05%	1.53%	1.17%	2.13%	1.20%	1.85%	2.02%	1.88%	1.20%	0.00%	2.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	265	18	30	30	16	23	23	29	24	21	21	26	0	1	3									
		2.48%	1.87%	3.15%	3.34%	1.49%	2.20%	2.45%	3.09%	3.19%	2.16%	2.64%	2.44%	0.00%	3.23%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3526	323	291	283	393	284	316	376	228	349	243	327	40	5	68									
		33.02%	33.61%	30.54%	31.51%	36.56%	27.13%	33.72%	40.00%	30.32%	35.83%	30.60%	30.68%	48.19%	16.13%	40.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	224	19	20	13	23	30	18	19	18	22	15	18	1	3	5									
