Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Сунженская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
1	"Число избирателей, внесенных в списки"	13903	1780	2523	2128	862	1300	2641	2669					
2	"Число бюллетеней, полученных участковыми комиссиями"	13564	1700	2450	2100	850	1300	2550	2614					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13429	1700	2450	2063	789	1300	2513	2614					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	29	0	0	29	0	0	0	0					
6	Число погашенных бюллетеней	106	0	0	8	61	0	37	0					
7	Число бюллетеней в переносных ящиках для голосования	29	0	0	29	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13429	1700	2450	2063	789	1300	2513	2614					
9	Число недействительных бюллетеней	131	12	0	58	35	6	0	20					
10	Число действительных бюллетеней	13327	1688	2450	2034	754	1294	2513	2594					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	15	15	15	10	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	100	15	15	15	10	15	15	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	383	54	60	46	58	59	52	54					
		2.84%	3.17%	2.44%	2.19%	7.35%	4.53%	2.06%	2.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2	1	0	0	0	0	1	0					
		0.01%	0.05%	0.0%	0.0%	0.0%	0.0%	0.03%	0.0%					
