Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Новохоперская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440					
1	"Число избирателей, внесенных в списки"	36124	1791	2312	1306	991	315	1074	2088	1748	1792	481	747	683	650	315	161	518	566	813	911	1915	757	480	272	434	662	932	520	880	2613	627	180	512	352	409	411	529	1147	2316	768	146					
2	"Число бюллетеней, полученных участковыми комиссиями"	35500	1680	2260	1250	950	300	1050	2050	1720	1760	490	760	650	650	320	160	500	560	800	900	1910	760	480	270	420	630	940	520	870	2630	620	180	510	350	400	410	520	1130	2280	710	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16682	813	913	583	403	151	464	863	691	635	252	415	335	357	158	113	303	322	275	589	1004	351	316	165	221	359	561	342	280	930	290	109	275	207	200	242	331	500	903	365	96					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1868	32	48	27	15	18	10	34	33	49	54	52	102	49	29	19	39	32	147	18	100	73	22	25	9	141	46	44	60	128	51	27	38	33	87	24	31	13	28	81	0					
6	Число погашенных бюллетеней	16950	835	1299	640	532	131	576	1153	996	1076	184	293	213	244	133	28	158	206	378	293	806	336	142	80	190	130	333	134	530	1572	279	44	197	110	113	144	158	617	1349	264	54					
7	Число бюллетеней в переносных ящиках для голосования	1868	32	48	27	15	18	10	34	33	49	54	52	102	49	29	19	39	32	147	18	100	73	22	25	9	141	46	44	60	128	51	27	38	33	87	24	31	13	28	81	0					
8	Число бюллетеней в стационарных ящиках для голосования	16679	813	911	583	403	151	464	863	691	635	252	415	335	357	158	113	303	322	275	589	1004	351	316	165	221	359	561	342	280	930	290	109	275	207	199	242	331	500	903	365	96					
9	Число недействительных бюллетеней	354	16	22	12	12	4	7	12	36	10	9	7	7	8	1	2	0	9	11	0	26	10	0	2	6	6	21	0	4	7	7	3	16	5	4	9	17	7	12	1	6					
10	Число действительных бюллетеней	18193	829	937	598	406	165	467	885	688	674	297	460	430	398	186	130	342	345	411	607	1078	414	338	188	224	494	586	386	336	1051	334	133	297	235	282	257	345	506	919	445	90					
