Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Ермаковская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  1191	УИК  1192	УИК  1193	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217					
1	"Число избирателей, внесенных в списки"	16875	677	866	956	1008	1127	889	1014	563	152	263	211	490	306	989	489	691	529	601	900	305	185	1052	267	910	537	230	668					
2	"Число бюллетеней, полученных участковыми комиссиями"	17062	700	875	970	1000	1110	870	1020	575	165	285	260	500	310	995	515	710	525	615	910	307	180	1055	265	905	540	225	675					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9386	311	441	453	455	540	499	524	262	91	184	147	309	226	556	305	454	335	376	641	195	121	430	147	464	370	167	383					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1000	31	47	49	60	114	14	37	18	6	25	6	27	17	65	28	55	36	11	38	5	3	87	18	68	54	14	67					
6	Число погашенных бюллетеней	6676	358	387	468	485	456	357	459	295	68	76	107	164	67	374	182	201	154	228	231	107	56	538	100	373	116	44	225					
7	Число бюллетеней в переносных ящиках для голосования	1000	31	47	49	60	114	14	37	18	6	25	6	27	17	65	28	55	36	11	38	5	3	87	18	68	54	14	67					
8	Число бюллетеней в стационарных ящиках для голосования	9385	311	441	453	455	540	499	524	262	91	184	147	309	226	556	305	454	334	376	641	195	121	430	147	464	370	167	383					
9	Число недействительных бюллетеней	123	0	6	9	1	4	4	10	2	0	2	4	1	3	11	8	4	13	8	7	2	4	7	3	2	5	2	1					
10	Число действительных бюллетеней	10262	342	482	493	514	650	509	551	278	97	207	149	335	240	610	325	505	357	379	672	198	120	510	162	530	419	179	449					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	5	7	10	10	10	5	5	5	5	5	5	7	7	10	7	7	5	7	7	5	5	10	5	7	5	7	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	45	0	2	3	1	2	0	2	0	1	0	3	3	3	6	0	4	0	1	2	1	0	3	0	2	2	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	1	0	0	1	3	1	0	0	0	1	0	0	1	3	0	5	1	0	0	0	0	1	1	1	1	1	2					
14	Число погашенных открепительных удостоверений	135	5	5	7	9	8	5	3	5	4	5	2	4	4	4	7	3	5	6	5	4	5	7	5	5	3	6	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	118	5	3	3	3	5	5	8	3	0	0	6	6	5	7	3	8	7	6	6	4	2	5	1	11	3	3	0					
		1.13%	1.46%	0.61%	0.59%	0.58%	0.76%	0.97%	1.42%	1.07%	0.0%	0.0%	3.92%	1.78%	2.05%	1.12%	0.90%	1.57%	1.89%	1.55%	0.88%	2.0%	1.61%	0.96%	0.60%	2.06%	0.70%	1.65%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	62	0	1	2	3	7	10	5	2	0	1	4	3	0	6	0	0	1	2	3	3	1	0	0	3	3	2	0					
		0.59%	0.0%	0.20%	0.39%	0.58%	1.07%	1.94%	0.89%	0.71%	0.0%	0.47%	2.61%	0.89%	0.0%	0.96%	0.0%	0.0%	0.27%	0.51%	0.44%	1.5%	0.80%	0.0%	0.0%	0.56%	0.70%	1.10%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	203	3	25	13	7	11	7	19	3	2	3	0	4	1	11	4	6	11	7	11	3	4	15	2	14	11	1	5					
		1.95%	0.87%	5.12%	2.58%	1.35%	1.68%	1.36%	3.38%	1.07%	2.06%	1.43%	0.0%	1.19%	0.41%	1.77%	1.20%	1.17%	2.97%	1.80%	1.62%	1.5%	3.22%	2.90%	1.21%	2.63%	2.59%	0.55%	1.11%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	122	3	4	9	4	7	7	10	5	0	2	0	8	4	9	0	10	8	7	11	2	0	2	1	4	2	0	3					
