Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Аургазинская																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744					
1	"Число избирателей, внесенных в списки"	27584	466	774	415	403	839	351	623	620	176	857	438	604	731	271	167	232	555	685	539	532	311	424	586	528	197	113	277	693	527	156	752	1179	2221	2507	1512	570	241	523	217	321	581	313	586	402	257	227	630	101	354					
2	"Число бюллетеней, полученных участковыми комиссиями"	27587	486	768	416	403	835	355	618	628	177	831	432	604	754	281	168	222	541	708	550	519	293	424	580	528	204	108	274	689	552	159	753	1150	2192	2370	1539	569	237	529	212	330	574	304	668	406	264	223	627	101	432					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20060	294	582	327	276	599	206	590	450	120	653	264	357	379	208	112	147	486	422	347	366	247	254	417	370	149	99	223	464	456	109	404	909	1715	1936	1067	389	203	365	185	239	428	253	511	344	247	136	449	46	261					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2318	98	84	11	59	55	46	10	20	7	33	94	139	165	15	21	49	23	69	82	26	23	70	54	30	18	5	13	107	42	33	60	55	59	45	65	51	0	65	20	25	38	20	75	14	0	67	29	36	93					
6	Число погашенных бюллетеней	5208	94	102	78	68	181	103	18	158	50	145	74	108	210	58	35	26	32	217	121	127	23	100	109	128	37	4	38	118	54	17	289	186	418	389	407	129	34	98	7	66	108	31	82	48	17	20	149	19	78					
7	Число бюллетеней в переносных ящиках для голосования	2317	98	84	11	59	55	46	10	20	7	33	94	139	165	15	21	49	23	69	82	26	23	70	54	30	18	5	13	107	42	33	60	55	59	45	64	51	0	65	20	25	38	20	75	14	0	67	29	36	93					
8	Число бюллетеней в стационарных ящиках для голосования	20058	294	582	327	276	599	206	590	450	120	653	264	357	379	208	112	147	486	422	347	363	247	254	417	370	149	99	223	464	456	109	404	909	1715	1936	1068	389	203	365	185	239	428	253	511	344	247	136	449	46	261					
9	Число недействительных бюллетеней	1038	33	33	28	10	26	21	51	55	16	18	15	13	18	23	16	15	23	30	14	23	15	20	44	36	7	4	24	14	22	5	35	40	38	29	44	3	5	15	4	20	22	13	31	21	3	13	23	3	4					
10	Число действительных бюллетеней	21337	359	633	310	325	628	231	549	415	111	668	343	483	526	200	117	181	486	461	415	366	255	304	427	364	160	100	212	557	476	137	429	924	1736	1952	1088	437	198	415	201	244	444	260	555	337	244	190	455	79	350					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	296	4	5	2	4	8	2	2	6	0	8	2	6	1	0	0	3	6	8	6	6	1	3	7	5	3	2	3	7	5	2	0	18	40	29	29	7	4	6	2	7	6	4	8	4	3	2	3	2	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	207	4	5	0	4	5	2	2	2	0	8	1	3	0	0	0	0	1	6	6	1	1	2	7	2	0	0	2	6	2	0	0	18	37	28	26	1	0	6	2	6	0	0	4	1	1	2	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	216	2	4	1	3	4	3	4	8	2	7	1	6	7	0	5	2	5	5	5	3	4	2	3	3	2	1	3	7	4	1	4	26	11	18	10	4	2	5	5	1	6	3	5	3	1	1	0	1	3					
14	Число погашенных открепительных удостоверений	89	0	0	2	0	3	0	0	4	0	0	1	3	1	0	0	3	5	2	0	5	0	1	0	3	3	2	1	1	3	2	0	0	3	1	3	6	4	0	0	1	6	4	4	3	2	0	3	2	2					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	"1. ""ЕДИНЕНИЕ"""	729	5	16	10	3	17	19	13	23	7	24	10	12	14	9	2	3	24	15	23	10	6	15	24	32	10	2	2	19	9	1	15	29	55	55	39	15	1	18	3	10	13	2	37	8	20	4	19	1	6					
		3.25%	1.27%	2.40%	2.95%	0.89%	2.59%	7.53%	2.16%	4.89%	5.51%	3.49%	2.79%	2.41%	2.57%	4.03%	1.50%	1.53%	4.71%	3.05%	5.36%	2.57%	2.22%	4.62%	5.09%	8.0%	5.98%	1.92%	0.84%	3.32%	1.80%	0.70%	3.23%	3.00%	3.10%	2.77%	3.44%	3.40%	0.49%	4.18%	1.46%	3.78%	2.78%	0.73%	6.31%	2.23%	8.09%	1.97%	3.97%	1.21%	1.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	231	3	4	5	1	1	6	5	3	0	9	2	6	7	2	2	0	2	1	1	4	7	5	1	8	2	0	3	9	2	0	6	24	16	31	23	1	0	5	0	0	2	4	2	7	2	0	5	0	2					
		1.03%	0.76%	0.60%	1.47%	0.29%	0.15%	2.38%	0.83%	0.63%	0.0%	1.31%	0.55%	1.20%	1.28%	0.89%	1.50%	0.0%	0.39%	0.20%	0.23%	1.02%	2.59%	1.54%	0.21%	2.0%	1.19%	0.0%	1.27%	1.57%	0.40%	0.0%	1.29%	2.48%	0.90%	1.56%	2.03%	0.22%	0.0%	1.16%	0.0%	0.0%	0.42%	1.46%	0.34%	1.95%	0.80%	0.0%	1.04%	0.0%	0.56%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	455	2	11	6	3	20	6	7	15	0	8	5	6	17	13	3	0	4	12	7	6	8	18	4	3	1	1	7	8	3	0	10	27	45	59	22	4	3	8	3	2	9	7	5	22	3	3	7	10	2					
		2.03%	0.51%	1.65%	1.77%	0.89%	3.05%	2.38%	1.16%	3.19%	0.0%	1.16%	1.39%	1.20%	3.12%	5.82%	2.25%	0.0%	0.78%	2.44%	1.63%	1.54%	2.96%	5.55%	0.84%	0.75%	0.59%	0.96%	2.96%	1.40%	0.60%	0.0%	2.15%	2.80%	2.53%	2.97%	1.94%	0.90%	1.47%	1.86%	1.46%	0.75%	1.93%	2.56%	0.85%	6.14%	1.21%	1.47%	1.46%	12.19%	0.56%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	264	2	6	5	0	8	3	3	5	1	12	5	5	4	3	3	0	2	1	3	7	3	2	3	2	10	0	2	8	2	1	9	25	30	24	11	2	2	7	8	2	6	4	3	6	0	2	4	5	3					
		1.17%	0.51%	0.90%	1.47%	0.0%	1.22%	1.19%	0.5%	1.06%	0.78%	1.74%	1.39%	1.00%	0.73%	1.34%	2.25%	0.0%	0.39%	0.20%	0.69%	1.79%	1.11%	0.61%	0.63%	0.5%	5.98%	0.0%	0.84%	1.40%	0.40%	0.70%	1.93%	2.59%	1.69%	1.21%	0.97%	0.45%	0.98%	1.62%	3.90%	0.75%	1.28%	1.46%	0.51%	1.67%	0.0%	0.98%	0.83%	6.09%	0.84%					
22	"5. ""За Русь Святую"""	104	0	4	0	0	4	6	3	8	1	0	0	1	2	2	1	2	1	4	1	1	2	1	6	5	0	2	1	2	2	0	2	1	4	6	3	0	0	1	0	1	6	4	0	2	3	0	6	0	3					
		0.46%	0.0%	0.60%	0.0%	0.0%	0.61%	2.38%	0.5%	1.70%	0.78%	0.0%	0.0%	0.20%	0.36%	0.89%	0.75%	1.02%	0.19%	0.81%	0.23%	0.25%	0.74%	0.30%	1.27%	1.25%	0.0%	1.92%	0.42%	0.35%	0.40%	0.0%	0.43%	0.10%	0.22%	0.30%	0.26%	0.0%	0.0%	0.23%	0.0%	0.37%	1.28%	1.46%	0.0%	0.55%	1.21%	0.0%	1.25%	0.0%	0.84%					
23	"6. ""Объединенная Российская партия ""Русь"""	98	4	1	4	1	1	3	2	8	1	3	1	1	3	1	1	0	2	3	6	1	0	2	6	0	1	2	2	0	2	0	4	4	3	1	4	0	1	0	0	4	4	3	2	1	0	0	2	2	1					
