Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Шарьинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7909	1139	215	205	114	247	1776	301	1004	1142	186	85	207	107	97	152	251	426	255									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7754	1100	200	200	136	220	1700	300	1000	1100	202	93	200	109	115	179	250	400	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3248	446	89	72	59	128	555	137	384	516	91	36	102	37	52	76	120	205	143									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	533	69	15	22	16	11	61	34	70	86	30	15	9	0	9	14	19	26	27									
6	Число погашенных избирательных бюллетеней	3973	585	96	106	61	81	1084	129	546	498	81	42	89	72	54	89	111	169	80									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	533	69	15	22	16	11	61	34	70	86	30	15	9	0	9	14	19	26	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3248	446	89	72	59	128	555	137	384	516	91	36	102	37	52	76	120	205	143									
9	Число недействительных избирательных бюллетеней	74	7	1	3	0	2	14	3	14	10	2	1	2	0	0	1	4	6	4									
10	Число действительных избирательных бюллетеней	3707	508	103	91	75	137	602	168	440	592	119	50	109	37	61	89	135	225	166									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	288	15	10	10	20	15	25	20	15	20	15	15	15	15	15	18	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	160	3	10	3	10	1	25	16	14	4	13	5	1	0	15	16	3	14	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	21	5	0	3	1	16	10	1	3	2	0	1	0	1	0	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	128	12	0	7	10	14	0	4	1	16	2	10	14	15	0	2	12	1	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	1	1	1	11	6	0	1	12	0	3	0	1	0	1	8	3	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	14	1	0	1	0	17	3	5	16	0	0	1	0	0	2	2	3	1									
		1.75%	2.72%	0.96%	0.00%	1.33%	0.00%	2.76%	1.75%	1.10%	2.66%	0.00%	0.00%	0.90%	0.00%	0.00%	2.22%	1.44%	1.30%	0.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	120	17	4	8	0	4	16	1	14	24	4	0	9	1	1	3	4	5	5									
		3.17%	3.30%	3.85%	8.51%	0.00%	2.88%	2.60%	0.58%	3.08%	3.99%	3.31%	0.00%	8.11%	2.70%	1.64%	3.33%	2.88%	2.16%	2.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	107	15	5	5	0	1	22	1	12	21	5	0	5	2	0	0	6	6	1									
		2.83%	2.91%	4.81%	5.32%	0.00%	0.72%	3.57%	0.58%	2.64%	3.49%	4.13%	0.00%	4.50%	5.41%	0.00%	0.00%	4.32%	2.60%	0.59%									
