Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Салаватская городская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610					
1	"Число избирателей, внесенных в список избирателей"	115095	1944	1910	951	1285	2175	800	1385	1169	100	1049	2058	1157	1006	1082	1076	1495	1547	1380	1728	1558	567	2494	1580	2388	2253	2389	2252	1841	2136	2153	2139	2787	2487	2638	2287	2462	2327	2085	2482	1864	1758	2003	1382	1921	1876	1234	2220	1803	2526	2284	2782	2141	2606	2553	1565	2411	2316	2525	1325	1468	1377	2553					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	104215	1720	1620	890	1200	2040	760	1260	1200	100	950	1700	1040	915	980	970	1370	1390	1300	1560	1390	600	2280	1500	2080	2110	2120	2070	1660	1960	1960	1930	2360	2300	2440	2090	2190	2160	1940	2290	1690	1610	1800	1260	1690	1790	1080	2020	1730	2210	1940	2340	2020	2070	2290	1500	2110	2180	2300	1200	1350	1270	2370					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	85522	995	805	696	1001	1662	591	1061	968	100	899	1620	892	766	480	885	1164	1224	1002	1312	1098	264	1964	1215	1643	1880	1895	1521	908	1499	1527	1838	2245	1935	2185	1771	2050	1909	1824	1175	1461	1412	1621	711	947	963	954	1918	1437	2103	1765	2280	1785	1989	2094	1239	1272	1879	2054	786	1203	1116	2064					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2941	110	11	85	53	110	9	59	68	0	16	63	45	44	37	32	62	47	63	62	42	135	81	49	30	32	88	35	17	82	42	35	40	55	52	40	35	51	56	70	68	30	41	73	53	73	25	59	41	16	20	28	44	30	77	44	34	25	29	7	31	21	29					
6	Число погашенных избирательных бюллетеней	15749	615	804	109	146	268	160	140	164	0	35	17	103	105	463	53	144	119	235	186	250	201	235	236	407	198	137	514	735	379	388	57	75	310	203	279	105	200	60	1045	161	168	138	476	690	754	101	43	252	91	155	32	191	51	119	217	804	276	217	407	116	133	277					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2941	110	11	85	53	110	9	59	68	0	16	63	45	44	37	32	62	47	63	62	42	135	81	49	30	32	88	35	17	82	42	35	40	55	52	40	35	51	56	70	68	30	41	73	53	73	25	59	41	16	20	28	44	30	77	44	34	25	29	7	31	21	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	85313	995	805	696	1001	1662	591	1061	968	100	899	1620	892	766	480	885	1164	1224	1002	1250	1098	264	1964	1215	1643	1880	1895	1521	864	1499	1527	1838	2245	1935	2185	1771	2050	1909	1812	1175	1461	1412	1621	711	946	960	954	1910	1437	2103	1765	2280	1785	1989	2017	1239	1270	1879	2054	786	1203	1116	2064					
9	Число недействительных избирательных бюллетеней	620	8	11	0	0	18	3	9	8	2	11	0	1	0	11	1	12	0	10	17	0	4	18	13	0	3	0	6	0	32	14	10	16	17	0	11	13	10	12	12	18	0	20	11	20	5	0	23	20	8	13	5	29	19	33	0	23	2	12	12	5	8	21					
10	Число действительных избирательных бюллетеней	87634	1097	805	781	1054	1754	597	1111	1028	98	904	1683	936	810	506	916	1214	1271	1055	1295	1140	395	2027	1251	1673	1909	1983	1550	881	1549	1555	1863	2269	1973	2237	1800	2072	1950	1856	1233	1511	1442	1642	773	979	1028	979	1946	1458	2111	1772	2303	1800	2000	2061	1283	1281	1902	2071	781	1229	1129	2072					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1018	10	10	10	10	10	10	10	20	0	10	10	18	10	10	10	10	10	10	10	10	10	20	20	20	10	30	20	10	20	20	20	30	30	20	20	30	30	20	30	10	10	20	10	20	10	20	20	10	20	30	10	20	20	30	10	20	30	20	10	10	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	758	6	8	6	9	7	5	9	12	0	2	6	11	7	9	4	9	9	7	9	4	3	18	11	15	10	19	20	10	16	19	11	21	27	18	19	21	20	14	25	8	5	15	6	16	10	14	14	6	15	22	10	19	18	21	8	16	23	15	8	3	12	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	235	3	2	10	3	1	2	0	2	0	9	0	3	18	2	0	2	1	4	3	0	0	6	4	1	3	5	5	3	5	1	3	8	3	13	7	9	2	5	4	3	1	7	0	10	5	7	3	5	4	2	2	3	2	2	4	2	4	1	4	3	2	7					
14	Число погашенных неиспользованных открепительных удостоверений	260	4	2	4	1	3	5	1	8	0	8	4	7	3	1	6	1	1	3	1	6	7	2	9	5	0	11	0	0	4	1	9	9	3	2	1	9	10	6	5	2	5	5	4	4	0	6	6	4	5	8	0	1	2	9	2	4	7	5	2	7	8	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	92	2	0	2	1	3	0	0	0	0	0	3	2	1	0	0	2	2	1	1	2	1	0	1	0	5	4	3	1	0	2	0	3	0	2	5	3	4	0	3	0	2	0	1	1	2	0	1	4	2	1	1	0	0	1	1	5	2	1	0	3	1	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7152	94	130	71	69	151	48	90	146	3	89	145	76	53	53	46	97	89	87	102	64	23	147	53	134	134	158	36	127	157	141	151	153	158	179	174	168	139	116	99	121	117	135	99	153	72	78	160	119	125	153	185	146	162	157	103	182	149	102	129	96	90	169					
