Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Баунтовская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7644	1222	401	226	236	509	583	248	201	148	337	1642	1891									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7340	1115	416	244	247	516	483	264	151	141	325	1696	1742									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	412	135	0	0	0	0	114	8	62	38	55	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2618	361	120	79	79	228	218	105	37	60	129	596	606									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	238	38	48	6	9	13	13	13	6	0	15	32	45									
6	Число погашенных избирательных бюллетеней	4072	581	248	159	159	275	138	138	46	43	126	1068	1091									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	650	173	48	6	9	13	127	21	68	38	70	32	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2618	361	120	79	79	228	218	105	37	60	129	596	606									
9	Число недействительных избирательных бюллетеней	89	21	6	3	1	3	11	2	1	10	5	14	12									
10	Число действительных избирательных бюллетеней	3179	513	162	82	87	238	334	124	104	88	194	614	639									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	197	10	10	10	10	20	20	10	10	5	10	42	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	9	2	0	0	0	3	0	0	0	0	0	1	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	2	0	1	1	0	10	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	188	8	10	10	10	17	20	10	10	5	10	41	37									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	14	5	1	0	1	0	1	1	0	0	1	1	3									
		0.43%	0.94%	0.60%	0.00%	1.14%	0.00%	0.29%	0.79%	0.00%	0.00%	0.50%	0.16%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	79	9	5	5	2	5	6	3	1	1	7	12	23									
		2.42%	1.69%	2.98%	5.88%	2.27%	2.07%	1.74%	2.38%	0.95%	1.02%	3.52%	1.91%	3.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	59	13	2	3	0	8	4	0	0	1	6	10	12									
		1.81%	2.43%	1.19%	3.53%	0.00%	3.32%	1.16%	0.00%	0.00%	1.02%	3.02%	1.59%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1531	240	63	50	52	123	168	92	50	63	99	272	259									
		46.85%	44.94%	37.50%	58.82%	59.09%	51.04%	48.70%	73.02%	47.62%	64.29%	49.75%	43.31%	39.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	0	1	1	0	1	2	1	0	0	2	6	7									
		0.64%	0.00%	0.60%	1.18%	0.00%	0.41%	0.58%	0.79%	0.00%	0.00%	1.01%	0.96%	1.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	2	0	1	1	1	0	1	1	0	0	2	0									
		0.28%	0.37%	0.00%	1.18%	1.14%	0.41%	0.00%	0.79%	0.95%	0.00%	0.00%	0.32%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	558	89	20	1	10	41	76	16	32	16	46	97	114									
		17.07%	16.67%	11.90%	1.18%	11.36%	17.01%	22.03%	12.70%	30.48%	16.33%	23.12%	15.45%	17.51%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	2	1	0	0	0	1	0	1	0	0	3	1									
		0.28%	0.37%	0.60%	0.00%	0.00%	0.00%	0.29%	0.00%	0.95%	0.00%	0.00%	0.48%	0.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	79	18	2	1	1	4	5	1	1	0	1	18	27									
		2.42%	3.37%	1.19%	1.18%	1.14%	1.66%	1.45%	0.79%	0.95%	0.00%	0.50%	2.87%	4.15%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	0	0	1	1	0	0	0	0	1	3									
		0.21%	0.19%	0.00%	0.00%	0.00%	0.41%	0.29%	0.00%	0.00%	0.00%	0.00%	0.16%	0.46%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	2	2	1	0	0	1	0	0	0	0	1	3									
		0.31%	0.37%	1.19%	1.18%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.16%	0.46%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	630	102	50	11	14	45	61	9	7	6	23	156	146									
		19.28%	19.10%	29.76%	12.94%	15.91%	18.67%	17.68%	7.14%	6.67%	6.12%	11.56%	24.84%	22.43%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	5	1	0	0	2	1	0	0	0	0	1	6									
		0.49%	0.94%	0.60%	0.00%	0.00%	0.83%	0.29%	0.00%	0.00%	0.00%	0.00%	0.16%	0.92%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	157	25	14	8	6	7	7	0	11	1	9	34	35									
