Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Сакская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21427	2089	2133	1712	1913	1256	1451	2279	2268	2125	2087	1519	595									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15150	1450	1500	1200	1300	1000	1000	1600	1550	1500	1500	1100	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9781	895	1014	831	982	605	713	1117	990	1012	693	677	252									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	403	44	45	38	29	25	17	48	48	47	23	23	16									
6	Число погашенных избирательных бюллетеней	4966	511	441	331	289	370	270	435	512	441	784	400	182									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	403	44	45	38	29	25	17	48	48	47	23	23	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9781	895	1014	831	982	605	713	1117	990	1012	693	677	252									
9	Число недействительных избирательных бюллетеней	199	22	23	24	16	5	13	21	17	19	16	18	5									
10	Число действительных избирательных бюллетеней	9985	917	1036	845	995	625	717	1144	1021	1040	700	682	263									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	38	40	31	34	23	25	42	40	39	38	29	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	90	5	10	10	11	6	7	14	4	9	2	8	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	436	17	28	26	68	26	83	16	108	20	11	17	16									
