Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Советская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504					
1	"Число избирателей, внесенных в списки"	23661	1533	2151	2050	1944	1333	1469	688	153	1442	316	883	752	771	664	952	645	1231	259	352	1235	388	950	482	420	598					
2	"Число бюллетеней, полученных участковыми комиссиями"	22590	1516	2070	1961	1643	1271	1511	615	152	1464	318	803	670	683	592	834	655	1238	264	355	1088	427	946	484	426	604					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12485	799	1173	1168	1046	754	738	322	110	743	162	481	379	299	278	597	282	646	110	149	740	191	547	248	146	377					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1664	24	11	20	16	91	132	64	6	90	47	84	97	151	79	54	79	128	41	52	18	197	39	30	98	16					
6	Число погашенных бюллетеней	8441	693	886	773	581	426	641	229	36	631	109	238	194	233	235	183	294	464	113	154	330	39	360	206	182	211					
7	Число бюллетеней в переносных ящиках для голосования	1664	24	11	20	16	91	132	64	6	90	47	84	97	151	79	54	79	128	41	52	18	197	39	30	98	16					
8	Число бюллетеней в стационарных ящиках для голосования	12485	799	1173	1168	1046	754	738	322	110	743	162	481	379	299	278	597	282	646	110	149	740	191	547	248	146	377					
9	Число недействительных бюллетеней	257	10	13	11	18	15	16	9	6	18	3	17	7	6	8	15	12	10	3	8	18	2	5	6	7	14					
10	Число действительных бюллетеней	13892	813	1171	1177	1044	830	854	377	110	815	206	548	469	444	349	636	349	764	148	193	740	386	581	272	237	379					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	493	25	35	35	35	25	30	10	5	25	6	15	15	15	15	15	10	30	6	6	60	20	20	10	10	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	248	10	16	8	27	13	10	5	0	17	1	2	6	3	1	8	3	26	1	4	59	10	9	1	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	137	7	12	22	11	5	6	1	2	4	0	3	7	3	2	3	2	7	3	8	17	1	3	3	4	1					
14	Число погашенных открепительных удостоверений	245	15	19	27	8	12	20	5	5	8	5	13	9	12	14	7	7	4	5	2	1	10	11	9	5	12					
15	Число открепительных удостоверений выданных ТИК	12	1	2	2	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	250	10	22	12	11	11	12	12	3	8	12	9	9	7	6	13	9	18	1	9	12	1	17	8	8	10					
		1.76%	1.21%	1.85%	1.01%	1.03%	1.30%	1.37%	3.10%	2.58%	0.96%	5.74%	1.59%	1.89%	1.55%	1.68%	1.99%	2.49%	2.32%	0.66%	4.47%	1.58%	0.25%	2.90%	2.87%	3.27%	2.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	129	9	20	12	16	12	9	4	1	7	0	2	2	2	1	5	0	3	0	1	11	4	3	2	1	2					
		0.91%	1.09%	1.68%	1.01%	1.50%	1.42%	1.03%	1.03%	0.86%	0.84%	0.0%	0.35%	0.42%	0.44%	0.28%	0.76%	0.0%	0.38%	0.0%	0.49%	1.45%	1.03%	0.51%	0.71%	0.40%	0.50%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	234	12	21	13	26	22	17	4	1	11	7	5	1	5	2	5	9	17	1	3	11	5	22	4	5	5					
		1.65%	1.45%	1.77%	1.09%	2.44%	2.60%	1.95%	1.03%	0.86%	1.32%	3.34%	0.88%	0.21%	1.11%	0.56%	0.76%	2.49%	2.19%	0.66%	1.49%	1.45%	1.28%	3.75%	1.43%	2.04%	1.27%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	129	6	16	19	17	11	12	1	0	4	2	1	3	3	0	3	4	7	1	0	4	4	6	1	2	2					
		0.91%	0.72%	1.35%	1.59%	1.60%	1.30%	1.37%	0.25%	0.0%	0.48%	0.95%	0.17%	0.63%	0.66%	0.0%	0.46%	1.10%	0.90%	0.66%	0.0%	0.52%	1.03%	1.02%	0.35%	0.81%	0.50%					
