Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Шимановская городская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
1	"Число избирателей, внесенных в списки"	17290	2109	1439	2058	2037	1356	1586	1337	1755	2100	1513					
2	"Число бюллетеней, полученных участковыми комиссиями"	15850	1930	1320	1860	1930	1235	1445	1235	1600	1905	1390					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7515	761	711	874	946	668	708	479	812	886	670					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	644	102	41	70	139	36	42	22	42	111	39					
6	Число погашенных бюллетеней	7691	1067	568	916	845	531	695	734	746	908	681					
7	Число бюллетеней в переносных ящиках для голосования	644	102	41	70	139	36	42	22	42	111	39					
8	Число бюллетеней в стационарных ящиках для голосования	7512	760	710	874	946	668	707	479	812	886	670					
9	Число недействительных бюллетеней	72	13	1	8	12	10	8	8	7	5	0					
10	Число действительных бюллетеней	8084	849	750	936	1073	694	741	493	847	992	709					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	30	30	30	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	64	2	4	8	10	12	1	4	6	6	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	1	1	4	2	4	0	1	4	7	3					
14	Число погашенных открепительных удостоверений	236	28	26	22	20	18	29	26	24	24	19					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	106	9	11	19	10	5	11	14	10	11	6					
		1.29%	1.04%	1.46%	2.01%	0.92%	0.71%	1.46%	2.79%	1.17%	1.10%	0.84%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	85	3	7	11	15	6	5	2	8	18	10					
		1.04%	0.34%	0.93%	1.16%	1.38%	0.85%	0.66%	0.39%	0.93%	1.80%	1.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	346	54	33	40	45	28	27	19	31	37	32					
		4.24%	6.26%	4.39%	4.23%	4.14%	3.97%	3.60%	3.79%	3.62%	3.71%	4.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	197	17	19	19	26	19	18	8	19	17	35					
		2.41%	1.97%	2.52%	2.01%	2.39%	2.69%	2.40%	1.59%	2.22%	1.70%	4.93%					
22	"5. ""За Русь Святую"""	42	3	4	4	5	4	7	1	7	2	5					
		0.51%	0.34%	0.53%	0.42%	0.46%	0.56%	0.93%	0.19%	0.81%	0.20%	0.70%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	10	3	1	2	0	1	4	5	1	0					
		0.33%	1.16%	0.39%	0.10%	0.18%	0.0%	0.13%	0.79%	0.58%	0.10%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	59	7	3	5	12	7	5	2	6	3	9					
		0.72%	0.81%	0.39%	0.52%	1.10%	0.99%	0.66%	0.39%	0.70%	0.30%	1.26%					
25	"8. ""Народно-республиканская партия России"""	12	1	1	1	2	1	4	0	0	1	1					
		0.14%	0.11%	0.13%	0.10%	0.18%	0.14%	0.53%	0.0%	0.0%	0.10%	0.14%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	3	3	1	7	4	2	0	1	4	2					
		0.33%	0.34%	0.39%	0.10%	0.64%	0.56%	0.26%	0.0%	0.11%	0.40%	0.28%					
27	"10. ""Аграрная партия России"""	217	26	33	28	26	15	19	4	19	25	22					
		2.66%	3.01%	4.39%	2.96%	2.39%	2.13%	2.53%	0.79%	2.22%	2.50%	3.10%					
28	"11. ""Истинные патриоты России"""	36	0	0	0	32	0	1	0	3	0	0					
		0.44%	0.0%	0.0%	0.0%	2.94%	0.0%	0.13%	0.0%	0.35%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	70	7	13	8	10	4	6	3	6	8	5					
		0.85%	0.81%	1.73%	0.84%	0.92%	0.56%	0.80%	0.59%	0.70%	0.80%	0.70%					
30	"13. ""Демократическая партия России"""	23	3	4	1	1	0	4	2	1	2	5					
		0.28%	0.34%	0.53%	0.10%	0.09%	0.0%	0.53%	0.39%	0.11%	0.20%	0.70%					
31	"14. ""Великая Россия - Евразийский Союз"""	36	3	4	5	4	2	6	3	5	3	1					
		0.44%	0.34%	0.53%	0.52%	0.36%	0.28%	0.80%	0.59%	0.58%	0.30%	0.14%					
32	"15. ""Партия СЛОН"""	9	1	0	1	2	1	1	2	0	1	0					
		0.11%	0.11%	0.0%	0.10%	0.18%	0.14%	0.13%	0.39%	0.0%	0.10%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	399	44	40	45	28	30	36	23	44	51	58					
		4.89%	5.10%	5.32%	4.76%	2.58%	4.26%	4.80%	4.59%	5.15%	5.11%	8.18%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	1	1	2	4	2	1	1	4	3	2					
		0.25%	0.11%	0.13%	0.21%	0.36%	0.28%	0.13%	0.19%	0.46%	0.30%	0.28%					
35	"18. ""ЛДПР"""	1461	120	121	179	207	123	126	113	168	179	125					
		17.91%	13.92%	16.11%	18.96%	19.07%	17.47%	16.82%	22.55%	19.67%	17.95%	17.63%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	169	22	15	22	20	14	14	8	18	24	12					
		2.07%	2.55%	1.99%	2.33%	1.84%	1.98%	1.86%	1.59%	2.10%	2.40%	1.69%					
37	"20. ""Политическая партия ""Единая Россия"""	2847	291	257	318	371	213	269	185	282	405	256					
		34.90%	33.75%	34.22%	33.68%	34.19%	30.25%	35.91%	36.92%	33.02%	40.62%	36.10%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	4	1	2	3	0	3	0	5	4	3					
		0.30%	0.46%	0.13%	0.21%	0.27%	0.0%	0.40%	0.0%	0.58%	0.40%	0.42%					
39	"22. ""Развитие предпринимательства"""	25	2	1	5	4	1	1	3	2	4	2					
		0.30%	0.23%	0.13%	0.52%	0.36%	0.14%	0.13%	0.59%	0.23%	0.40%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1510	189	138	181	182	177	160	75	169	143	96					
		18.51%	21.92%	18.37%	19.17%	16.77%	25.14%	21.36%	14.97%	19.78%	14.34%	13.54%					
																	
41	Против всех	335	29	38	38	55	38	14	21	34	46	22					
		4.10%	3.36%	5.05%	4.02%	5.06%	5.39%	1.86%	4.19%	3.98%	4.61%	3.10%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
