Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Сарапульская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18732	834	243	235	602	237	419	322	1830	958	1715	1379	130	357	182	471	1029	503	688	768	500	626	1357	1201	378	1054	714									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18100	800	210	205	600	200	400	300	1850	900	1650	1400	125	350	160	450	1000	500	650	750	500	600	1300	1150	350	1050	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9161	464	152	101	295	90	230	216	674	482	779	725	86	230	108	319	451	305	337	295	307	332	696	521	138	485	343									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	702	26	20	10	25	35	27	16	71	40	21	92	7	28	18	23	50	43	25	36	14	15	11	8	16	18	7									
6	Число погашенных избирательных бюллетеней	8237	310	38	94	280	75	143	68	1105	378	850	583	32	92	34	108	499	152	288	419	179	253	593	621	196	547	300									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	702	26	20	10	25	35	27	16	71	40	21	92	7	28	18	23	50	43	25	36	14	15	11	8	16	18	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9157	464	152	101	295	90	230	216	674	482	779	725	86	230	108	319	451	305	337	295	307	332	696	521	138	482	342									
9	Число недействительных избирательных бюллетеней	278	11	2	6	10	5	8	3	25	9	29	39	6	7	4	2	10	9	10	9	10	12	13	15	3	15	6									
10	Число действительных избирательных бюллетеней	9581	479	170	105	310	120	249	229	720	513	771	778	87	251	122	340	491	339	352	322	311	335	694	514	151	485	343									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	518	19	6	6	14	6	11	10	44	22	41	34	13	24	5	22	24	13	16	18	33	25	32	29	9	25	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	305	17	4	0	3	2	11	9	4	15	5	31	13	24	5	22	15	13	10	7	33	24	9	8	7	3	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	20	1	1	13	2	3	9	3	11	4	2	3	2	4	3	2	1	4	5	5	3	17	14	0	5	11									
14	Число погашенных неиспользованных открепительных удостоверений	213	2	2	6	11	4	0	1	40	7	36	3	0	0	0	0	9	0	6	11	0	1	23	21	2	22	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	85	5	0	1	1	2	1	2	7	3	9	5	0	0	0	2	3	5	3	1	3	4	10	8	3	2	5									
		0.86%	1.02%	0.00%	0.90%	0.31%	1.60%	0.39%	0.86%	0.94%	0.57%	1.13%	0.61%	0.00%	0.00%	0.00%	0.58%	0.60%	1.44%	0.83%	0.30%	0.93%	1.15%	1.41%	1.51%	1.95%	0.40%	1.43%									
