Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Южно-Сахалинская городская ТИК																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360					
1	"Число избирателей, внесенных в список избирателей"	136685	2130	1786	1410	1156	2133	2026	2660	2417	2799	1322	1619	2458	1878	2161	1430	2568	3025	2525	598	1118	1635	1994	2603	2098	1487	1136	2194	2062	2141	2085	1684	2336	2035	1542	2420	2066	1871	1056	2122	2325	2763	2662	2569	2280	2314	2925	2640	2561	2835	2782	2583	2105	1785	1918	2503	2170	2066	1735	1816	2065	2140	172	1509	387	269	513	1375	854	177	191	254	35	105	96	123	260	1344	830	812	51					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	124047	1900	1600	1300	1000	1900	1800	2400	2200	2600	1200	1500	2200	1700	1900	1300	2100	2700	2300	550	1000	1500	1600	2300	1900	1350	1050	2000	1900	1950	1900	1550	2100	1800	1200	2200	1850	1700	1000	1800	2100	2400	2400	2300	2050	2100	2650	2400	2300	2600	2550	2350	1900	1600	1700	2300	2000	1850	1650	2250	1800	1900	164	1350	384	258	517	1300	800	170	200	250	35	105	103	126	270	1200	865	800	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	62654	979	794	644	407	951	880	1003	1057	1175	609	651	935	805	981	514	1080	844	1150	182	324	509	1057	1269	1014	682	500	1043	1001	1107	1037	845	1256	871	744	1187	951	930	506	955	1096	1442	1348	1081	1068	1039	1439	1133	1220	1261	1206	1208	921	887	830	1142	940	791	871	1002	872	1150	113	690	226	115	250	658	470	89	166	237	27	78	77	110	96	591	828	406	51					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1879	17	2	13	50	20	34	24	15	13	6	17	23	17	14	2	32	12	20	3	9	10	33	34	24	36	27	56	23	18	19	15	22	33	104	22	34	25	13	36	34	87	32	35	17	28	24	26	16	27	18	17	24	6	20	19	18	23	42	37	17	5	3	39	8	5	19	30	22	6	25	0	8	27	16	13	147	8	2	2	0					
6	Число погашенных избирательных бюллетеней	59516	904	804	643	543	929	886	1373	1128	1412	585	832	1242	878	905	784	988	1844	1130	365	667	981	510	999	862	632	523	901	876	825	844	690	822	896	352	991	865	745	481	809	970	871	1020	1184	965	1033	1187	1241	1064	1312	1326	1125	955	707	850	1139	1042	1036	737	1211	911	745	48	621	150	138	248	612	308	75	9	13	0	0	10	3	27	601	35	392	149					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1879	17	2	13	50	20	34	24	15	13	6	17	23	17	14	2	32	12	20	3	9	10	33	34	24	36	27	56	23	18	19	15	22	33	104	22	34	25	13	36	34	87	32	35	17	28	24	26	16	27	18	17	24	6	20	19	18	23	42	37	17	5	3	39	8	5	19	30	22	6	25	0	8	27	16	13	147	8	2	2	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62638	979	793	644	407	951	880	1003	1057	1175	609	651	935	805	981	514	1079	844	1150	182	323	509	1053	1269	1014	681	500	1043	1001	1107	1037	845	1256	871	744	1187	951	930	506	955	1095	1442	1348	1081	1068	1039	1439	1132	1219	1261	1203	1208	921	887	830	1142	940	789	871	1002	872	1150	113	690	226	115	250	658	470	89	166	237	27	78	77	110	96	591	828	406	51					
9	Число недействительных избирательных бюллетеней	924	18	10	11	6	22	10	12	20	15	7	7	16	13	16	2	15	17	10	3	3	8	14	10	7	7	12	17	11	16	12	13	18	7	20	9	11	14	6	18	8	28	28	13	12	17	15	13	18	16	11	17	12	11	10	12	8	9	16	11	11	21	2	14	0	2	2	23	2	1	23	15	1	1	3	6	2	6	36	5	0					
10	Число действительных избирательных бюллетеней	63593	978	785	646	451	949	904	1015	1052	1173	608	661	942	809	979	514	1096	839	1160	182	329	511	1072	1293	1031	710	515	1082	1013	1109	1044	847	1260	897	828	1200	974	941	513	973	1121	1501	1352	1103	1073	1050	1448	1145	1217	1272	1210	1208	933	882	840	1149	950	803	897	1028	878	1134	114	715	234	118	267	665	490	94	168	222	34	104	90	117	241	593	794	403	51					
