Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Саратовская - 164																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №1593	УИК №1594	УИК №1595	УИК №1622	УИК №1623									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5352	1122	1458	376	1687	709									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5445	1145	1495	375	1710	720									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3333	987	1076	265	607	398									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	404	59	37	35	143	130									
6	Число погашенных избирательных бюллетеней	1708	99	382	75	960	192									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	404	59	37	35	143	130									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3333	987	1076	265	607	398									
9	Число недействительных избирательных бюллетеней	12	0	0	1	3	8									
10	Число действительных избирательных бюллетеней	3725	1046	1113	299	747	520									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	95	15	25	10	25	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	79	15	25	10	14	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	1	1	9	7	4									
14	Число погашенных неиспользованных открепительных удостоверений	16	0	0	0	11	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	3	11	5	8	9									
		0.96%	0.29%	0.99%	1.67%	1.07%	1.70%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	32	13	0	3	7	9									
		0.86%	1.24%	0.00%	1.00%	0.93%	1.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	18	6	0	2	1	9									
		0.48%	0.57%	0.00%	0.67%	0.13%	1.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2878	848	891	242	564	333									
		77.01%	81.07%	80.05%	80.67%	75.20%	63.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	1	0	1	2	2									
		0.16%	0.10%	0.00%	0.33%	0.27%	0.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	5	0	0	2	1									
		0.21%	0.48%	0.00%	0.00%	0.27%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	197	31	67	14	31	54									
		5.27%	2.96%	6.02%	4.67%	4.13%	10.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	6	0	1	3	7									
		0.45%	0.57%	0.00%	0.33%	0.40%	1.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	3	0	4	3	12									
		0.59%	0.29%	0.00%	1.33%	0.40%	2.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	1	2									
		0.08%	0.00%	0.00%	0.00%	0.13%	0.38%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	29	4	0	3	4	18									
		0.78%	0.38%	0.00%	1.00%	0.53%	3.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	397	115	100	18	114	50									
		10.62%	10.99%	8.98%	6.00%	15.20%	9.47%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	2	11	1	2	2									
		0.48%	0.19%	0.99%	0.33%	0.27%	0.38%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	64	9	33	5	5	12									
		1.71%	0.86%	2.96%	1.67%	0.67%	2.27%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
