Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Ейская районная																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326					
1	"Число избирателей, внесенных в списки избирателей"	32656	2383	1294	1661	1845	932	492	1269	1352	1786	1712	221	1901	322	340	369	143	640	1541	1966	702	2812	1866	912	1538	1710	947					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31790	2350	1300	1650	1850	900	450	1250	1350	1750	1650	200	1850	300	300	350	140	600	1500	1950	650	2750	1800	850	1500	1650	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19229	1455	859	947	1128	639	310	697	727	864	1048	146	1080	200	192	225	100	374	969	985	388	1439	1315	631	907	1055	549					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1339	126	43	79	72	26	19	37	54	82	61	12	100	0	0	0	8	22	103	80	77	102	32	38	67	41	58					
6	Число погашенных избирательных бюллетеней	11222	769	398	624	650	235	121	516	569	804	541	42	670	100	108	125	32	204	428	885	185	1209	453	181	526	554	293					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1339	126	43	79	72	26	19	37	54	82	61	12	100	0	0	0	8	22	103	80	77	102	32	38	67	41	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19228	1455	859	947	1128	639	310	697	727	864	1048	146	1080	200	192	225	100	374	969	985	388	1439	1314	631	907	1055	549					
9	Число недействительных избирательных бюллетеней	438	13	26	29	6	30	26	12	18	19	49	8	23	9	1	3	4	9	7	24	22	30	5	12	16	15	22					
10	Число действительных избирательных бюллетеней	20129	1568	876	997	1194	635	303	722	763	927	1060	150	1157	191	191	222	104	387	1065	1041	443	1511	1341	657	958	1081	585					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	459	33	18	23	26	13	7	18	19	25	24	4	27	5	5	6	3	9	21	28	10	39	26	13	21	23	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	70	3	0	3	5	2	7	1	1	3	11	0	7	0	0	0	0	2	2	0	1	3	10	2	4	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	59	8	0	4	0	5	1	2	3	4	3	1	2	1	0	0	2	2	2	1	3	4	1	1	4	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	389	30	18	20	21	11	0	17	18	22	13	4	20	5	5	6	3	7	19	28	9	36	16	11	17	23	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	551	46	16	34	20	10	5	39	39	46	17	3	24	9	4	8	0	15	24	30	7	39	26	10	17	29	34					
		2.68%	2.91%	1.77%	3.31%	1.67%	1.50%	1.52%	5.31%	4.99%	4.86%	1.53%	1.90%	2.03%	4.50%	2.08%	3.56%	0.00%	3.79%	2.24%	2.82%	1.51%	2.53%	1.93%	1.49%	1.75%	2.65%	5.60%					
19	2.Всероссийская политическая партия «Гражданская Сила»	112	9	4	3	8	3	1	7	8	6	7	2	3	0	0	0	0	1	7	6	3	3	15	4	4	7	1					
		0.54%	0.57%	0.44%	0.29%	0.67%	0.45%	0.30%	0.95%	1.02%	0.63%	0.63%	1.27%	0.25%	0.00%	0.00%	0.00%	0.00%	0.25%	0.65%	0.56%	0.65%	0.19%	1.11%	0.60%	0.41%	0.64%	0.16%					
20	3.Политическая партия «Демократическая партия России»	29	0	2	2	0	1	1	4	1	1	3	0	0	0	2	1	1	0	0	2	0	0	2	2	2	1	1					
