Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Ногликская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9551	844	1030	1025	2847	1167	1761	243	634									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9100	750	1000	1000	2750	1150	1750	250	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	604	214	0	59	107	0	0	24	200									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2682	167	324	258	909	370	468	54	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	108	50	1	3	6	17	26	0	5									
6	Число погашенных избирательных бюллетеней	5706	319	675	680	1728	763	1256	172	113									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	712	264	1	62	113	17	26	24	205									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2680	167	324	258	907	370	468	54	132									
9	Число недействительных избирательных бюллетеней	70	10	5	4	15	4	14	0	18									
10	Число действительных избирательных бюллетеней	3322	421	320	316	1005	383	480	78	319									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	15	25	25	70	30	45	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	39	0	0	4	15	4	4	2	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	5	7	7	17	3	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	191	15	25	21	55	26	41	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	3	0	1	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	7	6	3	24	5	10	0	11									
		1.95%	1.62%	1.85%	0.94%	2.35%	1.29%	2.02%	0.00%	3.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	118	16	9	15	30	17	21	1	9									
		3.48%	3.71%	2.77%	4.69%	2.94%	4.39%	4.25%	1.28%	2.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	122	19	7	12	37	12	18	6	11									
		3.60%	4.41%	2.15%	3.75%	3.63%	3.10%	3.64%	7.69%	3.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1293	151	126	109	381	181	201	24	120									
		38.12%	35.03%	38.77%	34.06%	37.35%	46.77%	40.69%	30.77%	35.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	6	1	1	11	3	6	0	5									
		0.97%	1.39%	0.31%	0.31%	1.08%	0.78%	1.21%	0.00%	1.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	1	1	3	0	1	1	2									
		0.29%	0.23%	0.31%	0.31%	0.29%	0.00%	0.20%	1.28%	0.59%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	846	123	85	93	229	77	114	34	91									
		24.94%	28.54%	26.15%	29.06%	22.45%	19.90%	23.08%	43.59%	27.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	34	2	0	4	13	8	3	0	4									
		1.00%	0.46%	0.00%	1.25%	1.27%	2.07%	0.61%	0.00%	1.19%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	40	2	1	5	21	2	7	0	2									
		1.18%	0.46%	0.31%	1.56%	2.06%	0.52%	1.42%	0.00%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	1	1	3	0	0	0	0									
		0.15%	0.00%	0.31%	0.31%	0.29%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	51	8	7	5	19	3	4	0	5									
		1.50%	1.86%	2.15%	1.56%	1.86%	0.78%	0.81%	0.00%	1.48%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	578	71	70	45	187	61	86	12	46									
		17.04%	16.47%	21.54%	14.06%	18.33%	15.76%	17.41%	15.38%	13.65%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	5	0	4	9	3	1	0	3									
		0.74%	1.16%	0.00%	1.25%	0.88%	0.78%	0.20%	0.00%	0.89%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	101	10	6	18	38	11	8	0	10									
		2.98%	2.32%	1.85%	5.63%	3.73%	2.84%	1.62%	0.00%	2.97%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
