Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Серафимовичская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638					
1	"Число избирателей, внесенных в список избирателей"	19225	140	481	136	706	196	144	388	132	987	85	145	347	886	112	109	525	61	626	74	197	385	118	82	305	1482	94	578	118	630	239	811	127	64	480	1879	1503	1724	2129					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17400	140	500	130	700	200	140	400	130	900	80	150	350	900	120	100	500	60	600	60	200	380	100	80	300	1300	90	500	100	600	240	800	120	50	480	1500	1200	1400	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8694	85	320	82	314	89	83	207	74	478	63	87	114	393	72	26	254	35	291	46	113	226	74	44	138	642	33	206	41	301	71	374	68	19	171	821	601	687	951					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1883	18	61	18	60	47	17	20	19	63	0	17	97	91	35	40	41	8	62	12	28	31	9	5	56	139	25	120	56	44	76	84	17	22	100	124	97	69	55					
6	Число погашенных избирательных бюллетеней	6823	37	119	30	326	64	40	173	37	359	17	46	139	416	13	34	205	17	247	2	59	123	17	31	106	519	32	174	3	255	93	342	35	9	209	555	502	644	794					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1883	18	61	18	60	47	17	20	19	63	0	17	97	91	35	40	41	8	62	12	28	31	9	5	56	139	25	120	56	44	76	84	17	22	100	124	97	69	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8694	85	320	82	314	89	83	207	74	478	63	87	114	393	72	26	254	35	291	46	113	226	74	44	138	642	33	206	41	301	71	374	68	19	171	821	601	687	951					
9	Число недействительных избирательных бюллетеней	101	0	3	0	1	1	0	2	3	6	0	1	0	5	1	0	2	0	1	0	0	1	0	2	1	9	0	2	0	5	2	4	1	0	7	9	10	7	15					
10	Число действительных избирательных бюллетеней	10476	103	378	100	373	135	100	225	90	535	63	103	211	479	106	66	293	43	352	58	141	256	83	47	193	772	58	324	97	340	145	454	84	41	264	936	688	749	991					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	2	6	2	7	2	2	10	2	10	2	2	6	18	4	2	6	2	7	2	2	5	2	2	3	10	2	7	2	7	3	7	2	1	5	11	16	10	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	178	2	6	0	7	2	2	10	2	10	0	0	6	18	4	2	0	2	3	0	0	5	2	0	3	10	2	6	0	7	3	7	0	1	5	11	16	10	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	0	0	1	0	1	1	1	1	3	1	0	2	6	0	1	1	0	1	4	1	2	2	1	7	3	1	4	2	6	1	1	5	4	0	4	8	7	4					
14	Число погашенных неиспользованных открепительных удостоверений	27	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	6	0	4	2	2	0	0	2	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2039	10	119	9	84	4	6	33	3	95	10	7	21	83	11	21	41	2	67	8	33	41	9	6	51	167	11	92	7	80	16	81	8	3	33	201	160	158	248					
		19.28%	9.71%	31.23%	9.00%	22.46%	2.94%	6.00%	14.54%	3.23%	17.56%	15.87%	6.73%	9.95%	17.15%	10.28%	31.82%	13.90%	4.65%	18.98%	13.79%	23.40%	15.95%	10.84%	12.24%	26.29%	21.38%	18.97%	28.22%	7.22%	23.19%	10.88%	17.69%	9.41%	7.32%	12.18%	21.27%	22.92%	20.90%	24.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1755	18	41	27	62	28	22	54	21	80	6	21	33	72	18	7	46	1	48	16	29	55	11	7	37	156	5	55	13	55	28	99	11	3	61	138	89	123	159					
		16.59%	17.48%	10.76%	27.00%	16.58%	20.59%	22.00%	23.79%	22.58%	14.79%	9.52%	20.19%	15.64%	14.88%	16.82%	10.61%	15.59%	2.33%	13.60%	27.59%	20.57%	21.40%	13.25%	14.29%	19.07%	19.97%	8.62%	16.87%	13.40%	15.94%	19.05%	21.62%	12.94%	7.32%	22.51%	14.60%	12.75%	16.27%	15.81%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	1	1	0	2	0	1	3	1	1	0	0	1	4	2	0	1	1	4	0	1	5	2	0	0	2	0	2	1	5	1	1	0	0	2	10	7	3	5					
		0.66%	0.97%	0.26%	0.00%	0.53%	0.00%	1.00%	1.32%	1.08%	0.18%	0.00%	0.00%	0.47%	0.83%	1.87%	0.00%	0.34%	2.33%	1.13%	0.00%	0.71%	1.95%	2.41%	0.00%	0.00%	0.26%	0.00%	0.61%	1.03%	1.45%	0.68%	0.22%	0.00%	0.00%	0.74%	1.06%	1.00%	0.40%	0.50%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2555	29	62	32	64	22	18	52	20	236	19	12	46	147	18	21	80	6	79	7	26	37	6	10	39	141	10	67	19	112	38	97	22	10	30	282	158	217	264					
		24.16%	28.16%	16.27%	32.00%	17.11%	16.18%	18.00%	22.91%	21.51%	43.62%	30.16%	11.54%	21.80%	30.37%	16.82%	31.82%	27.12%	13.95%	22.38%	12.07%	18.44%	14.40%	7.23%	20.41%	20.10%	18.05%	17.24%	20.55%	19.59%	32.46%	25.85%	21.18%	25.88%	24.39%	11.07%	29.84%	22.64%	28.70%	26.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	148	2	6	1	6	0	2	3	0	8	0	3	0	5	0	0	0	0	4	0	4	4	0	1	2	12	1	3	0	5	0	13	4	0	1	19	15	7	17					
		1.40%	1.94%	1.57%	1.00%	1.60%	0.00%	2.00%	1.32%	0.00%	1.48%	0.00%	2.88%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	1.13%	0.00%	2.84%	1.56%	0.00%	2.04%	1.03%	1.54%	1.72%	0.92%	0.00%	1.45%	0.00%	2.84%	4.71%	0.00%	0.37%	2.01%	2.15%	0.93%	1.69%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3879	43	148	31	155	81	51	78	45	113	28	60	110	167	57	17	125	33	150	27	48	114	55	23	64	291	31	105	57	83	61	163	38	25	136	282	257	236	291					
		36.67%	41.75%	38.85%	31.00%	41.44%	59.56%	51.00%	34.36%	48.39%	20.89%	44.44%	57.69%	52.13%	34.50%	53.27%	25.76%	42.37%	76.74%	42.49%	46.55%	34.04%	44.36%	66.27%	46.94%	32.99%	37.26%	53.45%	32.21%	58.76%	24.06%	41.50%	35.59%	44.71%	60.98%	50.18%	29.84%	36.82%	31.22%	28.93%					
