Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Белгородская районная 																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267					
1	"Число избирателей, внесенных в списки"	67661	1492	954	843	640	1629	654	1236	1125	1537	1739	2275	194	239	257	401	818	1133	401	633	165	231	1853	1949	199	865	106	496	1372	636	1316	1013	705	1012	323	1695	595	1203	352	198	248	118	204	1357	2094	2562	2695	1581	1115	541	2420	1821	1481	854	639	350	181	1247	578	118	478	849	195	1098	603	1259	801	518	1480	1483	1414	573	222					
2	"Число бюллетеней, полученных участковыми комиссиями"	67087	1480	960	850	630	1620	660	1235	1130	1492	1695	2265	195	234	256	400	820	1136	398	628	159	227	1822	1840	194	850	106	498	1350	645	1240	998	694	996	322	1643	595	1211	350	200	246	118	200	1345	2060	2520	2685	1613	1124	523	2420	1850	1530	837	610	348	182	1245	575	115	481	846	196	1115	588	1237	805	536	1440	1470	1402	580	221					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39889	883	503	544	402	1003	252	388	572	805	789	1541	147	212	210	305	544	674	221	375	115	114	1267	1357	139	540	96	323	735	275	905	644	449	491	177	1152	439	909	198	93	183	95	122	771	1229	1556	1301	864	567	317	1454	1131	953	487	354	213	104	761	241	74	310	525	83	773	375	814	363	317	817	749	677	391	130					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	6237	77	57	33	82	11	195	377	128	104	187	151	31	20	21	76	148	177	68	47	18	82	120	76	35	101	2	102	221	212	35	174	76	137	75	109	101	48	60	71	31	19	54	96	39	23	25	105	64	13	41	12	40	84	129	77	47	96	127	20	78	93	80	65	54	171	144	110	104	151	86	60	54					
6	Число погашенных бюллетеней	20961	520	400	273	146	606	213	470	430	583	719	573	17	2	25	19	128	285	109	206	26	31	435	407	20	209	8	73	394	158	300	180	169	368	70	382	55	254	92	36	32	4	24	478	792	941	1359	644	493	193	925	707	537	266	127	58	31	388	207	21	93	228	33	277	159	252	298	109	519	570	639	129	37					
7	Число бюллетеней в переносных ящиках для голосования	6237	77	57	33	82	11	195	377	128	104	187	151	31	20	21	76	148	177	68	47	18	82	120	76	35	101	2	102	221	212	35	174	76	137	75	109	101	48	60	71	31	19	54	96	39	23	25	105	64	13	41	12	40	84	129	77	47	96	127	20	78	93	80	65	54	171	144	110	104	151	86	60	54					
8	Число бюллетеней в стационарных ящиках для голосования	39888	883	503	544	402	1003	252	388	572	805	789	1541	147	212	210	305	544	674	221	375	115	114	1267	1357	139	540	96	323	735	275	905	644	449	491	177	1152	439	908	198	93	183	95	122	771	1229	1556	1301	864	567	317	1454	1131	953	487	354	213	104	761	241	74	310	525	83	773	375	814	363	317	817	749	677	391	130					
9	Число недействительных бюллетеней	818	6	6	3	12	5	2	2	28	2	12	15	9	3	10	4	10	22	0	3	0	1	20	10	2	4	0	7	10	17	9	5	13	8	3	17	2	4	2	2	1	4	0	2	19	16	11	15	6	0	26	6	7	17	15	9	4	12	4	4	0	8	1	33	13	240	22	0	15	8	9	1	0					
10	Число действительных бюллетеней	45307	954	554	574	472	1009	445	763	672	907	964	1677	169	229	221	377	682	829	289	419	133	195	1367	1423	172	637	98	418	946	470	931	813	512	620	249	1244	538	952	256	162	213	110	176	865	1249	1563	1315	954	625	330	1469	1137	986	554	468	281	147	845	364	90	388	610	162	805	416	745	485	427	906	892	754	450	184					
