Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Яковлевская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200					
1	"Число избирателей, внесенных в списки"	38747	2477	1035	2176	2366	2622	1387	1718	999	866	693	1677	695	1288	1978	579	891	189	785	74	370	954	72	673	1277	113	570	792	475	181	456	306	484	215	144	112	1289	948	376	98	456	142	204	420	299	210	432	566	185	951	482					
2	"Число бюллетеней, полученных участковыми комиссиями"	40051	2400	1000	2400	2400	2500	1400	1600	1100	1319	770	1661	743	1281	1993	579	956	210	787	74	377	1006	74	759	1323	126	585	776	555	205	450	301	472	219	136	110	1290	973	388	110	482	165	231	471	323	218	444	594	196	996	523					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26262	1754	798	1404	1458	1594	859	1257	582	810	403	1077	420	794	1142	405	687	151	598	63	286	799	40	393	817	90	361	486	257	109	307	154	403	201	119	64	1115	686	341	73	399	67	104	346	173	167	216	389	123	678	243					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3113	27	24	50	53	11	41	12	154	56	97	41	124	69	193	33	107	26	11	10	13	16	30	200	69	14	31	165	136	47	65	71	48	13	17	24	19	54	9	23	38	64	73	62	93	31	159	126	29	105	130					
6	Число погашенных бюллетеней	10676	619	178	946	889	895	500	331	364	453	270	543	199	418	658	141	162	33	178	1	78	191	4	166	437	22	193	125	162	49	78	76	21	5	0	22	156	233	38	14	45	34	54	63	57	20	69	79	44	213	150					
7	Число бюллетеней в переносных ящиках для голосования	3113	27	24	50	53	11	41	12	154	56	97	41	124	69	193	33	107	26	11	10	13	16	30	200	69	14	31	165	136	47	65	71	48	13	17	24	19	54	9	23	38	64	73	62	93	31	159	126	29	105	130					
8	Число бюллетеней в стационарных ящиках для голосования	26261	1754	798	1404	1458	1594	859	1257	582	810	403	1077	420	794	1142	405	687	151	598	63	286	799	40	393	817	90	361	485	257	109	307	154	403	201	119	64	1115	686	341	73	399	67	104	346	173	167	216	389	123	678	243					
9	Число недействительных бюллетеней	470	8	7	29	46	53	20	12	2	20	6	25	8	14	12	10	14	2	10	0	7	4	0	9	38	2	15	3	5	4	7	0	0	0	2	1	4	10	9	1	2	2	11	4	5	1	6	7	5	5	3					
10	Число действительных бюллетеней	28904	1773	815	1425	1465	1552	880	1257	734	846	494	1093	536	849	1323	428	780	175	599	73	292	811	70	584	848	102	377	647	388	152	365	225	451	214	134	87	1130	730	341	95	435	129	166	404	261	197	369	508	147	778	370					
