Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
"Наименование Избирательной комиссии:    Прокопьевск, Рудничная"																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49985	1880	2327	1110	2489	2362	1697	1919	2003	2519	1735	2053	2057	1947	2415	1753	2116	1974	2241	1838	2185	1844	1933	2098	2036	1454									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50518	1880	2327	1115	2531	2384	1722	1958	2031	2550	1770	2080	2093	1954	2463	1779	2131	2006	2264	1870	2195	1846	1965	2104	2042	1458									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48125	1854	2281	1072	2453	2346	1651	1887	1971	2389	1533	1889	2015	1895	2329	1662	2038	1897	2129	1782	2121	1747	1861	1977	1919	1427									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1172	21	43	26	14	13	29	18	22	38	134	105	30	37	52	79	65	18	44	50	48	61	59	49	102	15									
6	Число погашенных избирательных бюллетеней	1221	5	3	17	64	25	42	53	38	123	103	86	48	22	82	38	28	91	91	38	26	38	45	78	21	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1170	21	42	26	14	13	29	18	22	38	134	105	30	37	52	78	65	18	44	50	48	61	59	49	102	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48037	1853	2280	1072	2449	2340	1650	1887	1966	2388	1529	1888	2011	1890	2321	1656	2033	1890	2129	1781	2115	1741	1859	1976	1906	1427									
9	Число недействительных избирательных бюллетеней	219	3	8	5	9	11	10	15	24	15	14	0	10	8	17	5	2	3	1	7	11	7	2	10	14	8									
10	Число действительных избирательных бюллетеней	48988	1871	2314	1093	2454	2342	1669	1890	1964	2411	1649	1993	2031	1919	2356	1729	2096	1905	2172	1824	2152	1795	1916	2015	1994	1434									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	570	20	35	15	41	26	15	35	20	31	19	20	27	20	31	21	26	20	24	15	20	15	20	19	20	15									
