Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Тукаевская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741					
1	"Число избирателей, внесенных в списки"	21310	1466	217	134	362	1070	864	373	197	1037	401	438	153	175	716	273	560	333	147	138	562	199	778	596	301	153	206	940	1012	693	313	175	655	345	431	139	707	219	472	666	427	394	412	204	590	319	348					
2	"Число бюллетеней, полученных участковыми комиссиями"	21162	1400	207	137	362	1042	856	365	214	994	397	441	152	181	710	273	565	338	154	138	564	199	763	599	295	147	204	944	1022	703	316	177	625	347	438	140	716	222	449	663	425	400	418	204	589	321	346					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17525	1229	126	117	303	905	703	318	158	837	273	363	134	161	632	189	397	276	132	120	465	171	666	512	236	108	171	783	859	564	256	154	533	264	333	116	605	149	403	616	333	313	325	172	519	266	260					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2048	22	69	12	11	46	44	4	3	87	121	45	12	14	40	84	115	53	14	18	91	21	60	36	15	16	15	58	38	39	56	21	50	7	90	19	53	70	8	14	83	81	87	32	48	53	73					
6	Число погашенных бюллетеней	1587	149	12	8	48	91	109	43	53	70	3	33	6	6	38	0	53	9	8	0	8	7	37	51	44	23	18	103	125	100	3	2	42	76	15	5	58	3	38	33	9	6	6	0	21	2	13					
7	Число бюллетеней в переносных ящиках для голосования	2048	22	69	12	11	46	44	4	3	87	121	45	12	14	40	84	115	53	14	18	91	21	60	36	15	16	15	58	38	39	56	21	50	7	90	19	53	70	8	14	83	81	87	32	48	53	73					
8	Число бюллетеней в стационарных ящиках для голосования	17525	1229	126	117	303	905	703	318	158	837	273	363	134	161	632	189	397	276	132	120	465	171	666	512	236	108	171	783	859	564	256	154	533	264	333	116	605	149	403	616	333	313	325	172	519	266	260					
9	Число недействительных бюллетеней	429	0	21	6	10	19	18	8	7	13	0	33	0	9	12	2	16	4	4	10	9	7	0	5	7	0	2	29	30	18	6	3	28	6	2	9	16	0	9	4	21	4	15	1	3	1	2					
10	Число действительных бюллетеней	19144	1251	174	123	304	932	729	314	154	911	394	375	146	166	660	271	496	325	142	128	547	185	726	543	244	124	184	812	867	585	306	172	555	265	421	126	642	219	402	626	395	390	397	203	564	318	331					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	499	34	5	4	10	27	22	8	5	15	8	10	3	4	18	7	12	12	3	3	17	4	15	14	7	3	4	25	27	18	5	5	17	7	10	2	15	5	12	15	9	9	9	5	14	8	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	331	22	1	4	2	14	19	7	0	11	6	1	0	0	2	3	12	12	0	3	17	0	15	9	7	1	4	25	27	18	5	3	5	3	9	1	15	0	12	6	9	8	9	0	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	277	8	11	5	5	14	4	8	4	12	4	10	3	4	5	3	6	3	6	5	5	1	9	7	6	8	7	7	7	9	6	3	10	7	4	11	8	3	10	8	4	2	7	0	5	0	3					
14	Число погашенных открепительных удостоверений	168	12	4	0	8	13	3	1	5	4	2	9	3	4	16	4	0	0	3	0	0	4	0	5	0	2	0	0	0	0	0	2	12	4	1	1	0	5	0	9	0	1	0	5	11	7	8					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
