Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Бабушкинская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №44	УИК №45	УИК №47	УИК №48	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №58									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10815	1927	1386	406	461	248	151	380	201	274	174	259	1000	298	378	376	311	376	288	820	658	301	142									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9600	1500	1200	350	400	220	140	350	200	250	150	250	900	250	350	350	300	350	250	800	600	300	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3766	838	542	153	176	122	86	76	66	84	52	100	307	93	126	128	83	125	69	210	202	63	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	936	52	26	30	35	15	18	33	32	36	20	22	76	33	58	45	64	19	45	99	95	59	24									
6	Число погашенных избирательных бюллетеней	4898	610	632	167	189	83	36	241	102	130	78	128	517	124	166	177	153	206	136	491	303	178	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	936	52	26	30	35	15	18	33	32	36	20	22	76	33	58	45	64	19	45	99	95	59	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3765	837	542	153	176	122	86	76	66	84	52	100	307	93	126	128	83	125	69	210	202	63	65									
9	Число недействительных избирательных бюллетеней	75	21	3	2	5	2	3	2	2	2	0	4	9	1	4	0	1	4	1	3	0	4	2									
10	Число действительных избирательных бюллетеней	4626	868	565	181	206	135	101	107	96	118	72	118	374	125	180	173	146	140	113	306	297	118	87									
