Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Норильская городская																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	127829	1800	1856	1329	1488	1790	1582	1935	1790	1452	2042	2197	2558	1911	2157	1683	1420	1367	2187	1846	1751	1427	2129	2057	1313	2122	1713	1823	2065	1784	2044	1931	1738	1822	2255	1624	1644	962	2354	2438	2182	375	1490	2148	534	1257	1127	1600	1075	993	1988	1735	1619	1611	1491	1826	1401	1580	1620	1592	1944	1580	1882	1796	1970	1708	1314	2105	2578	2556	1639	1951	2574	1602									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110696	1550	1600	1200	1250	1500	1350	1650	1550	1200	1750	1900	2200	1600	1850	1500	1200	1200	1900	1550	1450	1200	1800	1750	1150	1800	1500	1550	1750	1500	1750	1650	1500	1600	1950	1400	1450	850	2050	2100	1900	371	1300	1850	525	1150	950	1400	950	850	1700	1550	1400	1400	1300	1650	1200	1400	1400	1400	1750	1450	1650	1550	1750	1500	1150	1850	2200	2200	1500	1650	2200	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38063	665	677	466	471	608	554	689	620	497	754	605	858	539	710	544	403	395	643	487	513	431	703	686	376	521	401	467	482	504	572	516	492	482	604	499	389	236	693	728	602	149	440	672	259	388	344	411	269	329	583	421	516	460	440	560	398	410	478	454	532	389	513	467	546	450	331	501	787	830	592	668	916	478									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	434	4	5	136	4	1	0	3	2	27	1	3	3	19	1	4	2	3	1	5	1	4	4	3	2	7	3	3	0	4	7	3	1	8	6	11	2	1	5	4	5	19	1	2	13	1	2	3	0	17	5	1	3	3	2	5	1	7	1	4	1	4	3	1	0	6	0	1	5	5	3	2	3	2									
6	Число погашенных избирательных бюллетеней	72199	881	918	598	775	891	796	958	928	676	995	1292	1339	1042	1139	952	795	802	1256	1058	936	765	1093	1061	772	1272	1096	1080	1268	992	1171	1131	1007	1110	1340	890	1059	613	1352	1368	1293	203	859	1176	253	761	604	986	681	504	1112	1128	881	937	858	1085	801	983	921	942	1217	1057	1134	1082	1204	1044	819	1348	1408	1365	905	980	1281	920									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	434	4	5	136	4	1	0	3	2	27	1	3	3	19	1	4	2	3	1	5	1	4	4	3	2	7	3	3	0	4	7	3	1	8	6	11	2	1	5	4	5	19	1	2	13	1	2	3	0	17	5	1	3	3	2	5	1	7	1	4	1	4	3	1	0	6	0	1	5	5	3	2	3	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38030	665	675	465	469	608	554	689	620	497	754	605	855	539	709	541	403	394	642	487	513	431	699	682	376	514	401	467	482	504	572	516	492	482	603	499	389	236	693	727	602	149	440	672	259	388	344	411	269	329	583	421	516	460	440	560	398	410	478	454	532	389	513	466	546	450	331	501	787	829	592	668	916	478									
9	Число недействительных избирательных бюллетеней	885	11	9	14	13	16	10	11	23	10	12	17	11	12	15	10	0	7	15	9	16	12	19	14	7	15	8	12	19	7	16	6	13	9	15	13	8	6	23	19	7	4	11	13	9	10	6	12	16	7	27	9	24	4	13	13	12	4	8	10	13	9	9	9	15	6	4	9	24	22	8	17	20	19									
10	Число действительных избирательных бюллетеней	37579	658	671	587	460	593	544	681	599	514	743	591	847	546	695	535	405	390	628	483	498	423	684	671	371	506	396	458	463	501	563	513	480	481	594	497	383	231	675	712	600	164	430	661	263	379	340	402	253	339	561	413	495	459	429	552	387	413	471	448	520	384	507	458	531	450	327	493	768	812	587	653	899	461									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1663	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	0	23	23	30	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	423	12	9	7	3	8	4	4	9	8	11	8	8	4	7	3	8	6	6	8	8	1	6	4	0	4	2	4	6	8	7	7	3	4	7	1	3	0	1	4	8	0	4	6	2	4	3	8	3	7	10	8	10	3	11	5	1	11	3	13	9	13	5	7	5	8	5	8	2	7	9	1	8	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	314	7	7	11	2	13	3	7	3	7	2	7	5	3	5	4	2	10	8	2	1	1	15	3	4	12	0	8	1	5	2	0	1	0	1	4	2	5	1	4	1	5	3	6	1	7	11	3	4	8	12	0	7	4	5	6	8	3	3	5	5	3	3	7	2	9	0	2	1	0	1	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	1240	11	14	16	20	15	19	19	14	15	12	15	15	19	16	20	15	17	17	15	15	22	17	19	23	19	21	19	17	15	16	16	20	19	16	22	20	23	22	19	15	0	19	17	28	19	20	15	20	16	13	15	13	20	12	18	22	12	20	10	14	10	18	16	18	15	18	15	21	16	14	22	15	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	316	15	4	6	5	11	7	7	5	1	10	3	8	1	4	4	8	5	5	3	6	7	6	1	5	1	6	4	4	4	5	1	11	2	8	8	7	6	6	8	3	0	4	6	1	0	2	0	1	4	1	8	2	3	2	3	3	1	4	4	4	0	0	1	0	5	3	6	5	3	9	3	4	3									
