Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Шиханская городская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №544	УИК №545					
1	"Число избирателей, внесенных в списки избирателей"	5386	2683	2703					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5512	2787	2725					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3137	1548	1589					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	215	106	109					
6	Число погашенных избирательных бюллетеней	2160	1133	1027					
7	Число избирательных бюллетеней в переносных ящиках для голосования	215	106	109					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3137	1548	1589					
9	Число недействительных избирательных бюллетеней	79	43	36					
10	Число действительных избирательных бюллетеней	3273	1611	1662					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	125	60	65					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	124	60	64					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	23	7	16					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	5	0					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	57	38	19					
		1.70%	2.30%	1.12%					
19	2.Всероссийская политическая партия «Гражданская Сила»	26	12	14					
		0.78%	0.73%	0.82%					
20	3.Политическая партия «Демократическая партия России»	2	2	0					
		0.06%	0.12%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	413	218	195					
		12.32%	13.18%	11.48%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	6	3	3					
		0.18%	0.18%	0.18%					
23	6.Политическая партия «Партия социальной справедливости»	7	3	4					
		0.21%	0.18%	0.24%					
24	7.Политическая партия «Либерально-демократическая партия России»	313	148	165					
		9.34%	8.95%	9.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	602	332	270					
		17.96%	20.07%	15.90%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	27	17	10					
		0.81%	1.03%	0.59%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1803	826	977					
		53.79%	49.94%	57.54%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	17	12	5					
		0.51%	0.73%	0.29%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
