Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																			
Дата голосования: 18.09.2016																																																																																																																			
																																																																																																																			
"Наименование Избирательной комиссии:    Казань, Советская"																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																			
																																																																																																																			
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	226512	2756	2275	2001	1950	2443	1600	2072	2585	2652	2882	2457	1418	2150	2416	2479	2681	2843	2681	865	1720	814	2870	2965	2542	2626	2594	2846	2079	2380	2367	2544	2652	2528	2432	2132	2645	2213	1527	572	2577	2877	2754	2572	1293	2333	2102	2075	1754	2130	2098	2348	2232	1982	2002	2167	1422	2571	2265	2329	2426	2326	2540	2358	2626	2579	2067	2041	2467	2438	2590	2468	2728	2228	1893	2260	2641	2334	2447	2343	2345	2285	2439	2855	2510	2479	2594	2790	2515	2585	2850	2998	2280	3032	2983	191	266	125	355	61	587	709	162	2558	2021									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	205563	2400	2000	1800	1800	2200	1500	1700	2300	2400	2600	2200	1200	1900	2200	2200	2300	2600	2400	700	1600	700	2600	2600	2300	2400	2300	2600	1900	2200	2200	2300	2400	2300	2200	2000	2400	2000	1400	500	2400	2600	2500	2300	1200	2200	1900	2000	1600	1900	1900	2200	2100	1800	1900	2000	1200	2300	2000	2100	2200	2100	2300	2100	2400	2300	2000	1800	2300	1900	2400	2300	2500	2000	1800	2000	2400	2100	2200	2100	2200	2100	2200	2600	2300	2300	2400	2600	2300	2400	2600	2700	2100	2700	2700	191	260	125	368	61	587	709	162	2400	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	113236	1361	1121	992	910	1132	746	963	1332	1509	1531	1202	906	1122	1280	1304	1510	1442	1311	550	717	426	1503	1472	1135	1337	1361	1218	1042	1173	1212	1201	1252	1226	1101	1117	1308	1021	737	249	1139	1501	1308	1299	560	1183	1032	1060	851	1056	953	1157	1073	875	913	1000	658	1416	1229	1070	1094	1148	1314	1190	1255	1178	1046	951	1274	1232	1273	1373	1372	1099	929	1104	1306	1106	1331	1245	1211	1248	1332	1434	1258	1189	1290	1395	1283	1318	1322	1345	1177	1447	1481	191	253	125	355	53	362	709	0	1277	996									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3219	15	17	13	26	16	20	13	18	12	10	19	17	23	64	20	7	3	35	3	92	5	30	40	20	8	13	66	37	66	13	71	101	78	19	13	15	15	118	64	166	4	13	13	102	6	18	20	29	29	134	31	53	42	26	25	11	17	18	94	120	15	18	9	3	4	8	7	6	12	9	5	19	11	9	3	9	21	20	18	7	11	1	5	4	6	26	5	76	42	18	10	36	107	46	0	0	0	0	8	225	0	162	2	10									
6	Число погашенных избирательных бюллетеней	89108	1024	862	795	864	1052	734	724	950	879	1059	979	277	755	856	876	783	1155	1054	147	791	269	1067	1088	1145	1055	926	1316	821	961	975	1028	1047	996	1080	870	1077	964	545	187	1095	1095	1179	988	538	1011	850	920	720	815	813	1012	974	883	961	975	531	867	753	936	986	937	968	901	1142	1118	946	842	1020	656	1118	922	1109	890	862	893	1085	973	849	837	982	841	867	1161	1038	1105	1084	1200	941	1040	1260	1345	887	1146	1173	0	7	0	13	0	0	0	0	1121	894									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3219	15	17	13	26	16	20	13	18	12	10	19	17	23	64	20	7	3	35	3	92	5	30	40	20	8	13	66	37	66	13	71	101	78	19	13	15	15	118	64	166	4	13	13	102	6	18	20	29	29	134	31	53	42	26	25	11	17	18	94	120	15	18	9	3	4	8	7	6	12	9	5	19	11	9	3	9	21	20	18	7	11	1	5	4	6	26	5	76	42	18	10	36	107	46	0	0	0	0	8	225	0	162	2	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	113053	1357	1120	992	910	1131	745	963	1332	1506	1528	1200	904	1120	1277	1304	1508	1442	1311	550	717	419	1503	1471	1135	1331	1360	1215	1041	1173	1210	1199	1252	1226	1101	1116	1308	1021	734	249	1138	1501	1300	1299	560	1181	1032	1060	849	1056	953	1157	1073	874	913	998	655	1413	1227	1068	1092	1146	1310	1186	1253	1161	1044	950	1274	1230	1273	1371	1371	1099	927	1101	1304	1103	1330	1242	1208	1243	1329	1431	1250	1186	1287	1385	1278	1318	1322	1340	1177	1447	1481	191	253	125	355	53	362	709	0	1275	993									
9	Число недействительных избирательных бюллетеней	1170	48	5	3	4	14	10	22	16	32	32	7	18	4	17	34	13	6	4	6	15	5	8	8	5	18	5	4	10	16	5	5	11	2	21	3	25	10	8	0	7	13	15	10	2	12	2	3	23	6	0	0	6	6	35	4	10	13	3	26	20	3	21	8	21	25	3	10	3	18	2	3	38	17	5	16	38	6	40	10	8	12	43	7	6	12	10	10	20	0	6	8	9	8	4	1	0	0	4	3	0	0	0	13	4									
10	Число действительных избирательных бюллетеней	115102	1324	1132	1002	932	1133	755	954	1334	1486	1506	1212	903	1139	1324	1290	1502	1439	1342	547	794	419	1525	1503	1150	1321	1368	1277	1068	1223	1218	1265	1342	1302	1099	1126	1298	1026	844	313	1297	1492	1298	1302	660	1175	1048	1077	855	1079	1087	1188	1120	910	904	1019	656	1417	1242	1136	1192	1158	1307	1187	1235	1140	1049	947	1277	1224	1280	1373	1352	1093	931	1088	1275	1118	1310	1250	1207	1242	1287	1429	1248	1180	1303	1380	1334	1360	1334	1342	1204	1546	1523	190	253	125	351	58	587	709	162	1264	999									
