Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Десногорская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №794									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24764	2178	1777	2138	2004	1950	2258	2028	2086	2100	1948	2202	2095									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22323	2207	1761	2153	1400	1400	2280	2045	1500	1890	1968	2219	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10028	836	581	891	861	862	868	686	923	870	801	997	852									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	73	7	5	7	9	8	11	2	8	4	3	4	5									
6	Число погашенных избирательных бюллетеней	12222	1364	1175	1255	530	530	1401	1357	569	1016	1164	1218	643									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	73	7	5	7	9	8	11	2	8	4	3	4	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10025	836	581	891	859	862	868	686	923	869	801	997	852									
9	Число недействительных избирательных бюллетеней	161	12	12	15	14	17	12	10	18	9	13	9	20									
10	Число действительных избирательных бюллетеней	9937	831	574	883	854	853	867	678	913	864	791	992	837									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	20	20	20	20	20	20	20	30	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	132	8	9	9	9	17	13	7	23	16	7	7	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	0	6	4	7	4	4	4	28	7	3	6	1									
14	Число погашенных неиспользованных открепительных удостоверений	118	12	11	11	11	3	7	13	7	4	13	13	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	4	0	4	4	5	3	3	5	5	6	3	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	170	13	5	15	14	14	10	16	11	15	21	15	21									
		1.68%	1.54%	0.85%	1.67%	1.61%	1.61%	1.14%	2.33%	1.18%	1.72%	2.61%	1.50%	2.45%									
