Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Переволоцкая																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385					
1	"Число избирателей, внесенных в список"	21934	269	392	419	165	484	36	149	158	647	600	705	580	375	67	39	597	209	144	232	656	116	49	523	209	967	130	138	94	810	177	177	145	740	86	220	126	458	1074	951	870	1402	671	1233	1121	1469	836	219					
2	Число полученных избирательных бюллетеней	20768	300	400	400	160	450	40	150	150	650	600	700	600	400	70	40	600	200	150	250	650	120	50	500	200	1000	150	150	100	800	200	180	150	700	100	220	150	450	1100	900	900	1200	600	900	900	1088	800	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14436	150	293	310	107	351	31	104	116	422	335	623	472	261	66	38	452	188	114	184	487	89	44	362	136	801	123	130	76	531	148	146	114	491	80	171	89	315	945	421	484	690	357	664	575	741	453	156					
5	"Число избирательных бюллетеней, выданных вне помещения"	610	28	22	15	2	52	0	12	15	47	35	5	0	15	0	0	0	0	0	20	3	0	0	30	3	13	0	0	0	24	1	1	0	10	0	0	1	17	29	46	17	14	44	28	13	33	2	13					
6	Число погашенных избирательных бюллетеней	5722	122	85	75	51	47	9	34	19	181	230	72	128	124	4	2	148	12	36	46	160	31	6	108	61	186	27	20	24	245	51	33	36	199	20	49	60	118	126	433	399	496	199	208	312	314	345	31					
7	Число избирательных бюллетеней в переносных ящиках	610	28	22	15	2	52	0	12	15	47	35	5	0	15	0	0	0	0	0	20	3	0	0	30	3	13	0	0	0	24	1	1	0	10	0	0	1	17	29	46	17	14	44	28	13	33	2	13					
8	Число бюллетеней в стационарных ящиках для голосования	14436	150	293	310	107	351	31	104	116	422	335	623	472	261	66	38	452	188	114	184	487	89	44	362	136	801	123	130	76	531	148	146	114	491	80	171	89	315	945	421	484	690	357	664	575	741	453	156					
9	Число недействительных избирательных бюллетеней	139	2	1	2	0	2	0	0	1	2	7	5	13	1	0	0	3	4	1	1	0	0	0	5	0	6	0	0	0	6	2	5	1	10	0	0	0	2	6	8	7	4	3	11	5	9	1	3					
10	Число действительных избирательных бюллетеней	14907	176	314	323	109	401	31	116	130	467	363	623	459	275	66	38	449	184	113	203	490	89	44	387	139	808	123	130	76	549	147	142	113	491	80	171	90	330	968	459	494	700	398	681	583	765	454	166					
11	Число полученных открепительных  удостоверений	400	6	8	8	8	8	2	3	3	10	10	12	10	9	3	2	12	5	3	5	10	3	2	9	4	14	4	4	2	11	5	3	4	13	3	5	5	8	20	15	15	20	15	20	20	20	15	4					
12	Число выданных открепительных удостоверений	176	2	6	0	0	7	0	1	0	2	4	4	0	6	0	0	12	1	1	2	10	0	0	9	3	8	0	0	0	11	2	0	0	5	0	0	2	4	13	3	7	16	1	11	12	5	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	1	1	0	0	4	0	0	1	4	2	2	6	3	0	1	1	0	1	1	3	0	0	2	2	0	0	1	0	14	0	0	0	3	0	0	2	7	2	2	2	4	9	11	0	2	0	1					
14	Число неиспользованных открепительных удостоверений	224	4	2	8	8	1	2	2	3	8	6	8	10	3	3	2	0	4	2	3	0	3	2	0	1	6	4	4	2	0	3	3	4	8	3	5	3	4	7	12	8	4	14	9	8	15	9	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	488	3	9	14	2	12	0	1	0	12	8	23	10	14	0	0	14	3	2	5	14	6	0	5	4	10	0	2	0	30	5	2	3	24	3	6	3	9	23	18	25	43	27	20	13	33	22	6					
		3.24%	1.69%	2.86%	4.31%	1.83%	2.98%	0.00%	0.86%	0.00%	2.56%	2.16%	3.66%	2.12%	5.07%	0.00%	0.00%	3.10%	1.60%	1.75%	2.45%	2.86%	6.74%	0.00%	1.28%	2.88%	1.23%	0.00%	1.54%	0.00%	5.41%	3.36%	1.36%	2.63%	4.79%	3.75%	3.51%	3.33%	2.71%	2.36%	3.85%	4.99%	6.11%	6.73%	2.89%	2.21%	4.26%	4.84%	3.55%					
19	. Малышкин Олег Александрович	578	9	16	16	2	30	1	3	9	19	14	17	4	16	15	1	2	1	5	6	10	0	7	22	3	14	1	4	2	14	2	3	7	28	2	4	6	17	16	24	34	31	17	21	48	26	24	5					
		3.84%	5.06%	5.08%	4.92%	1.83%	7.44%	3.23%	2.59%	6.87%	4.05%	3.78%	2.71%	0.85%	5.80%	22.73%	2.63%	0.44%	0.53%	4.39%	2.94%	2.04%	0.00%	15.91%	5.61%	2.16%	1.72%	0.81%	3.08%	2.63%	2.52%	1.34%	2.04%	6.14%	5.59%	2.50%	2.34%	6.67%	5.12%	1.64%	5.14%	6.79%	4.40%	4.24%	3.03%	8.16%	3.36%	5.27%	2.96%					
20	. Миронов Сергей Михайлович	129	3	4	5	1	1	0	1	1	2	7	1	4	1	0	0	8	0	1	0	0	3	1	3	1	5	1	1	0	10	1	5	2	5	1	1	3	5	4	5	4	9	2	2	3	7	3	2					
		0.86%	1.69%	1.27%	1.54%	0.92%	0.25%	0.00%	0.86%	0.76%	0.43%	1.89%	0.16%	0.85%	0.36%	0.00%	0.00%	1.77%	0.00%	0.88%	0.00%	0.00%	3.37%	2.27%	0.77%	0.72%	0.61%	0.81%	0.77%	0.00%	1.80%	0.67%	3.40%	1.75%	1.00%	1.25%	0.58%	3.33%	1.51%	0.41%	1.07%	0.80%	1.28%	0.50%	0.29%	0.51%	0.90%	0.66%	1.18%					
21	. Путин Владимир Владимирович	8714	107	156	224	87	147	10	64	57	326	233	235	211	101	25	5	348	114	93	122	392	70	26	215	90	672	103	102	67	370	83	88	58	259	55	120	52	174	655	207	215	357	190	336	264	440	280	109					
		57.92%	60.11%	49.52%	68.92%	79.82%	36.48%	32.26%	55.17%	43.51%	69.51%	62.97%	37.42%	44.70%	36.59%	37.88%	13.16%	76.99%	60.64%	81.58%	59.80%	80.00%	78.65%	59.09%	54.85%	64.75%	82.56%	83.74%	78.46%	88.16%	66.67%	55.70%	59.86%	50.88%	51.70%	68.75%	70.18%	57.78%	52.41%	67.25%	44.33%	42.91%	50.71%	47.38%	48.55%	44.90%	56.85%	61.54%	64.50%					
22	. Хакамада Ирина Муцуовна	258	3	7	1	0	10	1	2	1	7	11	16	10	6	0	0	2	4	0	2	11	0	1	6	1	6	2	5	0	8	4	6	3	13	5	9	1	9	11	8	16	6	5	11	6	10	11	1					
