Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Уфимская (Кировская ОИК)																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  3151	УИК  3152	УИК №3154	УИК №3155	УИК №3156	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК  3169	УИК  3170	УИК  3174	УИК  3179	УИК  3180	УИК  3181	УИК  3182	УИК  3185	УИК  3186	УИК  3192	УИК  3193					
1	"Число избирателей, внесенных в списки"	20380	1924	1802	2302	466	423	1277	380	242	1180	1293	405	473	1836	609	788	343	576	1528	408	1618	507					
2	"Число бюллетеней, полученных участковыми комиссиями"	19200	1750	1680	2220	450	420	1150	375	235	1050	1200	570	490	1600	600	750	340	570	1250	400	1600	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13876	1450	1340	1544	332	302	738	233	144	810	829	374	262	1319	453	496	208	369	1098	286	1000	289					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	506	12	11	28	15	12	34	12	13	11	40	31	42	81	23	14	6	40	19	4	41	17					
6	Число погашенных бюллетеней	4820	288	329	650	103	106	378	130	78	229	331	165	186	200	124	240	126	161	133	110	559	194					
7	Число бюллетеней в переносных ящиках для голосования	506	12	11	28	15	12	34	12	13	11	40	31	42	81	23	14	6	40	19	4	41	17					
8	Число бюллетеней в стационарных ящиках для голосования	13873	1450	1340	1541	332	302	738	233	144	810	829	374	262	1319	453	496	208	369	1098	286	1000	289					
9	Число недействительных бюллетеней	525	53	60	52	26	9	33	19	16	20	24	11	7	40	13	27	9	9	29	9	49	10					
10	Число действительных бюллетеней	13854	1409	1291	1517	321	305	739	226	141	801	845	394	297	1360	463	483	205	400	1088	281	992	296					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	370	35	30	35	10	10	20	10	5	20	20	10	10	35	10	15	5	10	20	10	40	10					
