Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Каракулинская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017					
1	"Число избирателей, внесенных в списки"	10378	819	392	193	640	701	477	451	783	1053	1050	1048	281	372	534	383	591	610					
2	"Число бюллетеней, полученных участковыми комиссиями"	9180	750	350	170	570	560	430	390	700	940	930	930	240	330	480	340	530	540					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5824	420	162	108	446	448	312	241	392	578	632	647	190	136	265	193	301	353					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	681	71	124	13	5	44	16	59	25	32	13	19	17	80	15	27	90	31					
6	Число погашенных бюллетеней	2675	259	64	49	119	68	102	90	283	330	285	264	33	114	200	120	139	156					
7	Число бюллетеней в переносных ящиках для голосования	681	71	124	13	5	44	16	59	25	32	13	19	17	80	15	27	90	31					
8	Число бюллетеней в стационарных ящиках для голосования	5824	420	162	108	446	448	312	241	392	578	632	647	190	136	265	193	301	353					
9	Число недействительных бюллетеней	139	12	9	4	6	17	5	5	13	10	4	5	4	6	7	0	17	15					
10	Число действительных бюллетеней	6366	479	277	117	445	475	323	295	404	600	641	661	203	210	273	220	374	369					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	170	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	46	5	0	2	1	5	2	2	2	9	5	0	3	0	3	1	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	3	1	1	3	78	2	27	1	7	1	6	8	0	2	2	0	3					
14	Число погашенных открепительных удостоверений	124	5	10	8	9	5	8	8	8	1	5	10	7	10	7	9	6	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	117	11	9	7	10	16	5	7	6	6	9	8	2	1	4	1	7	8					
		1.79%	2.24%	3.14%	5.78%	2.21%	3.25%	1.52%	2.33%	1.43%	0.98%	1.39%	1.20%	0.96%	0.46%	1.42%	0.45%	1.79%	2.08%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	125	13	2	5	19	6	1	10	5	11	17	15	3	2	4	3	4	5					
		1.92%	2.64%	0.69%	4.13%	4.21%	1.21%	0.30%	3.33%	1.19%	1.80%	2.63%	2.25%	1.44%	0.92%	1.42%	1.36%	1.02%	1.30%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	85	14	2	1	6	3	3	7	4	12	7	5	1	5	3	1	6	5					
		1.30%	2.85%	0.69%	0.82%	1.33%	0.60%	0.91%	2.33%	0.95%	1.96%	1.08%	0.75%	0.48%	2.31%	1.07%	0.45%	1.53%	1.30%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	49	2	1	1	4	11	0	3	2	4	2	1	3	2	4	2	3	4					
		0.75%	0.40%	0.34%	0.82%	0.88%	2.23%	0.0%	1.0%	0.47%	0.65%	0.31%	0.15%	1.44%	0.92%	1.42%	0.90%	0.76%	1.04%					
22	"5. ""За Русь Святую"""	29	1	0	1	2	4	0	1	1	3	7	4	1	0	2	0	1	1					
		0.44%	0.20%	0.0%	0.82%	0.44%	0.81%	0.0%	0.33%	0.23%	0.49%	1.08%	0.60%	0.48%	0.0%	0.71%	0.0%	0.25%	0.26%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	1	0	0	0	2	1	1	2	0	3	0	1	0	0	1	0	1					
		0.19%	0.20%	0.0%	0.0%	0.0%	0.40%	0.30%	0.33%	0.47%	0.0%	0.46%	0.0%	0.48%	0.0%	0.0%	0.45%	0.0%	0.26%					
24	"7. ""Новый курс - Автомобильная Россия"""	25	0	1	1	1	2	0	1	3	6	4	6	0	0	0	0	0	0					
		0.38%	0.0%	0.34%	0.82%	0.22%	0.40%	0.0%	0.33%	0.71%	0.98%	0.62%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	9	1	0	0	2	2	0	2	0	0	1	1	0	0	0	0	0	0					
		0.13%	0.20%	0.0%	0.0%	0.44%	0.40%	0.0%	0.66%	0.0%	0.0%	0.15%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	3	0	0	0	2	0	1	0	0	3	0	0	0	1	1	1	1					
		0.19%	0.61%	0.0%	0.0%	0.0%	0.40%	0.0%	0.33%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.35%	0.45%	0.25%	0.26%					
27	"10. ""Аграрная партия России"""	1147	121	43	10	61	36	137	104	53	77	65	64	28	28	95	46	80	99					
		17.63%	24.64%	15.03%	8.26%	13.52%	7.31%	41.76%	34.66%	12.70%	12.62%	10.07%	9.60%	13.52%	12.96%	33.92%	20.90%	20.46%	25.78%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1					
		0.06%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.26%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	44	3	3	2	2	2	2	2	1	5	7	4	2	1	1	2	2	3					
		0.67%	0.61%	1.04%	1.65%	0.44%	0.40%	0.60%	0.66%	0.23%	0.81%	1.08%	0.60%	0.96%	0.46%	0.35%	0.90%	0.51%	0.78%					
30	"13. ""Демократическая партия России"""	15	0	0	1	1	4	0	1	1	4	0	1	0	0	0	0	0	2					
		0.23%	0.0%	0.0%	0.82%	0.22%	0.81%	0.0%	0.33%	0.23%	0.65%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	1	0	1	0	1	1	0	1	0	2	1	1	0	1	0	0	0					
		0.15%	0.20%	0.0%	0.82%	0.0%	0.20%	0.30%	0.0%	0.23%	0.0%	0.31%	0.15%	0.48%	0.0%	0.35%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	0	0	1	1	0	1	0	0	0	3	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.22%	0.20%	0.0%	0.33%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	136	7	4	3	0	14	5	8	14	17	13	21	7	3	9	1	5	5					
		2.09%	1.42%	1.39%	2.47%	0.0%	2.84%	1.52%	2.66%	3.35%	2.78%	2.01%	3.15%	3.38%	1.38%	3.21%	0.45%	1.27%	1.30%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	2	0	1	3	0	0	5	2	1	2	5	3	0	1	0	3	1					
		0.44%	0.40%	0.0%	0.82%	0.66%	0.0%	0.0%	1.66%	0.47%	0.16%	0.31%	0.75%	1.44%	0.0%	0.35%	0.0%	0.76%	0.26%					
35	"18. ""ЛДПР"""	718	44	19	3	31	75	32	33	62	62	96	110	21	23	25	18	53	11					
		11.03%	8.96%	6.64%	2.47%	6.87%	15.24%	9.75%	11.0%	14.86%	10.16%	14.88%	16.51%	10.14%	10.64%	8.92%	8.18%	13.55%	2.86%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	93	7	1	1	5	10	1	7	13	10	11	9	0	2	2	7	6	1					
		1.42%	1.42%	0.34%	0.82%	1.10%	2.03%	0.30%	2.33%	3.11%	1.63%	1.70%	1.35%	0.0%	0.92%	0.71%	3.18%	1.53%	0.26%					
37	"20. ""Политическая партия ""Единая Россия"""	2985	207	177	66	272	246	113	74	191	300	309	320	101	125	76	102	161	145					
		45.88%	42.15%	61.88%	54.54%	60.31%	50.0%	34.45%	24.66%	45.80%	49.18%	47.90%	48.04%	48.79%	57.87%	27.14%	46.36%	41.17%	37.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	0	1	1	1	1	1	1	0	2	3	1	1	1	1	1	2					
		0.27%	0.0%	0.0%	0.82%	0.22%	0.20%	0.30%	0.33%	0.23%	0.0%	0.31%	0.45%	0.48%	0.46%	0.35%	0.45%	0.25%	0.52%					
39	"22. ""Развитие предпринимательства"""	14	3	1	1	1	0	1	0	1	2	0	0	0	1	0	0	3	0					
		0.21%	0.61%	0.34%	0.82%	0.22%	0.0%	0.30%	0.0%	0.23%	0.32%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.76%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	473	22	7	8	10	21	13	12	27	48	55	48	21	13	40	28	33	67					
		7.27%	4.48%	2.44%	6.61%	2.21%	4.26%	3.96%	4.0%	6.47%	7.86%	8.52%	7.20%	10.14%	6.01%	14.28%	12.72%	8.43%	17.44%					
																								
41	Против всех	209	16	7	3	12	16	7	13	14	32	26	32	7	3	3	6	5	7					
		3.21%	3.25%	2.44%	2.47%	2.66%	3.25%	2.13%	4.33%	3.35%	5.24%	4.03%	4.80%	3.38%	1.38%	1.07%	2.72%	1.27%	1.82%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
