Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
"Наименование Избирательной комиссии:    Рязань, Московская"																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971					
1	"Число избирателей, внесенных в список избирателей"	143346	2520	2852	2845	2682	2127	2185	2094	1965	2278	1037	2579	2672	2693	2682	2567	2176	2390	2449	2073	2038	2077	2118	2263	2152	2428	2260	2312	2666	2801	2515	2378	2528	2237	1998	2829	2550	2668	2511	2482	2428	2734	2789	2659	2394	2073	2112	315	2899	2617	2569	2198	2552	2750	2350	2140	2155	2051	2034	2357	2452	2041					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	140949	2500	2800	2800	2700	2100	2200	2100	1900	2200	1034	2500	2600	2600	2700	2500	2100	2400	2400	2100	2000	2000	2100	2200	2100	2400	2200	2300	2600	2700	2500	2400	2500	2200	2000	2800	2500	2600	2500	2500	2400	2700	2800	2600	2300	2100	2100	315	2800	2500	2500	2000	2600	2700	2300	2100	2100	2000	2000	2300	2400	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	68624	994	1357	1319	1210	1031	1020	1087	877	1182	468	1276	1408	1305	1355	1237	1161	1234	1223	1118	966	1066	1057	1014	938	1059	1059	1047	1219	1294	1279	1232	1119	986	885	1196	1264	1197	1267	1214	1061	1383	1392	1379	1155	890	1043	181	1501	1191	1266	1272	1111	1316	966	658	744	1131	1226	1484	1107	947					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2497	74	16	12	5	10	31	41	27	24	510	58	28	50	21	27	21	18	9	10	13	18	19	18	100	13	36	33	42	37	19	24	24	40	30	54	42	32	40	46	28	58	32	41	85	14	34	131	11	21	13	24	24	15	31	79	53	29	10	32	35	25					
6	Число погашенных избирательных бюллетеней	69828	1432	1427	1469	1485	1059	1149	972	996	994	56	1166	1164	1245	1324	1236	918	1148	1168	972	1021	916	1024	1168	1062	1328	1105	1220	1339	1369	1202	1144	1357	1174	1085	1550	1194	1371	1193	1240	1311	1259	1376	1180	1060	1196	1023	3	1288	1288	1221	704	1465	1369	1303	1363	1303	840	764	784	1258	1028					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2497	74	16	12	5	10	31	41	27	24	510	58	28	50	21	27	21	18	9	10	13	18	19	18	100	13	36	33	42	37	19	24	24	40	30	54	42	32	40	46	28	58	32	41	85	14	34	131	11	21	13	24	24	15	31	79	53	29	10	32	35	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68532	994	1357	1298	1209	1031	1020	1085	876	1181	468	1273	1378	1305	1355	1236	1160	1230	1221	1118	966	1066	1055	1013	938	1059	1059	1047	1218	1294	1276	1226	1119	986	885	1195	1263	1196	1267	1213	1061	1379	1392	1379	1155	890	1041	181	1501	1191	1266	1272	1111	1316	965	658	744	1131	1226	1483	1107	947					
9	Число недействительных избирательных бюллетеней	1211	25	20	17	24	16	16	29	20	24	13	19	32	26	20	39	29	14	16	21	18	21	20	10	14	16	21	18	18	20	31	13	16	16	8	17	25	25	30	19	17	21	29	28	19	14	20	3	18	17	21	24	12	15	18	9	26	20	18	35	12	19					
10	Число действительных избирательных бюллетеней	69818	1043	1353	1293	1190	1025	1035	1097	883	1181	965	1312	1374	1329	1356	1224	1152	1234	1214	1107	961	1063	1054	1021	1024	1056	1074	1062	1242	1311	1264	1237	1127	1010	907	1232	1280	1203	1277	1240	1072	1416	1395	1392	1221	890	1055	309	1494	1195	1258	1272	1123	1316	978	728	771	1140	1218	1480	1130	953					
