Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Отрадненская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850	УИК №3851	УИК №3852	УИК №3853					
1	"Число избирателей, внесенных в списки"	48180	1975	2826	2399	2139	2277	2683	1858	1640	916	151	380	29	18	1575	1434	1541	190	532	159	360	1013	462	1240	407	169	162	1426	1039	341	702	678	1185	1378	77	147	227	463	1697	1297	209	1148	1593	1215	345	272	874	310	1159	511	551	430	189	182					
2	"Число бюллетеней, полученных участковыми комиссиями"	48330	1943	2826	2384	1998	2472	2598	1867	1640	897	150	397	29	18	1575	1404	1531	212	519	147	351	998	456	1235	703	211	161	1385	1037	341	702	668	1162	1371	76	149	248	467	1691	1297	200	1144	1578	1215	361	273	877	310	1191	530	551	418	184	182					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24932	744	1141	1122	1008	1010	1184	808	676	562	97	272	28	18	805	781	674	113	299	97	208	517	225	743	377	169	131	853	591	165	366	456	717	712	56	83	135	335	896	648	127	595	965	600	154	166	487	158	635	307	318	272	162	164					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2312	28	69	58	164	73	61	96	78	41	6	9	0	0	30	51	84	34	5	4	21	114	84	69	30	0	0	77	51	35	11	3	43	72	0	29	25	12	92	80	20	42	43	82	56	45	69	45	62	30	33	27	19	0					
6	Число погашенных бюллетеней	21086	1171	1616	1204	826	1389	1353	963	886	294	47	116	1	0	740	572	773	65	215	46	122	367	147	423	296	42	30	455	395	141	325	209	402	587	20	37	88	120	703	569	53	507	570	533	151	62	321	107	494	193	200	119	3	18					
7	Число бюллетеней в переносных ящиках для голосования	2310	28	69	58	164	73	61	96	78	41	6	9	0	0	30	51	82	34	5	4	21	114	84	69	30	0	0	77	51	35	11	3	43	72	0	29	25	12	92	80	20	42	43	82	56	45	69	45	62	30	33	27	19	0					
8	Число бюллетеней в стационарных ящиках для голосования	24933	744	1141	1122	1008	1010	1184	808	676	562	97	272	28	18	804	781	676	113	299	97	208	517	225	743	377	169	131	853	591	165	366	456	717	712	56	83	135	335	896	648	127	595	965	600	154	166	487	158	635	307	318	272	162	164					
9	Число недействительных бюллетеней	342	24	0	11	7	6	1	15	11	15	0	6	0	0	14	12	3	3	13	0	0	0	9	4	2	0	0	11	8	0	10	0	11	12	2	0	3	0	1	19	2	12	15	16	0	2	20	7	3	14	13	1	4	0					
10	Число действительных бюллетеней	26901	748	1210	1169	1165	1077	1244	889	743	588	103	275	28	18	820	820	755	144	291	101	229	631	300	808	405	169	131	919	634	200	367	459	749	772	54	112	157	347	987	709	145	625	993	666	210	209	536	196	694	323	338	298	177	164					
