Выборы Президента Российской Федерации																																																																	
Дата голосования: 04.03.2012																																																																	
																																																																	
Наименование Избирательной комиссии:    Волгоград, Краснооктябрьская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	Число участковых избирательных комиссий, приступивших к передаче сведений	54																																																															
																																																																	
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754									
1	Число избирателей, включенных в список избирателей	123367	2609	2577	2552	2200	1744	2153	1924	2523	2180	2236	2413	920	1762	2139	1953	1666	2575	2508	2679	2560	2441	2361	2634	2214	2287	1708	1695	2343	2812	2257	1947	2544	1038	2527	2255	2596	2698	2753	2390	2365	2679	2349	2539	2488	2811	1876	2492	2376	2312	2460	2486	2375	2023	2363									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	103800	2250	2050	2150	1900	1500	1800	1850	2150	1900	1700	1850	850	1400	1700	1700	1500	2250	2200	2300	2250	2100	2000	2150	1850	2000	1400	1700	1950	1800	1800	1550	2050	900	2150	1900	2150	2250	2350	2150	1550	2300	2050	2200	2150	2400	1650	2200	2000	2000	2050	2200	2000	1700	1900									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	67059	1273	1230	1396	1297	892	1200	1165	1333	1232	1195	1118	519	760	1015	1087	1101	1361	1734	1529	1452	1408	1294	1582	1190	1163	829	1017	1290	1046	1234	831	1157	440	1542	1507	1638	1441	1643	1312	1128	1415	1344	1319	1477	1460	1051	1541	1274	1434	1206	1278	1181	1203	1295									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	9277	161	56	116	117	172	116	119	276	159	252	577	15	75	111	94	124	216	199	67	52	113	182	144	130	194	86	128	109	669	36	181	66	168	105	95	103	204	111	177	339	105	103	95	314	292	28	268	249	215	238	229	231	382	114									
6	Число погашенных избирательных бюллетеней	27464	816	764	638	486	436	484	566	541	509	253	155	316	565	574	519	275	673	267	704	746	579	524	424	530	643	485	555	551	85	530	538	827	292	503	298	409	605	596	661	83	780	603	786	359	648	571	391	477	351	606	693	588	115	491									
7	Число избирательных бюллетеней в переносных ящиках для голосования	9277	161	56	116	117	172	116	119	276	159	252	577	15	75	111	94	124	216	199	67	52	113	182	144	130	194	86	128	109	669	36	181	66	168	105	95	103	204	111	177	339	105	103	95	314	292	28	268	249	215	238	229	231	382	114									
8	Число бюллетеней в стационарных ящиках для голосования	66910	1273	1230	1396	1297	892	1200	1165	1333	1232	1195	1117	519	760	1015	1087	1101	1361	1734	1529	1452	1408	1294	1438	1190	1163	829	1017	1288	1046	1234	831	1157	440	1542	1507	1638	1441	1643	1312	1128	1415	1342	1319	1477	1460	1051	1541	1274	1434	1206	1278	1181	1203	1295									
9	Число недействительных избирательных бюллетеней	746	15	12	15	11	11	16	15	7	18	13	16	7	13	17	12	12	19	22	4	12	14	2	18	19	19	3	13	13	25	18	9	10	1	21	17	21	23	11	12	19	21	14	7	17	5	7	9	2	13	35	19	14	19	9									
10	Число действительных избирательных бюллетеней	75441	1419	1274	1497	1403	1053	1300	1269	1602	1373	1434	1678	527	822	1109	1169	1213	1558	1911	1592	1492	1507	1474	1564	1301	1338	912	1132	1384	1690	1252	1003	1213	607	1626	1585	1720	1622	1743	1477	1448	1499	1431	1407	1774	1747	1072	1800	1521	1636	1409	1488	1398	1566	1400									
11	Число полученных открепительных  удостоверений	2603	35	37	50	45	27	35	40	42	40	50	47	20	30	30	50	32	53	50	60	55	50	40	45	40	59	50	27	50	30	47	57	40	37	55	55	50	60	60	66	50	70	60	55	80	70	60	50	65	40	50	70	57	40	40									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	2575	35	37	48	45	27	35	40	42	40	50	45	20	30	30	46	32	53	50	59	54	49	40	42	37	59	42	27	50	30	47	57	40	37	55	55	50	59	60	65	50	70	60	55	80	70	59	50	65	40	50	70	57	40	40									
