Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
"Наименование Избирательной комиссии:    Ижевск, Октябрьская"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363					
1	"Число избирателей, внесенных в список избирателей"	109209	2212	2454	2091	1873	1839	1997	2208	1792	2260	1859	2031	2162	2118	2203	2324	1626	1525	1846	1784	2200	2160	2224	777	1205	1499	1770	1043	1323	1235	2562	2104	2037	2436	2141	1634	2440	2483	2139	1746	2345	2284	1698	1476	2728	2830	2666	1664	2585	2432	886	1226	56	1474	2814	127	2227	548	594	781	60	135	84	127					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92050	2000	2000	2000	1500	1500	1500	2000	1500	2000	1500	1500	1500	2000	2000	2000	1500	1500	1500	1500	2000	2000	2000	700	1000	1400	1400	1000	1000	1000	2000	2000	1500	2000	2000	1500	2000	2000	2000	1500	2000	2000	1500	1400	2000	2000	2000	1500	2000	2000	800	1000	100	1400	2000	100	1500	500	500	700	100	150	100	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	60214	1184	1285	1164	1049	1027	1092	1270	978	1156	1075	1216	1147	1043	1236	1403	866	671	1012	953	1312	1206	1268	392	779	888	840	628	701	656	1432	1094	1050	1277	1272	722	1364	1414	1252	900	1215	1421	934	849	1509	1611	1529	846	1516	1372	323	700	56	825	1681	84	1103	281	265	478	60	75	82	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1192	37	37	31	14	16	24	14	4	10	14	14	24	26	5	33	39	7	13	15	35	36	18	11	8	13	13	12	15	16	55	46	14	6	16	8	33	23	10	23	26	15	13	7	17	17	7	6	11	9	29	4	0	9	38	8	103	7	11	13	0	54	0	0					
6	Число погашенных избирательных бюллетеней	30644	779	678	805	437	457	384	716	518	834	411	270	329	931	759	564	595	822	475	532	653	758	714	297	213	499	547	360	284	328	513	860	436	717	712	770	603	563	738	577	759	564	553	544	474	372	464	648	473	619	448	296	44	566	281	8	294	212	224	209	40	21	18	75					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1192	37	37	31	14	16	24	14	4	10	14	14	24	26	5	33	39	7	13	15	35	36	18	11	8	13	13	12	15	16	55	46	14	6	16	8	33	23	10	23	26	15	13	7	17	17	7	6	11	9	29	4	0	9	38	8	103	7	11	13	0	54	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60142	1184	1283	1164	1047	1027	1092	1270	978	1156	1075	1215	1147	1027	1236	1403	866	671	1012	953	1312	1204	1265	392	779	888	835	628	701	656	1432	1093	1050	1277	1262	722	1362	1412	1252	899	1215	1421	934	849	1508	1611	1529	846	1494	1372	323	700	56	825	1681	84	1101	281	265	478	60	75	82	125					
9	Число недействительных избирательных бюллетеней	983	15	25	21	22	12	21	26	20	14	13	28	22	0	31	36	13	5	22	12	21	14	25	8	9	16	14	6	12	9	28	21	12	23	18	9	18	28	20	6	25	27	20	13	20	28	27	17	0	20	4	14	1	16	24	4	12	7	1	19	3	2	4	0					
10	Число действительных избирательных бюллетеней	60351	1206	1295	1174	1039	1031	1095	1258	962	1152	1076	1201	1149	1053	1210	1400	892	673	1003	956	1326	1226	1258	395	778	885	834	634	704	663	1459	1118	1052	1260	1260	721	1377	1407	1242	916	1216	1409	927	843	1505	1600	1509	835	1505	1361	348	690	55	818	1695	88	1192	281	275	472	57	127	78	125					
