Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Усть-Лабинская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №5601	УИК №5602	УИК №5603	УИК №5604	УИК №5605	УИК №5606	УИК №5607	УИК №5608	УИК №5609	УИК №5610	УИК №5611	УИК №5612	УИК №5613	УИК №5614	УИК №5615	УИК №5616	УИК №5617	УИК №5618	УИК №5619	УИК №5620	УИК №5621	УИК №5622	УИК №5623	УИК №5624	УИК №5625	УИК №5626	УИК №5627	УИК №5628	УИК №5629	УИК №5630	УИК №5631	УИК №5632	УИК №5633	УИК №5634	УИК №5635	УИК №5636	УИК №5637	УИК №5638	УИК №5639	УИК №5640	УИК №5641	УИК №5642	УИК №5643	УИК №5644	УИК №5645	УИК №5646	УИК №5647	УИК №5648	УИК №5649	УИК №5650	УИК №5651	УИК №5652	УИК №5653	УИК №5654	УИК №5655	УИК №5656	УИК №5657	УИК №5658	УИК №5659	УИК №5660	УИК №5661	УИК №5662					
1	"Число избирателей, внесенных в список избирателей"	80738	1145	2519	2364	1979	1517	1548	1089	1508	970	1208	2034	1311	1028	2303	1000	2146	1246	2011	1689	401	1007	1788	341	608	311	1256	419	422	413	1167	538	1146	1588	1387	834	1576	1650	1725	1095	208	407	1530	1320	1406	2165	1704	2400	1592	1010	1556	2176	273	649	1054	1134	278	1540	2012	2034	838	1648	1517					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79595	1000	2500	2200	1900	1600	1400	1000	1500	1300	1000	2000	1300	1000	2200	1000	2000	1400	2000	1700	405	1000	1800	330	600	320	1200	420	430	400	1100	540	1100	1600	1300	820	1500	1600	1700	1300	200	400	1500	1300	1400	2000	1600	2400	1500	1000	1500	2000	260	630	1400	1300	270	1500	2000	2000	870	1600	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	46900	546	1889	1573	1057	884	1069	499	832	637	709	1350	975	709	1168	565	1371	771	1119	917	401	524	1056	220	366	266	899	254	338	259	611	293	555	756	839	423	903	844	954	820	137	187	932	859	670	1045	791	979	799	642	972	1266	170	310	850	897	121	696	1079	1429	388	825	635					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6393	61	77	235	57	120	54	266	96	65	46	39	22	48	95	114	284	102	215	237	0	98	95	24	83	23	100	80	7	34	132	94	169	168	82	44	78	162	143	49	17	99	160	80	96	104	109	213	79	151	74	94	10	37	64	56	74	283	214	22	158	170	131					
6	Число погашенных избирательных бюллетеней	26302	393	534	392	786	596	277	235	572	598	245	611	303	243	937	321	345	527	666	546	4	378	649	86	151	31	201	86	85	107	357	153	376	676	379	353	519	594	603	431	46	114	408	361	634	851	700	1208	622	207	454	640	80	283	486	347	75	521	707	549	324	605	734					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6393	61	77	235	57	120	54	266	96	65	46	39	22	48	95	114	284	102	215	237	0	98	95	24	83	23	100	80	7	34	132	94	169	168	82	44	78	162	143	49	17	99	160	80	96	104	109	213	79	151	74	94	10	37	64	56	74	283	214	22	158	170	131					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46900	546	1889	1573	1057	884	1069	499	832	637	709	1350	975	709	1168	565	1371	771	1119	917	401	524	1056	220	366	266	899	254	338	259	611	293	555	756	839	423	903	844	954	820	137	187	932	859	670	1045	791	979	799	642	972	1266	170	310	850	897	121	696	1079	1429	388	825	635					
9	Число недействительных избирательных бюллетеней	674	5	29	56	11	18	15	16	7	17	10	15	11	10	24	14	68	0	15	17	0	5	16	3	3	1	11	0	5	3	14	1	6	10	8	1	5	12	17	3	1	2	15	20	0	2	5	26	24	11	3	9	4	4	1	5	0	12	10	13	4	11	10					
10	Число действительных избирательных бюллетеней	52619	602	1937	1752	1103	986	1108	749	921	685	745	1374	986	747	1239	665	1587	873	1319	1137	401	617	1135	241	446	288	988	334	340	290	729	386	718	914	913	466	976	994	1080	866	153	284	1077	919	766	1147	895	1166	854	782	1043	1351	176	343	913	948	195	967	1283	1438	542	984	756					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	756	7	16	10	12	14	12	10	22	30	27	30	9	13	15	12	21	12	18	17	0	7	40	5	5	5	10	5	8	5	10	5	10	20	10	5	10	10	15	15	0	5	15	10	10	15	10	10	20	5	15	15	5	10	10	10	5	11	27	11	10	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	755	7	16	10	11	14	12	10	22	30	27	30	9	13	15	12	21	12	18	17	0	7	40	5	5	5	10	5	8	5	10	5	10	20	10	5	10	10	15	15	0	5	15	10	10	15	10	10	20	5	15	15	5	10	10	10	5	11	27	11	10	15	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	367	4	10	7	7	13	10	6	18	4	5	4	11	5	14	13	13	4	5	9	0	7	20	17	4	2	7	3	3	3	2	4	1	5	10	5	4	6	1	5	3	2	4	4	3	14	6	2	5	7	5	2	4	1	3	1	3	4	5	13	2	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
