Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Вельская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227					
1	"Число избирателей, внесенных в список"	45209	1781	1079	1555	1163	1695	1274	1882	1066	1797	1492	1349	841	1246	638	310	230	804	1210	1100	1032	1244	1411	1527	694	1011	175	128	240	126	301	157	793	191	342	308	214	179	910	1214	421	64	325	95	571	128	1197	156	120	228	701	156	96	395	711	1048	345	405	253	398	252	247	477	162	603	280	94	323	59	190					
2	Число полученных избирательных бюллетеней	40075	1500	930	1280	1040	1460	1050	1640	930	1650	1275	1130	735	1060	545	315	250	695	1045	985	910	1110	1215	1370	600	920	170	130	230	130	280	165	700	190	300	290	200	185	780	1050	390	78	300	110	500	135	1070	153	117	215	625	166	104	350	640	970	300	350	220	360	220	215	435	168	540	245	101	302	61	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25640	901	533	809	645	907	708	1193	547	889	847	826	487	670	272	234	87	379	624	712	599	680	825	686	444	614	77	62	158	87	145	124	479	113	204	207	136	87	613	751	235	50	229	77	324	93	622	112	77	155	451	133	45	205	405	601	168	195	147	212	159	144	327	107	363	174	81	224	48	116					
5	"Число избирательных бюллетеней, выданных вне помещения"	3152	42	26	19	23	29	50	46	17	44	25	11	20	63	21	43	143	68	28	51	48	51	145	225	72	118	60	39	12	12	80	9	86	29	19	34	38	37	40	35	68	3	33	8	42	18	103	10	27	36	51	17	44	117	75	14	51	64	49	69	35	26	58	19	48	50	5	30	6	18					
6	Число погашенных избирательных бюллетеней	11283	557	371	452	372	524	292	401	366	717	403	293	228	327	252	38	20	248	393	222	263	379	245	459	84	188	33	29	60	31	55	32	135	48	77	49	26	61	127	264	87	25	38	25	134	24	345	31	13	24	123	16	15	28	160	355	81	91	24	79	26	45	50	42	129	21	15	48	7	61					
7	Число избирательных бюллетеней в переносных ящиках	3151	42	26	19	23	29	50	46	17	44	25	11	20	63	21	43	143	68	28	51	48	51	145	224	72	118	60	39	12	12	80	9	86	29	19	34	38	37	40	35	68	3	33	8	42	18	103	10	27	36	51	17	44	117	75	14	51	64	49	69	35	26	58	19	48	50	5	30	6	18					
8	Число бюллетеней в стационарных ящиках для голосования	25637	899	533	809	645	907	708	1193	547	889	847	826	487	670	272	234	87	379	623	712	599	680	825	686	444	614	77	62	158	87	145	124	479	113	204	207	136	87	613	751	235	50	229	77	324	93	622	112	77	155	451	133	45	205	405	601	168	195	147	212	159	144	327	107	363	174	81	224	48	116					
9	Число недействительных избирательных бюллетеней	178	3	2	4	2	3	3	5	2	5	6	0	4	5	1	22	0	3	3	11	1	5	10	5	6	0	0	0	1	0	1	0	9	3	2	4	0	2	5	1	0	0	4	0	0	0	8	0	0	2	1	1	0	0	2	4	1	1	0	1	1	0	3	2	5	0	0	1	2	0					
10	Число действительных избирательных бюллетеней	28610	938	557	824	666	933	755	1234	562	928	866	837	503	728	292	255	230	444	648	752	646	726	960	905	510	732	137	101	169	99	224	133	556	139	221	237	174	122	648	785	303	53	258	85	366	111	717	122	104	189	501	149	89	322	478	611	218	258	196	280	193	170	382	124	406	224	86	253	52	134					
