Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
"Наименование Избирательной комиссии:    Самара, Железнодорожная"																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79791	1915	1296	2297	1910	1709	1630	2060	1846	1306	2006	1985	2112	2286	2058	2029	1815	1474	1258	1990	2054	2287	2183	1942	2068	2081	2371	1621	1590	1828	1522	1304	1251	1146	1806	2282	2413	2301	1345	2072	1857	2415	2994	76									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60000	1400	1000	1700	1400	1300	1300	1500	1400	1000	1500	1500	1600	1700	1600	1500	1400	1100	1000	1400	1500	1700	1600	1500	1600	1600	1800	1200	1200	1400	1100	1000	1000	900	1300	1700	1800	1700	1000	1400	1400	1800	2200	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31539	616	446	1100	649	860	903	913	798	597	890	820	896	854	926	845	863	573	348	750	879	973	890	703	901	762	830	680	709	675	538	444	553	503	628	848	882	777	570	746	665	757	903	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1914	29	24	17	217	13	64	20	17	45	33	26	27	31	20	44	49	32	60	39	22	27	33	32	40	38	54	61	25	42	65	35	38	28	32	34	49	54	26	216	50	59	47	0									
6	Число погашенных избирательных бюллетеней	26547	755	530	583	534	427	333	567	585	358	577	654	677	815	654	611	488	495	592	611	599	700	677	765	659	800	916	459	466	683	497	521	409	369	640	818	869	869	404	438	685	984	1250	224									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1914	29	24	17	217	13	64	20	17	45	33	26	27	31	20	44	49	32	60	39	22	27	33	32	40	38	54	61	25	42	65	35	38	28	32	34	49	54	26	216	50	59	47	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31511	616	444	1100	649	860	903	913	785	597	890	820	896	854	926	845	863	573	348	750	879	973	890	703	901	760	830	680	708	674	530	444	553	503	628	848	882	777	570	745	665	757	903	76									
9	Число недействительных избирательных бюллетеней	1083	26	23	36	27	31	36	24	9	14	37	32	24	24	34	28	28	18	18	23	30	33	36	32	28	26	16	25	28	16	29	10	18	18	30	33	25	17	28	30	22	24	34	3									
10	Число действительных избирательных бюллетеней	32342	619	445	1081	839	842	931	909	793	628	886	814	899	861	912	861	884	587	390	766	871	967	887	703	913	772	868	716	705	700	566	469	573	513	630	849	906	814	568	931	693	792	916	73									
