Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																										
Дата голосования: 02.12.2007																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Норильская городская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277					
1	"Число избирателей, внесенных в списки избирателей"	143855	1905	2019	1728	1704	1949	1820	2175	1916	1760	2076	2379	2648	2219	2064	1949	1847	1570	2320	2242	1990	1682	2516	2137	1479	2185	1792	1868	2143	1848	2066	2145	1976	1845	2287	1774	1899	932	2466	2557	2238	427	1590	2414	742	1495	1361	1685	1109	1179	2060	1671	1504	1605	1406	1682	1547	1528	1533	1619	1804	1438	1700	1676	1905	1674	1868	2225	2791	2690	1914	2169	2874	1762	478	879	623	1466	361	230	578	998	817	663					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	139168	1900	1950	1400	1700	1900	1750	2100	1900	1750	2150	2300	2650	2050	1950	1950	1850	1550	2350	2100	1850	1600	2200	2150	1450	2050	1750	1850	2100	1750	2050	1950	1800	1800	2250	1750	1900	850	2250	2600	2300	406	1600	2350	700	1450	1200	1450	950	1000	2050	1700	1450	1600	1350	1650	1450	1450	1500	1600	1800	1450	1750	1650	1850	1500	1750	2100	2700	2650	1900	2100	2800	1700	466	886	618	1475	365	222	568	1006	811	645					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	86543	1156	1224	901	1015	1175	1008	1328	1207	938	1346	1245	1498	1203	1207	1133	1017	827	1290	1135	1036	859	1399	1237	817	1175	964	1052	1115	1046	1106	1244	1113	980	1306	1023	956	513	1431	1481	1244	343	968	1511	590	891	872	1083	712	718	1300	972	983	1002	937	1026	1038	923	991	1043	1113	866	1069	1021	1168	1064	957	1129	1621	1604	1133	1308	1770	1040	445	844	593	1441	349	222	553	970	768	642					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1266	8	3	290	9	4	57	67	11	42	9	10	14	151	5	13	4	9	13	13	11	12	11	10	11	12	6	12	7	16	13	9	8	11	5	11	5	2	62	7	14	26	1	2	20	6	8	8	0	48	14	11	7	3	5	6	8	7	4	4	7	13	9	4	8	6	3	1	9	8	9	6	4	4	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	51359	736	723	209	676	721	685	705	682	770	795	1045	1138	696	738	804	829	714	1047	952	803	729	790	903	622	863	780	786	978	688	931	697	679	809	939	716	939	335	757	1112	1042	37	631	837	90	553	320	359	238	234	736	717	460	595	408	618	404	520	505	553	680	571	672	625	674	430	790	970	1070	1038	758	786	1026	656	21	42	25	34	16	0	15	36	43	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1266	8	3	290	9	4	57	67	11	42	9	10	14	151	5	13	4	9	13	13	11	12	11	10	11	12	6	12	7	16	13	9	8	11	5	11	5	2	62	7	14	26	1	2	20	6	8	8	0	48	14	11	7	3	5	6	8	7	4	4	7	13	9	4	8	6	3	1	9	8	9	6	4	4	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86423	1156	1224	900	1012	1174	1006	1327	1207	938	1346	1245	1494	1202	1207	1133	1017	827	1285	1135	1036	857	1396	1237	816	1163	964	1052	1115	1046	1105	1235	1113	980	1305	1023	955	513	1431	1481	1244	343	968	1511	590	891	872	1081	712	668	1298	972	982	1002	937	1026	1038	923	991	1043	1113	864	1069	1019	1166	1062	957	1129	1619	1603	1132	1308	1769	1040	445	843	593	1438	349	222	553	970	768	642					
9	Число недействительных избирательных бюллетеней	1444	27	18	25	15	18	12	24	12	15	27	40	30	20	22	21	12	15	18	11	16	12	19	20	10	21	13	10	25	13	16	18	17	15	21	23	22	11	33	24	13	4	21	15	9	15	15	21	11	16	16	16	16	12	14	15	13	16	20	16	15	11	11	13	18	19	13	6	34	22	17	11	25	13	19	15	14	35	4	5	20	38	21	10					
10	Число действительных избирательных бюллетеней	86245	1137	1209	1165	1006	1160	1051	1370	1206	965	1328	1215	1478	1333	1190	1125	1009	821	1280	1137	1031	857	1388	1227	817	1154	957	1054	1097	1049	1102	1226	1104	976	1289	1011	938	504	1460	1464	1245	365	948	1498	601	882	865	1068	701	700	1296	967	973	993	928	1017	1033	914	975	1031	1105	866	1067	1010	1156	1049	947	1124	1594	1589	1124	1303	1748	1031	426	828	579	1403	345	217	533	932	747	632					
