Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Шадринская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983					
1	"Число избирателей, внесенных в списки"	24911	265	241	264	1434	149	232	211	236	171	893	276	312	116	316	1165	447	523	707	616	134	397	1063	497	361	520	236	511	1349	761	383	198	197	991	2006	711	543	184	258	108	599	120	113	280	258	192	502	1381	237	400	358	357	132					
2	"Число бюллетеней, полученных участковыми комиссиями"	25225	260	234	270	1460	163	238	209	236	173	900	276	320	125	315	1157	457	530	732	614	134	389	1113	494	374	531	239	511	1352	766	383	214	201	1024	1985	740	545	181	253	115	602	124	121	295	276	201	500	1383	238	389	367	360	156					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14949	204	157	195	578	72	143	147	151	105	599	204	195	86	169	598	268	375	528	420	86	211	586	301	211	345	153	334	792	495	299	144	159	535	1026	397	294	106	173	97	399	116	77	192	178	115	321	674	166	236	233	182	122					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1864	8	8	27	141	15	22	3	2	0	29	7	38	5	35	18	77	73	88	21	21	44	43	48	34	36	22	21	70	29	20	16	12	32	55	71	61	36	19	5	53	0	14	32	38	20	41	178	40	50	44	32	10					
6	Число погашенных бюллетеней	8412	48	69	48	741	76	73	59	83	68	272	65	87	34	111	541	112	82	116	173	27	134	484	145	129	150	64	156	490	242	64	54	30	457	904	272	190	39	61	13	150	8	30	71	60	66	138	531	32	103	90	146	24					
7	Число бюллетеней в переносных ящиках для голосования	1864	8	8	27	141	15	22	3	2	0	29	7	38	5	35	18	77	73	88	21	21	44	43	48	34	36	22	21	70	29	20	16	12	32	55	71	61	36	19	5	53	0	14	32	38	20	41	178	40	50	44	32	10					
8	Число бюллетеней в стационарных ящиках для голосования	14947	204	157	195	578	72	143	147	151	105	599	204	195	86	169	597	268	375	528	420	86	211	586	301	211	345	153	334	792	494	299	144	159	535	1026	397	294	106	173	97	399	116	77	192	178	115	321	674	166	236	233	182	122					
9	Число недействительных бюллетеней	150	0	2	0	6	0	0	1	1	4	10	4	3	0	3	4	6	10	1	8	0	3	2	1	0	3	0	0	6	2	4	2	1	3	12	6	7	0	5	0	2	0	0	2	0	1	1	14	0	0	0	6	4					
10	Число действительных бюллетеней	16661	212	163	222	713	87	165	149	152	101	618	207	230	91	201	611	339	438	615	433	107	252	627	348	245	378	175	355	856	521	315	158	170	564	1069	462	348	142	187	102	450	116	91	222	216	134	361	838	206	286	277	208	128					
