Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Кировская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	75909	2304	2121	1986	2204	2096	2071	2158	2572	1321	1099	365	2704	2000	2270	720	589	800	528	2670	2586	2581	2991	2555	2761	2652	2780	3072	2787	3051	1460	1241	308	1987	2101	89	753	670	1350	807	920	1154	1027	453	147	300	103	325	320									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75000	2230	2100	2000	2150	2100	2050	2100	2500	1300	1050	356	2700	1950	2100	735	624	800	497	2600	2600	2550	2900	2500	2700	2550	2750	3000	2800	3050	1450	1250	314	1950	2100	83	765	676	1350	830	980	1150	1050	488	162	296	115	343	306									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35086	776	766	711	855	777	689	812	746	541	371	96	1436	636	795	290	156	336	241	1178	1241	1313	1424	1240	1331	1145	2021	2144	2269	2588	628	618	168	994	1027	64	250	332	353	211	267	349	358	135	59	85	28	167	69									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1980	12	18	6	25	9	14	9	29	15	27	20	28	159	196	74	90	15	1	56	37	10	22	8	10	191	55	23	18	13	30	25	8	12	8	4	103	18	35	31	52	18	57	114	44	70	44	25	92									
6	Число погашенных избирательных бюллетеней	37934	1442	1316	1283	1270	1314	1347	1279	1725	744	652	240	1236	1155	1109	371	378	449	255	1366	1322	1227	1454	1252	1359	1214	674	833	513	449	792	607	138	944	1065	15	412	326	962	588	661	783	635	239	59	141	43	151	145									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1980	12	18	6	25	9	14	9	29	15	27	20	28	159	196	74	90	15	1	56	37	10	22	8	10	191	55	23	18	13	30	25	8	12	8	4	103	18	35	31	52	18	57	114	44	70	44	25	92									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34750	776	763	710	855	777	688	812	746	541	371	96	1291	630	795	290	156	336	241	1178	1234	1305	1415	1240	1331	1143	1966	2144	2269	2495	625	618	168	994	1027	64	250	331	353	211	265	349	358	135	59	85	28	167	69									
9	Число недействительных избирательных бюллетеней	872	8	27	20	15	26	24	23	16	25	14	2	46	28	14	7	0	10	6	40	20	19	30	32	26	28	9	38	36	44	21	8	4	57	41	3	14	1	12	4	15	19	13	11	3	0	0	11	2									
10	Число действительных избирательных бюллетеней	35858	780	754	696	865	760	678	798	759	531	384	114	1273	761	977	357	246	341	236	1194	1251	1296	1407	1216	1315	1306	2012	2129	2251	2464	634	635	172	949	994	65	339	348	376	238	302	348	402	238	100	155	72	181	159									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1198	30	30	30	30	30	30	30	30	20	20	10	30	25	30	15	15	20	20	30	40	50	38	30	30	20	30	30	30	30	25	25	10	25	25	10	20	20	25	25	25	25	30	20	10	20	10	30	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	765	20	14	13	11	14	9	11	7	7	3	0	30	10	16	12	2	9	6	21	30	50	38	29	28	15	20	29	22	22	23	25	9	8	12	0	9	7	13	5	18	21	30	20	10	20	10	24	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	630	14	20	3	19	15	18	11	17	23	40	9	36	5	28	6	10	5	24	7	8	18	43	11	16	11	27	8	10	15	20	13	8	11	15	5	8	16	6	3	6	8	0	1	0	8	2	8	15									
14	Число погашенных неиспользованных открепительных удостоверений	433	10	16	17	19	16	21	19	23	13	17	10	0	15	14	3	13	11	14	9	10	0	0	1	2	5	10	1	8	8	2	0	1	17	13	10	11	13	12	20	7	4	0	0	0	0	0	6	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	99	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	2	4	8	9	16	14	11	10	3	8	4	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	643	27	18	15	22	20	17	19	22	11	13	1	17	7	13	5	2	4	8	32	34	13	22	34	22	23	35	16	25	46	12	14	2	14	12	1	3	4	6	8	3	10	1	3	1	1	1	3	1									
		1.75%	3.43%	2.30%	2.09%	2.50%	2.54%	2.42%	2.31%	2.84%	1.98%	3.27%	0.86%	1.29%	0.89%	1.31%	1.37%	0.81%	1.14%	3.31%	2.59%	2.68%	0.99%	1.53%	2.72%	1.64%	1.72%	1.73%	0.74%	1.09%	1.83%	1.83%	2.18%	1.14%	1.39%	1.16%	1.47%	0.85%	1.15%	1.55%	3.31%	0.95%	2.72%	0.24%	1.20%	0.97%	0.65%	1.39%	1.56%	0.62%									
