Выборы Президента Российской Федерации																																																																										
Дата голосования: 02.03.2008																																																																										
																																																																										
"Наименование Избирательной комиссии:    Уфа, Калининская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
	Число участковых избирательных комиссий	67																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	67																																																																								
																																																																										
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89					
1	"Число избирателей, включенных в списки избирателей"	140474	2895	2830	2286	2392	2895	2896	2844	2925	2943	2914	2932	2917	2629	2686	2244	2221	2776	1170	1475	1856	1238	2485	2163	2684	2748	2707	1863	1703	1536	2380	1401	2297	1873	2521	2764	2785	2297	2630	2119	2114	2558	1994	2406	2544	1563	2380	2487	1919	2237	2653	2392	2047	2391	2762	2172	1936	2119	2026	1456	1640	226	188	469	137	500	88	150					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	128550	2600	2550	2100	2150	2600	2600	2550	2650	2650	2650	2650	2650	2400	2450	2150	2050	2550	1050	1350	1800	1100	2250	2000	2450	2500	2450	1700	1550	1450	2400	1450	2050	1700	2350	2500	2500	2250	2400	1900	1900	2300	1900	2200	2300	1400	2200	2300	1750	2000	2400	2150	1850	2150	2450	1950	1750	1950	1900	1350	1500	200	200	450	150	500	100	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	116452	2511	2390	1970	1986	2460	2546	2297	2454	2595	2519	2554	2513	2218	2293	1927	1783	2312	988	1272	1588	1025	1932	1681	2248	2327	2263	1449	1440	1307	2013	1147	1915	1439	2118	2350	2336	1948	2308	1792	1621	1932	1674	1780	2013	1302	1322	2056	1647	1837	2141	2005	1794	1874	2189	1846	1633	1860	1730	1226	1342	193	124	293	107	465	82	150					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4320	31	29	35	39	95	42	43	31	45	16	38	25	94	44	47	27	20	25	18	56	49	107	258	98	72	85	163	49	93	14	31	54	159	21	115	40	10	60	58	173	170	24	194	92	27	126	58	41	72	61	76	52	164	159	50	52	26	34	17	85	7	11	152	25	35	1	0					
6	Число погашенных избирательных бюллетеней	7778	58	131	95	125	45	12	210	165	10	115	58	112	88	113	176	240	218	37	60	156	26	211	61	104	101	102	88	61	50	373	272	81	102	211	35	124	292	32	50	106	198	202	226	195	71	752	186	62	91	198	69	4	112	102	54	65	64	136	107	73	0	65	5	18	0	17	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4320	31	29	35	39	95	42	43	31	45	16	38	25	94	44	47	27	20	25	18	56	49	107	258	98	72	85	163	49	93	14	31	54	159	21	115	40	10	60	58	173	170	24	194	92	27	126	58	41	72	61	76	52	164	159	50	52	26	34	17	85	7	11	152	25	35	1	0					
