Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Уфа, Калининская"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92					
1	"Число избирателей, внесенных в список"	139366	2570	2042	1910	1875	1299	2525	2160	2190	2462	2732	2612	2447	2562	2902	2970	2812	2433	2928	1216	1353	1690	1076	2237	1901	2444	2440	2327	1887	1368	1779	2901	1688	2492	2140	2649	1791	2576	2390	2292	2854	1999	2186	2422	1853	2191	2528	1412	2441	2545	2239	2265	2770	2611	1988	1922	2648	1672	1620	1359	2108	2037	1647	1795	283	198	402	113	873	77	240					
2	Число полученных избирательных бюллетеней	142579	2500	2300	2210	2100	1450	2450	2450	2520	2400	2730	2550	2840	2600	2900	2800	2650	2660	2700	1210	1340	1690	1070	2460	2130	2700	2740	2550	1800	1290	1690	2790	1620	2420	2270	2530	1770	2490	2280	2200	2724	2250	2070	2340	2140	2500	2830	1530	2420	2660	2150	2160	2600	2550	2230	1840	2550	1870	1820	1460	2200	2180	1630	1760	320	200	470	135	800	100	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	117808	2297	1862	1780	1667	1258	2130	1879	1689	2093	2446	2385	2241	2397	2614	2533	2364	2254	2101	1100	1227	1424	950	1858	1754	2120	2138	1872	1644	1181	1554	2734	1552	2307	1797	1763	1065	2415	2025	1720	2502	1784	1950	2109	1300	1496	1842	1138	2030	2378	1734	1394	2532	2354	1808	1442	2029	1440	1411	1164	1473	1630	1389	1468	263	166	279	88	711	77	237					
5	"Число избирательных бюллетеней, выданных вне помещения"	1930	19	42	26	29	6	32	16	22	13	13	17	10	9	28	15	34	33	8	6	18	16	23	12	16	31	43	16	7	23	6	22	51	60	29	44	43	32	30	17	27	17	21	27	25	23	34	38	28	40	50	22	44	50	23	32	95	17	47	39	48	37	14	24	1	3	82	19	86	0	0					
6	Число погашенных избирательных бюллетеней	22834	184	396	404	404	186	288	555	809	294	271	148	589	194	258	252	252	373	591	104	95	250	90	590	360	549	559	662	149	86	130	34	17	53	444	723	662	43	225	463	195	449	99	204	815	981	954	354	362	242	366	744	24	146	399	366	426	413	362	257	679	513	227	268	56	31	109	28	3	23	3					
7	Число избирательных бюллетеней в переносных ящиках	1930	19	42	26	29	6	32	16	22	13	13	17	10	9	28	15	34	33	8	6	18	16	23	12	16	31	43	16	7	23	6	22	51	60	29	44	43	32	30	17	27	17	21	27	25	23	34	38	28	40	50	22	44	50	23	32	95	17	47	39	48	37	14	24	1	3	82	19	86	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	117744	2297	1862	1780	1667	1258	2130	1879	1670	2093	2446	2385	2241	2397	2614	2533	2363	2254	2101	1100	1227	1424	950	1858	1754	2120	2095	1872	1644	1181	1554	2734	1552	2307	1797	1763	1065	2415	2025	1720	2502	1784	1950	2109	1300	1496	1842	1138	2030	2378	1734	1394	2532	2354	1808	1442	2029	1440	1410	1164	1473	1630	1389	1468	263	166	279	88	711	77	237					
9	Число недействительных избирательных бюллетеней	933	18	4	12	2	0	13	16	7	17	14	12	16	13	0	16	13	20	29	0	1	8	0	2	2	11	17	35	5	2	7	12	13	15	13	15	9	10	92	5	5	6	3	10	10	8	7	13	16	14	16	79	13	147	30	6	21	0	0	3	8	10	2	2	5	0	0	2	1	0	0					
10	Число действительных избирательных бюллетеней	118741	2298	1900	1794	1694	1264	2149	1879	1685	2089	2445	2390	2235	2393	2642	2532	2384	2267	2080	1106	1244	1432	973	1868	1768	2140	2121	1853	1646	1202	1553	2744	1590	2352	1813	1792	1099	2437	1963	1732	2524	1795	1968	2126	1315	1511	1869	1163	2042	2404	1768	1337	2563	2257	1801	1468	2103	1457	1457	1200	1513	1657	1401	1490	259	169	361	105	796	77	237					
11	Число полученных открепительных  удостоверений	3141	60	50	50	50	40	50	50	50	60	60	50	50	50	50	70	50	50	65	30	30	30	30	50	50	50	50	50	40	30	40	50	35	50	50	50	40	50	50	50	50	45	40	70	50	50	50	30	50	60	40	40	45	60	50	40	50	61	50	50	70	50	50	50	20	20	20	20	0	0	0					
12	Число выданных открепительных удостоверений	2532	49	50	43	31	19	48	30	37	51	60	45	39	46	50	50	37	49	58	30	15	22	20	49	43	41	50	40	25	22	20	50	35	50	37	47	37	41	36	47	38	42	28	48	23	50	50	19	25	50	38	37	42	57	46	33	42	49	40	32	55	45	42	38	2	4	8	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1634	10	3	7	16	5	7	6	8	17	3	14	0	8	0	13	7	11	4	9	0	20	14	11	0	3	20	10	5	35	8	8	7	10	8	10	7	0	7	10	13	19	17	13	9	9	15	17	3	6	15	3	7	15	2	8	16	10	12	12	5	18	0	0	83	6	5	9	680	29	237					
14	Число неиспользованных открепительных удостоверений	609	11	0	7	19	21	2	20	13	9	0	5	11	4	0	20	13	1	7	0	15	8	10	1	7	9	0	10	15	8	20	0	0	0	13	3	3	9	14	3	12	3	12	22	27	0	0	11	25	10	2	3	3	3	4	7	8	12	10	18	15	5	8	12	18	16	12	20	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	3158	90	64	18	5	48	58	74	88	24	69	99	82	99	78	95	93	58	62	20	14	55	23	58	4	42	55	58	39	45	67	30	27	46	45	71	40	40	68	6	57	52	47	46	53	25	74	29	50	59	53	39	57	66	41	37	53	33	16	33	66	59	27	15	2	2	7	1	0	2	0					
		2.64%	3.89%	3.36%	1.00%	0.29%	3.80%	2.68%	3.91%	5.20%	1.14%	2.81%	4.12%	3.64%	4.11%	2.95%	3.73%	3.88%	2.54%	2.94%	1.81%	1.12%	3.82%	2.36%	3.10%	0.23%	1.95%	2.57%	3.07%	2.36%	3.74%	4.29%	1.09%	1.68%	1.94%	2.46%	3.93%	3.61%	1.63%	3.31%	0.35%	2.25%	2.89%	2.38%	2.15%	4.00%	1.65%	3.94%	2.47%	2.43%	2.44%	2.97%	2.75%	2.21%	2.75%	2.24%	2.51%	2.50%	2.26%	1.10%	2.74%	4.34%	3.54%	1.92%	1.01%	0.76%	1.18%	1.94%	0.93%	0.00%	2.60%	0.00%					
19	. Малышкин Олег Александрович	1229	28	17	7	8	14	22	19	27	18	35	38	17	23	30	42	38	19	14	28	12	19	7	36	1	34	41	2	17	14	35	39	14	13	25	27	9	17	19	3	30	15	16	14	16	24	19	9	21	24	12	11	22	16	18	8	19	15	8	9	15	30	7	13	1	2	7	0	0	0	0					
		1.03%	1.21%	0.89%	0.39%	0.47%	1.11%	1.02%	1.00%	1.60%	0.85%	1.42%	1.58%	0.76%	0.96%	1.14%	1.65%	1.59%	0.83%	0.66%	2.53%	0.96%	1.32%	0.72%	1.93%	0.06%	1.58%	1.92%	0.11%	1.03%	1.16%	2.24%	1.42%	0.87%	0.55%	1.37%	1.49%	0.81%	0.69%	0.92%	0.17%	1.19%	0.83%	0.81%	0.66%	1.21%	1.58%	1.01%	0.77%	1.02%	0.99%	0.67%	0.78%	0.85%	0.67%	0.98%	0.54%	0.89%	1.03%	0.55%	0.75%	0.99%	1.80%	0.50%	0.87%	0.38%	1.18%	1.94%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	762	13	17	3	6	9	20	6	14	7	14	67	6	13	13	36	25	11	6	10	4	11	11	5	7	13	12	7	5	5	23	22	9	7	10	9	16	8	8	9	22	6	13	17	13	8	7	11	6	7	9	7	32	12	9	5	7	7	4	8	11	26	6	5	1	1	1	3	0	0	1					
		0.64%	0.56%	0.89%	0.17%	0.35%	0.71%	0.93%	0.32%	0.83%	0.33%	0.57%	2.79%	0.27%	0.54%	0.49%	1.41%	1.04%	0.48%	0.28%	0.90%	0.32%	0.76%	1.13%	0.27%	0.40%	0.60%	0.56%	0.37%	0.30%	0.42%	1.47%	0.80%	0.56%	0.30%	0.55%	0.50%	1.44%	0.33%	0.39%	0.52%	0.87%	0.33%	0.66%	0.80%	0.98%	0.53%	0.37%	0.94%	0.29%	0.29%	0.50%	0.49%	1.24%	0.50%	0.49%	0.34%	0.33%	0.48%	0.27%	0.67%	0.72%	1.56%	0.43%	0.34%	0.38%	0.59%	0.28%	2.80%	0.00%	0.00%	0.42%					
21	. Путин Владимир Владимирович	101226	1905	1591	1696	1637	1075	1960	1489	1285	1821	2073	2020	1874	1994	2245	1988	1925	1917	1761	987	1086	1159	777	1505	1701	1772	1906	1588	1425	993	1340	2480	1448	2130	1524	1448	892	2202	1629	1637	2111	1620	1680	1801	999	1200	1497	940	1753	2176	1432	895	2190	1927	1524	1253	1735	1312	1331	1010	1193	1334	1230	1339	235	148	310	86	795	69	216					
		84.58%	82.25%	83.56%	93.91%	96.52%	85.05%	90.66%	78.58%	75.95%	86.47%	84.30%	84.10%	83.25%	82.88%	84.97%	78.02%	80.31%	83.82%	83.50%	89.24%	87.23%	80.49%	79.86%	80.48%	96.10%	82.38%	89.15%	84.11%	86.31%	82.48%	85.90%	89.99%	90.33%	89.99%	83.46%	80.13%	80.51%	89.99%	79.27%	94.24%	83.47%	89.95%	85.24%	84.32%	75.40%	79.00%	79.80%	79.93%	85.18%	89.99%	80.27%	63.21%	85.02%	80.16%	83.23%	85.01%	81.69%	90.05%	91.35%	83.96%	78.44%	80.02%	87.67%	89.75%	89.02%	87.57%	85.87%	80.37%	99.75%	89.61%	91.14%					
