Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Ключевская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №949									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14244	2709	2618	1872	1007	1335	938	201	529	666	91	380	88	211	424	770	405									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14600	2740	2700	1880	1050	1350	970	210	550	700	100	390	90	220	450	790	410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5643	1065	1017	713	453	447	399	95	214	252	44	186	43	108	165	286	156									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	616	53	82	46	62	50	42	6	41	84	18	31	9	12	11	49	20									
6	Число погашенных избирательных бюллетеней	8341	1622	1601	1121	535	853	529	109	295	364	38	173	38	100	274	455	234									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	616	53	82	46	62	50	42	6	41	84	18	31	9	12	11	49	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5643	1065	1017	713	453	447	399	95	214	252	44	186	43	108	165	286	156									
9	Число недействительных избирательных бюллетеней	139	32	22	8	3	9	16	7	5	8	1	6	3	2	4	7	6									
10	Число действительных избирательных бюллетеней	6120	1086	1077	751	512	488	425	94	250	328	61	211	49	118	172	328	170									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	87	14	14	14	5	5	5	2	5	5	2	5	2	3	2	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	62	12	13	11	5	1	5	0	5	5	0	1	0	3	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	12	3	4	5	1	2	2	2	0	0	1	1	2	2	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	25	2	1	3	0	4	0	2	0	0	2	4	2	0	2	2	1									
