Выборы Президента Российской Федерации																																																													
Дата голосования: 04.03.2012																																																													
																																																													
Наименование Избирательной комиссии:    Татышлинская																																																													
																																																													
Сводная таблица итогов голосования																																																													
																																																													
	Число участковых избирательных комиссий	50																																																											
	Число участковых избирательных комиссий, приступивших к передаче сведений	50																																																											
																																																													
		Сумма	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995									
1	Число избирателей, включенных в список избирателей	19451	323	74	338	541	148	200	191	248	374	381	140	115	555	354	274	343	90	836	1620	986	1119	787	516	220	84	462	445	77	395	275	634	256	471	468	175	198	124	657	220	257	139	486	203	374	754	418	356	374	201	175									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	20500	336	74	354	556	154	207	195	258	377	394	150	122	581	394	285	353	100	867	1651	1033	1168	831	588	226	86	467	462	79	418	302	670	284	492	488	188	202	130	752	239	266	146	522	218	392	860	428	367	390	210	188									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	17502	279	65	301	455	132	171	147	214	310	333	120	103	520	319	231	265	75	794	1559	961	1064	732	473	183	84	417	407	70	332	246	515	225	408	440	147	170	116	598	208	231	121	426	183	315	639	402	326	340	182	148									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1275	33	9	27	66	11	13	36	25	53	29	20	12	21	22	30	64	15	9	29	25	25	39	23	33	0	29	21	5	47	21	70	31	40	20	21	26	5	40	12	16	18	41	12	22	40	0	15	28	9	17									
6	Число погашенных избирательных бюллетеней	1723	24	0	26	35	11	23	12	19	14	32	10	7	40	53	24	24	10	64	63	47	79	60	92	10	2	21	34	4	39	35	85	28	44	28	20	6	9	114	19	19	7	55	23	55	181	26	26	22	19	23									
