Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
"Наименование Избирательной комиссии:    Ижевск, Индустриальная"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в списки избирателей"	87629	1422	1983	1803	2156	1338	2063	2105	1545	1123	1648	2326	1414	1316	1993	1643	1881	1516	2058	1969	1766	1863	1955	2043	1879	1601	2230	1617	2287	1854	2217	2288	2155	1336	1993	1886	2368	2182	2103	2070	1450	2736	836	1000	914	2332	137	1603	1669	1320	135	502					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75890	1200	1700	1400	1900	1200	1800	1800	1400	900	1300	2100	1200	1100	1700	1400	1600	1300	1800	1700	1500	1600	1700	1800	1700	1400	2000	1400	2000	1600	1900	2000	1900	1100	1700	1700	2100	1900	1800	1800	1300	2400	600	800	1000	2000	150	1400	1500	1100	140	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49207	864	1164	910	1126	744	1239	1179	784	832	948	1231	817	859	977	696	811	748	1087	1031	948	1115	1149	1073	1045	949	1160	956	1246	1112	1138	1355	1149	757	1071	1054	1306	1221	1230	1131	980	1467	439	606	890	1417	137	736	1103	846	123	251					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	949	34	15	24	30	31	22	3	27	1	3	25	10	5	35	21	15	6	18	30	26	17	15	38	32	15	15	3	25	15	23	31	26	11	37	15	21	31	9	17	10	30	8	49	23	4	0	19	8	13	0	8					
6	Число погашенных избирательных бюллетеней	25734	302	521	466	744	425	539	618	589	67	349	844	373	236	688	683	774	546	695	639	526	468	536	689	623	436	825	441	729	473	739	614	725	332	592	631	773	648	561	652	310	903	153	145	87	579	13	645	389	241	17	141					
7	Число избирательных бюллетеней в переносных ящиках для голосования	949	34	15	24	30	31	22	3	27	1	3	25	10	5	35	21	15	6	18	30	26	17	15	38	32	15	15	3	25	15	23	31	26	11	37	15	21	31	9	17	10	30	8	49	23	4	0	19	8	13	0	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49137	863	1162	907	1126	744	1236	1179	784	830	948	1231	817	859	976	693	810	748	1087	1031	947	1115	1147	1073	1045	939	1158	956	1246	1112	1133	1355	1147	755	1070	1029	1305	1221	1230	1131	979	1467	439	606	889	1417	137	735	1103	846	123	251					
9	Число недействительных избирательных бюллетеней	938	23	20	19	16	22	25	24	5	8	6	14	10	15	14	16	23	20	10	21	21	22	27	22	19	9	19	28	19	26	27	31	22	8	22	0	21	24	22	28	15	22	8	18	68	17	3	22	18	12	5	2					
10	Число действительных избирательных бюллетеней	49148	874	1157	912	1140	753	1233	1158	806	823	945	1242	817	849	997	698	802	734	1095	1040	952	1110	1135	1089	1058	945	1154	931	1252	1101	1129	1355	1151	758	1085	1044	1305	1228	1217	1120	974	1475	439	637	844	1404	134	732	1093	847	118	257					
