Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
"Наименование Избирательной комиссии:    Ижевск, Индустриальная"																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152					
1	"Число избирателей, внесенных в список избирателей"	89431	1448	1868	1628	2078	1310	1970	2018	1466	1165	1656	2345	1484	1238	2222	1727	1928	1598	2435	1924	1731	1792	1986	2015	1889	1638	2691	1549	2373	2230	2216	2286	2165	1421	1921	1932	2319	2146	2051	2011	1418	2712	1285	994	654	2345	279	1659	1597	1246	138	831	403					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82150	1300	1800	1500	2000	1200	1900	1900	1400	1200	1500	2200	1400	1000	2100	1600	1800	1500	2300	1800	1600	1700	1900	1900	1800	1400	2600	1400	2000	2000	2000	2000	2000	1100	1700	1700	2200	2000	1900	1900	1200	2600	1100	800	700	2200	300	1500	1400	1000	150	600	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	46829	777	994	738	1011	689	1099	1061	890	966	854	1107	744	766	1010	619	736	671	1221	977	873	935	1057	1005	1006	934	1492	874	1087	1250	1085	1234	1093	798	1011	1016	1173	1160	1089	1014	865	1290	579	456	630	1297	279	707	952	714	124	434	386					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	800	16	22	32	26	11	14	5	6	2	2	13	5	1	10	17	35	18	7	30	17	29	21	40	25	12	17	7	35	17	17	40	27	16	23	10	12	12	11	7	5	13	7	34	24	9	0	15	8	15	0	3	0					
6	Число погашенных избирательных бюллетеней	34521	507	784	730	963	500	787	834	504	232	644	1080	651	233	1080	964	1029	811	1072	793	710	736	822	855	769	454	1091	519	878	733	898	726	880	286	666	674	1015	828	800	879	330	1297	514	310	46	894	21	778	440	271	26	163	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	800	16	22	32	26	11	14	5	6	2	2	13	5	1	10	17	35	18	7	30	17	29	21	40	25	12	17	7	35	17	17	40	27	16	23	10	12	12	11	7	5	13	7	34	24	9	0	15	8	15	0	3	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46808	777	994	738	1011	689	1099	1061	890	966	854	1107	744	766	1009	619	734	671	1220	977	873	935	1057	1004	1006	933	1491	874	1087	1250	1085	1234	1093	798	1011	1016	1173	1160	1088	1014	865	1288	579	456	630	1296	269	707	952	714	124	434	386					
9	Число недействительных избирательных бюллетеней	758	18	10	24	16	9	24	20	10	18	11	16	13	15	14	8	17	11	15	13	14	13	16	22	5	12	31	17	12	27	23	17	13	10	20	15	23	17	15	14	7	16	11	12	38	18	0	8	8	4	5	8	5					
10	Число действительных избирательных бюллетеней	46850	775	1006	746	1021	691	1089	1046	886	950	845	1104	736	752	1005	628	752	678	1212	994	876	951	1062	1022	1026	933	1477	864	1110	1240	1079	1257	1107	804	1014	1011	1162	1155	1084	1007	863	1285	575	478	616	1287	269	714	952	725	119	429	381					
