Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    район Отрадное																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750					
1	"Число избирателей, внесенных в списки избирателей"	124896	1578	1768	2861	2437	2571	3044	2827	2848	2704	2801	2875	2351	2831	2932	2397	2290	2026	1454	2256	2177	2380	2623	2392	2705	2663	2180	2594	2490	2473	2467	2065	2562	2484	2136	2290	2619	2254	2629	2741	2446	2564	2647	2517	2919	2658	2842	2317	2650	2822	2739					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	111150	1500	1550	2500	2200	2300	2550	2300	2500	2500	2450	2550	2050	2550	2650	2150	2100	1850	1300	2000	2000	2100	2350	2300	2450	2400	1950	2350	2250	2250	2200	1850	2300	2300	1800	2050	2400	2000	2300	2500	2250	2250	2400	2200	2550	2350	2350	2050	2350	2500	2250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	66325	910	1007	1627	1542	1414	1686	1567	1351	1887	1351	1391	1395	1504	1682	1262	1196	1017	776	1196	1157	1208	1478	1312	1520	1410	1134	1327	1210	1249	1355	1118	1422	1200	1120	1176	1208	1215	1380	1314	1230	1382	1412	1356	1538	1310	1605	1133	1303	1395	1387					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1685	8	1	34	37	37	26	28	25	22	25	33	17	24	18	42	23	11	8	28	39	35	52	89	42	50	20	39	35	60	45	31	38	29	23	37	19	27	59	37	23	30	37	55	18	61	30	29	35	63	51					
6	Число погашенных избирательных бюллетеней	43139	582	542	839	621	849	838	705	1124	591	1074	1126	638	1022	950	846	881	822	516	776	804	856	820	899	888	940	796	984	1005	941	800	701	840	1071	657	837	1173	758	861	1149	997	838	951	789	994	979	715	888	1012	1042	812					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1677	8	1	34	37	37	26	28	25	22	24	29	17	24	18	42	23	11	8	28	39	35	52	89	42	50	20	39	35	60	45	31	38	29	23	37	19	27	59	37	23	30	37	55	18	58	30	29	35	63	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65922	892	1003	1605	1532	1400	1679	1566	1351	1885	1347	1383	1380	1495	1677	1261	1192	1017	769	1188	1155	1207	1478	1311	1520	1404	1122	1288	1205	1249	1355	1111	1411	1190	1093	1165	1204	1208	1372	1308	1229	1379	1407	1326	1532	1274	1592	1131	1303	1384	1387					
9	Число недействительных избирательных бюллетеней	979	17	14	28	21	26	23	28	19	29	24	32	19	15	16	15	10	12	8	18	19	21	20	12	31	17	12	38	24	25	15	26	16	19	15	15	22	13	23	27	21	16	21	21	17	13	17	14	14	19	22					
10	Число действительных избирательных бюллетеней	66620	883	990	1611	1548	1411	1682	1566	1357	1878	1347	1380	1378	1504	1679	1288	1205	1016	769	1198	1175	1221	1510	1388	1531	1437	1130	1289	1216	1284	1385	1116	1433	1200	1101	1187	1201	1222	1408	1318	1231	1393	1423	1360	1533	1319	1605	1146	1324	1428	1416					
