Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Качканарская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34090	1790	1752	1751	1683	1740	1546	1763	1704	1755	1795	1878	1508	1654	1724	1638	1748	1702	1559	1736	1664									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30000	1500	1500	1500	1500	1500	1400	1500	1500	1500	1600	1600	1400	1500	1500	1500	1600	1500	1400	1500	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13508	694	726	866	785	505	574	442	664	521	843	818	642	533	615	574	810	705	656	849	686									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	436	20	32	41	40	15	20	9	18	16	17	58	19	16	5	25	6	19	29	25	6									
6	Число погашенных избирательных бюллетеней	16056	786	742	593	675	980	806	1049	818	963	740	724	739	951	880	901	784	776	715	626	808									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	436	20	32	41	40	15	20	9	18	16	17	58	19	16	5	25	6	19	29	25	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13508	694	726	866	785	505	574	442	664	521	843	818	642	533	615	574	810	705	656	849	686									
9	Число недействительных избирательных бюллетеней	337	24	29	31	12	22	15	4	17	9	16	25	13	8	7	19	24	15	14	25	8									
10	Число действительных избирательных бюллетеней	13607	690	729	876	813	498	579	447	665	528	844	851	648	541	613	580	792	709	671	849	684									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	651	21	30	40	40	30	30	30	30	30	40	30	30	30	30	30	40	40	30	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	96	0	4	4	3	2	5	1	7	5	7	6	12	2	7	5	10	5	5	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	5	4	2	3	9	1	4	3	7	7	5	4	1	2	1	6	0	6	2	9									
