Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
"Наименование Избирательной комиссии:    Барнаул, Октябрьская"																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №1908	УИК №1909	УИК №1910	УИК №1911									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70326	2516	2482	2134	1868	1726	2057	2040	2506	2482	2722	1710	2595	2187	2112	2159	2210	2537	2086	2608	2311	2127	2533	1532	2863	855	2401	1893	2200	1823	1164	2299	1374	1399	402	146	150	117									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52100	1850	1800	1500	1400	1300	1500	1500	1800	1800	2000	1200	1700	1600	1500	1600	1600	1800	1500	1900	1700	1500	1800	1100	2100	600	1750	1400	1600	1300	800	1600	1000	1050	650	500	300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25472	818	935	777	637	480	761	660	850	843	1137	726	1105	811	889	800	780	716	613	776	612	626	823	474	1081	377	745	835	748	686	619	933	592	468	388	132	106	113									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1390	52	8	39	23	15	8	52	75	26	42	19	11	14	28	27	38	57	18	54	37	9	102	56	25	15	49	44	165	117	16	54	20	18	0	13	44	0									
6	Число погашенных избирательных бюллетеней	25238	980	857	684	740	805	731	788	875	931	821	455	584	775	583	773	782	1027	869	1070	1051	865	875	570	994	208	956	521	687	497	165	613	388	564	262	355	150	387									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1390	52	8	39	23	15	8	52	75	26	42	19	11	14	28	27	38	57	18	54	37	9	102	56	25	15	49	44	165	117	16	54	20	18	0	13	44	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25448	818	934	774	637	475	755	657	850	843	1137	726	1102	811	889	800	780	716	613	776	612	626	821	474	1081	377	745	834	748	686	619	933	592	468	388	132	106	113									
9	Число недействительных избирательных бюллетеней	676	14	23	19	21	12	23	20	29	19	12	25	20	23	21	23	14	22	25	24	22	28	30	15	37	10	15	14	18	14	17	18	17	9	7	7	5	4									
10	Число действительных избирательных бюллетеней	26162	856	919	794	639	478	740	689	896	850	1167	720	1093	802	896	804	804	751	606	806	627	607	893	515	1069	382	779	864	895	789	618	969	595	477	381	138	145	109									
