Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
"Наименование Избирательной комиссии:    Уфа, Калининская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90					
1	"Число избирателей, внесенных в список избирателей"	145656	2839	2832	2617	2819	2744	2670	2686	2539	2359	2167	2032	2087	2146	2558	2432	2791	2756	2421	2746	1225	1447	2545	1319	2406	2544	2786	1975	2681	1803	2204	2700	2605	2446	2059	2501	2513	2757	2448	2341	2608	2267	2862	2048	2101	2540	2227	2164	1846	2630	1808	2229	2745	2688	2522	2413	2382	2422	2119	2191	2108	158	201	759	1370	71	510	121					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	140120	2720	2640	2510	2660	2580	2550	2530	2490	2260	2030	1890	1930	2100	2470	2380	2710	2640	2220	2660	1160	1330	2420	1290	2320	2470	2690	2600	2570	1750	2140	2600	2630	2320	1960	2420	2350	2660	2350	2230	2420	2150	2750	1980	2050	2400	2190	2080	2130	2400	1730	2100	2500	2560	2330	2270	2270	2250	1990	2100	2030	150	190	780	1370	70	510	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	102801	1890	1916	1881	1898	1919	1830	2035	1686	1372	1660	1587	1469	1570	1638	1702	2075	2021	2154	2090	958	887	1717	776	2011	1824	1849	1923	1829	1250	1763	1784	1861	1484	1496	1769	1636	2402	1689	1652	1933	1562	1713	1463	1607	1791	1489	1378	1793	1731	1282	1053	1909	1972	1724	1732	1570	1690	1442	1522	1412	134	155	436	701	70	471	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4805	150	20	51	39	50	48	43	40	74	27	141	16	33	15	27	58	25	31	8	14	48	70	209	22	40	63	52	97	30	29	105	240	138	116	41	64	52	37	31	31	95	278	57	84	65	72	184	53	52	58	67	42	65	56	31	65	54	32	48	69	2	7	136	669	0	39	0					
6	Число погашенных избирательных бюллетеней	32514	680	704	578	723	611	672	452	764	814	343	162	445	497	817	651	577	594	35	562	188	395	633	305	287	606	778	625	644	470	348	711	529	698	348	610	650	206	624	547	456	493	759	460	359	544	629	518	284	617	390	980	549	523	550	507	635	506	516	530	549	14	28	208	0	0	0	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4805	150	20	51	39	50	48	43	40	74	27	141	16	33	15	27	58	25	31	8	14	48	70	209	22	40	63	52	97	30	29	105	240	138	116	41	64	52	37	31	31	95	278	57	84	65	72	184	53	52	58	67	42	65	56	31	65	54	32	48	69	2	7	136	669	0	39	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	102784	1890	1916	1881	1898	1919	1830	2035	1686	1372	1660	1587	1469	1564	1637	1702	2075	2021	2154	2090	958	887	1717	776	2011	1824	1849	1923	1829	1250	1763	1784	1861	1484	1496	1769	1636	2402	1689	1652	1933	1562	1713	1463	1607	1791	1489	1378	1793	1731	1282	1043	1909	1972	1724	1732	1570	1690	1442	1522	1412	134	155	436	701	70	471	113					
9	Число недействительных избирательных бюллетеней	992	13	22	51	27	0	22	31	9	59	3	6	5	26	21	10	15	0	0	9	0	15	18	8	0	14	27	27	13	10	10	0	0	20	0	24	21	26	7	38	0	15	0	13	6	18	1	0	0	132	8	9	25	45	10	29	20	14	2	11	15	1	0	4	4	0	1	2					
10	Число действительных избирательных бюллетеней	106597	2027	1914	1881	1910	1969	1856	2047	1717	1387	1684	1722	1480	1571	1631	1719	2118	2046	2185	2089	972	920	1769	977	2033	1850	1885	1948	1913	1270	1782	1889	2101	1602	1612	1786	1679	2428	1719	1645	1964	1642	1991	1507	1685	1838	1560	1562	1846	1651	1332	1101	1926	1992	1770	1734	1615	1730	1472	1559	1466	135	162	568	1366	70	509	111					
