Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
"Наименование Избирательной комиссии:    Уфа, Калининская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89					
1	"Число избирателей, внесенных в списки избирателей"	141075	2883	2911	2303	2371	2768	2625	2853	2922	2878	2904	2791	2585	2593	2724	2410	2244	2726	1141	1408	1682	1204	2570	2027	2712	2830	2857	1920	1726	1594	2670	1571	2282	1866	2544	2829	2898	2570	2782	2107	2053	2592	2095	2406	2605	1525	2283	2500	1899	2277	2803	2432	2012	2419	2754	2166	1924	2196	2016	1452	1700	222	181	402	98	500	100	182					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	136080	2800	2800	2300	2350	2850	2800	2750	2850	2750	2850	2750	2450	2300	2650	2350	2200	2700	1100	1350	1550	1050	2300	2100	2650	2650	2500	1750	1550	1550	2650	1550	2250	1850	2550	2750	2650	2450	2550	2050	2050	2500	2000	2350	2450	1450	2250	2450	1850	2150	2550	2350	1850	2350	2700	2100	1900	2050	2050	1450	1650	200	180	400	100	500	100	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	112263	2191	2542	2100	1828	2184	2091	2387	2202	2310	2216	2318	2376	2065	2258	1899	1715	2197	1023	1091	1465	934	1721	1456	2309	2319	1868	995	1073	1189	2267	1379	1860	1310	2017	2444	2177	2424	2201	1680	1398	2020	1669	1831	2126	1244	1798	2111	1504	1773	2151	1915	1787	1845	2011	2060	1521	1916	1642	1141	1353	173	146	254	74	438	99	182					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4866	342	36	35	89	37	39	38	140	108	342	41	11	45	36	32	88	14	10	42	24	52	77	147	77	48	80	90	308	91	15	26	77	220	34	50	43	19	44	119	142	171	40	102	60	26	41	21	21	42	95	31	24	265	220	28	57	30	31	23	27	8	9	103	20	62	1	0					
6	Число погашенных избирательных бюллетеней	18951	267	222	165	433	629	670	325	508	332	292	391	63	190	356	419	397	489	67	217	61	64	502	497	264	283	552	665	169	270	368	145	313	320	499	256	430	7	305	251	510	309	291	417	264	180	411	318	325	335	304	404	39	240	469	12	322	104	377	286	270	19	25	43	6	0	0	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4866	342	36	35	89	37	39	38	140	108	342	41	11	45	36	32	88	14	10	42	24	52	77	147	77	48	80	90	308	91	15	26	77	220	34	50	43	19	44	119	142	171	40	102	60	26	41	21	21	42	95	31	24	265	220	28	57	30	31	23	27	8	9	103	20	62	1	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	112263	2191	2542	2100	1828	2184	2091	2387	2202	2310	2216	2318	2376	2065	2258	1899	1715	2197	1023	1091	1465	934	1721	1456	2309	2319	1868	995	1073	1189	2267	1379	1860	1310	2017	2444	2177	2424	2201	1680	1398	2020	1669	1831	2126	1244	1798	2111	1504	1773	2151	1915	1787	1845	2011	2060	1521	1916	1642	1141	1353	173	146	254	74	438	99	182					
9	Число недействительных избирательных бюллетеней	931	9	16	39	16	32	19	14	0	24	12	3	0	11	26	0	59	0	10	0	0	0	3	14	14	19	8	7	5	40	29	9	31	0	22	30	16	0	9	15	4	0	6	112	9	17	10	16	17	8	24	8	0	23	15	2	0	8	54	6	13	2	0	14	0	0	2	0					
10	Число действительных избирательных бюллетеней	116198	2524	2562	2096	1901	2189	2111	2411	2342	2394	2546	2356	2387	2099	2268	1931	1744	2211	1023	1133	1489	986	1795	1589	2372	2348	1940	1078	1376	1240	2253	1396	1906	1530	2029	2464	2204	2443	2236	1784	1536	2191	1703	1821	2177	1253	1829	2116	1508	1807	2222	1938	1811	2087	2216	2086	1578	1938	1619	1158	1367	179	155	343	94	500	98	182					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3130	65	50	50	44	60	55	59	69	65	75	109	80	54	64	40	50	40	20	20	24	20	65	60	44	60	64	24	20	34	54	35	60	24	54	54	60	54	64	50	50	60	54	64	64	29	90	75	34	44	50	44	40	40	64	50	40	64	54	38	39	10	10	20	10	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3125	65	50	50	44	60	55	59	69	65	75	107	80	54	64	40	50	40	20	20	24	20	65	58	44	60	64	23	20	34	54	35	60	24	54	54	60	54	64	50	50	60	54	64	64	29	90	75	34	44	50	44	40	40	64	50	40	64	54	38	39	10	10	20	10	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	727	7	9	6	14	3	11	7	11	4	4	4	9	9	20	0	22	4	4	12	9	5	12	15	9	8	11	8	10	6	2	2	5	10	4	8	8	13	4	6	8	2	7	10	8	6	3	3	11	10	10	8	10	1	0	10	21	1	14	6	4	10	4	3	0	164	23	55					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	1	1	1	1	0	0	6	0	2	0	2	0	1	2	0	1	1	0	0	2	0	1	0	3	1	2	0	0	1	2	1	0	2	1	0	0	4	1	1	0	0	2	0	4	0	2	0	0	1	2	2	1	1	0	2	1	6	2	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	1.Политическая партия «Аграрная партия России»	830	19	27	0	3	9	25	42	5	20	16	36	9	28	0	14	5	0	9	8	24	4	21	2	16	32	15	13	15	2	17	1	1	27	18	31	0	28	18	10	24	19	0	24	31	0	8	19	28	16	20	9	1	5	0	1	11	15	2	7	10	0	1	7	0	0	1	1					
		0.71%	0.75%	1.05%	0.00%	0.16%	0.41%	1.17%	1.73%	0.21%	0.83%	0.63%	1.53%	0.38%	1.33%	0.00%	0.73%	0.28%	0.00%	0.87%	0.71%	1.61%	0.41%	1.17%	0.12%	0.67%	1.35%	0.77%	1.20%	1.09%	0.16%	0.74%	0.07%	0.05%	1.76%	0.88%	1.24%	0.00%	1.15%	0.80%	0.56%	1.56%	0.87%	0.00%	1.24%	1.42%	0.00%	0.44%	0.89%	1.84%	0.88%	0.89%	0.46%	0.06%	0.24%	0.00%	0.05%	0.70%	0.77%	0.12%	0.60%	0.72%	0.00%	0.65%	1.96%	0.00%	0.00%	1.00%	0.55%					
19	2.Всероссийская политическая партия «Гражданская Сила»	564	0	20	0	18	6	15	22	1	24	17	32	0	19	0	3	13	0	15	5	14	7	0	5	10	18	10	7	4	6	10	7	6	7	19	13	0	2	15	8	13	9	0	14	11	0	3	20	25	5	17	7	1	6	0	2	6	11	15	10	7	0	2	2	0	0	0	0					
		0.48%	0.00%	0.78%	0.00%	0.94%	0.27%	0.70%	0.91%	0.04%	0.99%	0.66%	1.36%	0.00%	0.90%	0.00%	0.16%	0.72%	0.00%	1.45%	0.44%	0.94%	0.71%	0.00%	0.31%	0.42%	0.76%	0.51%	0.65%	0.29%	0.47%	0.44%	0.50%	0.31%	0.46%	0.93%	0.52%	0.00%	0.08%	0.67%	0.44%	0.84%	0.41%	0.00%	0.72%	0.50%	0.00%	0.16%	0.94%	1.64%	0.28%	0.76%	0.36%	0.06%	0.28%	0.00%	0.10%	0.38%	0.57%	0.90%	0.86%	0.51%	0.00%	1.29%	0.56%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	154	0	0	0	2	4	3	2	3	22	1	0	0	2	0	10	2	0	1	0	2	0	3	1	0	8	0	2	6	3	2	1	4	0	1	1	0	18	6	2	4	0	0	0	2	0	0	0	3	1	1	8	1	5	0	0	3	3	4	2	3	0	0	2	0	0	0	0					
		0.13%	0.00%	0.00%	0.00%	0.10%	0.18%	0.14%	0.08%	0.13%	0.91%	0.04%	0.00%	0.00%	0.09%	0.00%	0.52%	0.11%	0.00%	0.10%	0.00%	0.13%	0.00%	0.17%	0.06%	0.00%	0.34%	0.00%	0.18%	0.43%	0.23%	0.09%	0.07%	0.21%	0.00%	0.05%	0.04%	0.00%	0.74%	0.27%	0.11%	0.26%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.20%	0.06%	0.04%	0.41%	0.06%	0.24%	0.00%	0.00%	0.19%	0.15%	0.24%	0.17%	0.22%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14038	350	318	287	294	344	296	294	345	295	336	298	330	229	343	252	226	316	97	158	136	146	265	135	161	163	182	152	169	174	298	182	273	110	267	225	311	322	265	213	184	221	238	234	254	176	237	229	141	275	264	250	254	176	272	29	221	271	220	114	143	12	7	31	12	3	6	7					
		11.99%	13.82%	12.34%	13.44%	15.34%	15.49%	13.90%	12.12%	14.73%	12.20%	13.14%	12.63%	13.82%	10.85%	14.95%	13.05%	12.53%	14.29%	9.39%	13.95%	9.13%	14.81%	14.74%	8.42%	6.75%	6.89%	9.34%	14.01%	12.24%	13.59%	13.06%	12.95%	14.09%	7.19%	13.02%	9.02%	14.01%	13.18%	11.80%	11.84%	11.95%	10.09%	13.93%	12.11%	11.62%	13.86%	12.89%	10.74%	9.25%	15.15%	11.75%	12.85%	14.03%	8.34%	12.19%	1.39%	14.01%	13.93%	13.15%	9.79%	10.36%	6.63%	4.52%	8.68%	12.77%	0.60%	6.00%	3.85%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	815	10	10	0	13	3	8	11	96	20	28	20	5	12	0	10	19	0	11	7	1	4	25	14	33	19	26	11	27	3	12	2	10	8	7	17	0	18	19	27	11	14	11	10	20	6	7	23	10	16	17	12	12	1	18	1	12	16	14	11	5	0	1	0	0	0	1	0					
		0.70%	0.39%	0.39%	0.00%	0.68%	0.14%	0.38%	0.45%	4.10%	0.83%	1.09%	0.85%	0.21%	0.57%	0.00%	0.52%	1.05%	0.00%	1.06%	0.62%	0.07%	0.41%	1.39%	0.87%	1.38%	0.80%	1.33%	1.01%	1.96%	0.23%	0.53%	0.14%	0.52%	0.52%	0.34%	0.68%	0.00%	0.74%	0.85%	1.50%	0.71%	0.64%	0.64%	0.52%	0.91%	0.47%	0.38%	1.08%	0.66%	0.88%	0.76%	0.62%	0.66%	0.05%	0.81%	0.05%	0.76%	0.82%	0.84%	0.95%	0.36%	0.00%	0.65%	0.00%	0.00%	0.00%	1.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	251	0	8	0	7	5	9	3	1	18	4	0	0	1	0	3	5	0	1	6	2	0	2	4	2	8	9	4	0	3	5	8	0	4	7	10	0	15	2	3	4	0	1	3	6	0	5	4	4	4	7	15	12	5	0	1	4	7	4	2	2	1	1	0	0	0	0	0					
		0.21%	0.00%	0.31%	0.00%	0.37%	0.23%	0.42%	0.12%	0.04%	0.74%	0.16%	0.00%	0.00%	0.05%	0.00%	0.16%	0.28%	0.00%	0.10%	0.53%	0.13%	0.00%	0.11%	0.25%	0.08%	0.34%	0.46%	0.37%	0.00%	0.23%	0.22%	0.57%	0.00%	0.26%	0.34%	0.40%	0.00%	0.61%	0.09%	0.17%	0.26%	0.00%	0.06%	0.16%	0.27%	0.00%	0.27%	0.19%	0.26%	0.22%	0.31%	0.77%	0.66%	0.24%	0.00%	0.05%	0.25%	0.36%	0.24%	0.17%	0.14%	0.55%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5286	109	160	95	28	89	101	16	82	111	116	88	95	29	94	87	80	111	58	56	93	24	66	93	136	142	172	44	61	54	113	61	91	76	115	163	122	110	109	81	69	97	68	91	133	62	91	109	79	72	102	78	82	92	117	44	79	92	20	63	80	2	8	10	5	1	1	8					
		4.51%	4.30%	6.21%	4.45%	1.46%	4.01%	4.74%	0.66%	3.50%	4.59%	4.53%	3.73%	3.98%	1.37%	4.10%	4.51%	4.44%	5.02%	5.61%	4.94%	6.25%	2.43%	3.67%	5.80%	5.70%	5.99%	8.83%	4.06%	4.42%	4.22%	4.95%	4.34%	4.70%	4.97%	5.61%	6.54%	5.50%	4.50%	4.86%	4.50%	4.48%	4.43%	3.98%	4.71%	6.08%	4.88%	4.95%	5.11%	5.18%	3.97%	4.54%	4.01%	4.53%	4.36%	5.24%	2.11%	5.01%	4.73%	1.20%	5.41%	5.80%	1.10%	5.16%	2.80%	5.32%	0.20%	1.00%	4.40%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8514	190	180	155	137	174	147	182	170	167	191	165	167	177	197	136	122	166	98	83	106	76	136	115	190	251	140	76	105	91	158	99	140	115	149	175	161	173	205	124	111	158	129	131	157	93	128	149	107	127	157	136	136	148	156	19	118	136	118	87	104	14	12	27	7	38	8	14					
		7.27%	7.50%	6.98%	7.26%	7.15%	7.83%	6.90%	7.51%	7.26%	6.91%	7.47%	6.99%	6.99%	8.39%	8.59%	7.04%	6.77%	7.51%	9.49%	7.33%	7.12%	7.71%	7.56%	7.17%	7.96%	10.60%	7.19%	7.00%	7.60%	7.11%	6.92%	7.05%	7.23%	7.52%	7.26%	7.02%	7.25%	7.08%	9.13%	6.89%	7.21%	7.21%	7.55%	6.78%	7.18%	7.32%	6.96%	6.99%	7.02%	6.99%	6.99%	6.99%	7.51%	7.01%	6.99%	0.91%	7.48%	6.99%	7.05%	7.47%	7.54%	7.73%	7.74%	7.56%	7.45%	7.60%	8.00%	7.69%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	661	0	20	0	11	9	14	19	21	16	14	10	15	6	15	36	19	0	2	0	7	6	9	13	3	10	6	5	4	7	14	4	0	13	15	17	0	15	25	8	10	18	11	8	12	7	22	18	7	12	20	23	12	2	15	1	9	12	8	11	3	2	3	5	0	0	0	2					
		0.56%	0.00%	0.78%	0.00%	0.57%	0.41%	0.66%	0.78%	0.90%	0.66%	0.55%	0.42%	0.63%	0.28%	0.65%	1.86%	1.05%	0.00%	0.19%	0.00%	0.47%	0.61%	0.50%	0.81%	0.13%	0.42%	0.31%	0.46%	0.29%	0.55%	0.61%	0.28%	0.00%	0.85%	0.73%	0.68%	0.00%	0.61%	1.11%	0.44%	0.65%	0.82%	0.64%	0.41%	0.55%	0.55%	1.20%	0.84%	0.46%	0.66%	0.89%	1.18%	0.66%	0.09%	0.67%	0.05%	0.57%	0.62%	0.48%	0.95%	0.22%	1.10%	1.94%	1.40%	0.00%	0.00%	0.00%	1.10%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	84155	1820	1805	1559	1353	1535	1477	1798	1617	1675	1790	1664	1766	1565	1619	1372	1221	1618	712	804	1087	714	1260	1199	1811	1680	1360	764	969	896	1597	1027	1365	1156	1425	1799	1585	1712	1550	1283	1088	1642	1221	1275	1532	904	1317	1514	1080	1271	1598	1382	1286	1644	1623	1986	1105	1357	1210	844	984	148	118	258	70	458	81	150					
		71.85%	71.85%	70.02%	73.02%	70.58%	69.11%	69.34%	74.14%	69.04%	69.27%	69.98%	70.54%	73.98%	74.17%	70.58%	71.05%	67.72%	73.18%	68.93%	70.96%	73.00%	72.41%	70.08%	74.80%	75.90%	70.98%	69.82%	70.41%	70.17%	70.00%	69.98%	73.10%	70.47%	75.56%	69.48%	72.13%	71.40%	70.08%	69.04%	71.32%	70.65%	74.94%	71.45%	65.96%	70.08%	71.18%	71.62%	71.01%	70.82%	70.03%	71.15%	71.02%	71.01%	77.91%	72.75%	95.11%	70.03%	69.73%	72.33%	72.51%	71.30%	81.77%	76.13%	72.27%	74.47%	91.60%	81.00%	82.42%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	930	26	14	0	35	11	16	22	1	26	33	43	0	31	0	8	32	0	19	6	17	5	8	8	10	17	20	0	16	1	27	4	16	14	6	13	25	30	22	25	18	13	24	31	19	5	11	31	24	8	19	18	14	3	15	2	10	18	4	7	26	0	2	1	0	0	0	0					
		0.79%	1.03%	0.54%	0.00%	1.83%	0.50%	0.75%	0.91%	0.04%	1.08%	1.29%	1.82%	0.00%	1.47%	0.00%	0.41%	1.77%	0.00%	1.84%	0.53%	1.14%	0.51%	0.44%	0.50%	0.42%	0.72%	1.03%	0.00%	1.16%	0.08%	1.18%	0.28%	0.83%	0.92%	0.29%	0.52%	1.13%	1.23%	0.98%	1.39%	1.17%	0.59%	1.40%	1.60%	0.87%	0.39%	0.60%	1.45%	1.57%	0.44%	0.85%	0.92%	0.77%	0.14%	0.67%	0.10%	0.63%	0.92%	0.24%	0.60%	1.88%	0.00%	1.29%	0.28%	0.00%	0.00%	0.00%	0.00%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
