Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Кировская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40728	1948	1843	2016	1258	1469	1522	1780	1287	1193	1228	1044	1983	1786	343	415	252	1148	1321	1266	1054	138	226	713	704	2264	2059	513	1441	197	228	906	495	356	1160	1143	905	656	468									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31800	1500	1450	1575	975	1125	1200	1400	1000	925	975	825	1550	1400	275	325	200	900	1025	1000	850	100	175	550	550	1775	1600	400	1125	150	175	700	400	275	875	875	700	525	375									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16914	1014	688	987	486	582	574	611	354	374	403	508	711	753	113	204	58	422	503	576	537	92	107	367	382	787	858	218	536	83	108	497	269	149	556	593	384	301	169									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1301	67	39	54	39	39	34	41	36	31	57	37	35	49	11	9	13	51	63	54	60	6	6	29	13	63	86	23	28	10	6	37	17	10	44	27	31	30	16									
6	Число погашенных избирательных бюллетеней	13585	419	723	534	450	504	592	748	610	520	515	280	804	598	151	112	129	427	459	370	253	2	62	154	155	925	656	159	561	57	61	166	114	116	275	255	285	194	190									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1301	67	39	54	39	39	34	41	36	31	57	37	35	49	11	9	13	51	63	54	60	6	6	29	13	63	86	23	28	10	6	37	17	10	44	27	31	30	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16913	1014	688	987	486	581	574	611	354	374	403	508	711	753	113	204	58	422	503	576	537	92	107	367	382	787	858	218	536	83	108	497	269	149	556	593	384	301	169									
9	Число недействительных избирательных бюллетеней	434	19	23	53	3	13	16	12	16	5	11	24	21	27	6	3	3	4	12	13	17	0	1	13	5	25	13	0	20	1	6	5	11	2	16	4	3	5	3									
10	Число действительных избирательных бюллетеней	17780	1062	704	988	522	607	592	640	374	400	449	521	725	775	118	210	68	469	554	617	580	98	112	383	390	825	931	241	544	92	108	529	275	157	584	616	412	326	182									
