Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Калачеевская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645					
1	"Число избирателей, внесенных в список"	48316	2576	1868	2389	1551	2293	2418	1534	2282	341	184	2703	1349	1475	1661	898	513	604	449	157	786	1132	271	288	631	386	427	156	1656	2906	451	1057	849	1447	825	1554	468	124	620	1876	360	436	820	746	503	296					
2	Число полученных избирательных бюллетеней	47960	2480	1810	2220	1580	2200	2260	1470	2180	330	180	2750	1350	1470	1670	900	520	610	460	160	800	1140	270	300	660	390	450	160	1650	2990	450	1070	860	1450	840	1550	470	120	630	1900	380	440	830	750	500	310					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26845	1263	974	1168	881	1173	1020	716	999	211	88	1546	685	749	922	557	300	479	349	126	522	691	199	241	371	276	267	92	949	1645	315	505	427	876	557	938	258	67	417	1038	269	297	460	487	306	169					
5	"Число избирательных бюллетеней, выданных вне помещения"	4119	158	75	103	67	97	164	55	77	65	61	100	104	49	34	82	18	77	48	19	50	131	41	26	137	47	75	39	120	208	12	191	145	187	101	199	74	25	111	236	61	100	116	85	87	62					
6	Число погашенных избирательных бюллетеней	16996	1059	761	949	632	930	1076	699	1104	54	31	1104	561	672	714	261	202	54	63	15	228	318	30	33	152	67	108	29	581	1137	123	374	288	387	182	413	138	28	102	626	50	43	254	178	107	79					
7	Число избирательных бюллетеней в переносных ящиках	4119	158	75	103	67	97	164	55	77	65	61	100	104	49	34	82	18	77	48	19	50	131	41	26	137	47	75	39	120	208	12	191	145	187	101	199	74	25	111	236	61	100	116	85	87	62					
8	Число бюллетеней в стационарных ящиках для голосования	26838	1263	974	1168	879	1173	1018	716	999	211	88	1545	685	747	922	557	300	479	349	126	522	691	199	241	371	276	267	92	949	1645	315	505	427	876	557	938	258	67	417	1038	269	297	460	487	306	169					
9	Число недействительных избирательных бюллетеней	291	12	8	9	8	2	2	10	13	6	4	14	5	4	5	10	4	2	5	0	10	8	6	2	2	1	5	0	14	8	3	7	7	9	6	8	8	1	8	8	7	5	10	18	7	0					
10	Число действительных избирательных бюллетеней	30666	1409	1041	1262	938	1268	1180	761	1063	270	145	1631	784	792	951	629	314	554	392	145	562	814	234	265	506	322	337	131	1055	1845	324	689	565	1054	652	1129	324	91	520	1266	323	392	566	554	386	231					
11	Число полученных открепительных  удостоверений	306	5	5	8	8	16	5	7	7	2	1	12	2	17	7	15	2	3	3	3	3	5	5	2	2	3	2	2	5	63	3	2	3	6	6	11	6	2	4	18	14	3	2	2	2	2					
12	Число выданных открепительных удостоверений	217	4	3	6	1	14	3	7	5	0	1	10	0	9	6	9	0	3	0	0	2	3	5	2	2	2	1	0	2	55	1	1	3	4	6	11	6	1	2	13	10	2	0	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	133	14	16	5	3	5	1	4	2	1	1	5	5	7	2	5	0	1	1	2	2	3	1	1	0	3	0	0	0	20	2	1	1	2	1	1	1	4	0	4	1	0	3	1	1	0					
14	Число неиспользованных открепительных удостоверений	89	1	2	2	7	2	2	0	2	2	0	2	2	8	1	6	2	0	3	3	1	2	0	0	0	1	1	2	3	8	2	1	0	2	0	0	0	1	2	5	4	1	2	1	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	12	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	731	44	37	37	25	34	22	32	37	2	3	67	17	23	34	18	6	16	2	3	10	10	7	10	7	12	5	0	16	51	6	14	10	12	5	19	8	4	3	29	2	9	12	3	6	2					
		2.36%	3.10%	3.53%	2.91%	2.64%	2.68%	1.86%	4.15%	3.44%	0.72%	2.01%	4.07%	2.15%	2.89%	3.56%	2.82%	1.89%	2.88%	0.50%	2.07%	1.75%	1.22%	2.92%	3.75%	1.38%	3.72%	1.46%	0.00%	1.50%	2.75%	1.83%	2.01%	1.75%	1.13%	0.76%	1.67%	2.41%	4.35%	0.57%	2.28%	0.61%	2.27%	2.08%	0.52%	1.53%	0.87%					
19	. Малышкин Олег Александрович	973	40	28	41	26	39	37	31	25	10	13	46	33	35	46	40	16	13	20	9	19	31	8	1	4	4	5	4	38	71	25	17	16	18	7	24	8	1	11	44	10	8	23	12	12	4					
		3.14%	2.81%	2.67%	3.23%	2.75%	3.07%	3.13%	4.02%	2.32%	3.62%	8.72%	2.80%	4.18%	4.40%	4.81%	6.26%	5.03%	2.34%	5.04%	6.21%	3.32%	3.77%	3.33%	0.37%	0.79%	1.24%	1.46%	3.05%	3.55%	3.83%	7.65%	2.44%	2.80%	1.69%	1.06%	2.11%	2.41%	1.09%	2.08%	3.45%	3.03%	2.02%	3.99%	2.10%	3.05%	1.73%					
20	. Миронов Сергей Михайлович	282	17	10	12	7	16	10	14	13	0	4	17	9	5	6	9	1	6	2	0	2	5	0	3	4	1	2	0	7	29	4	1	6	7	3	6	3	0	4	13	1	2	9	8	3	1					
		0.91%	1.20%	0.95%	0.94%	0.74%	1.26%	0.85%	1.82%	1.21%	0.00%	2.68%	1.03%	1.14%	0.63%	0.63%	1.41%	0.31%	1.08%	0.50%	0.00%	0.35%	0.61%	0.00%	1.12%	0.79%	0.31%	0.58%	0.00%	0.65%	1.57%	1.22%	0.14%	1.05%	0.66%	0.46%	0.53%	0.90%	0.00%	0.76%	1.02%	0.30%	0.50%	1.56%	1.40%	0.76%	0.43%					
21	. Путин Владимир Владимирович	18455	774	548	737	474	700	676	440	587	197	96	906	541	477	583	446	228	331	278	91	365	421	130	193	337	142	193	68	697	1165	247	495	401	684	398	551	198	58	376	692	261	257	296	332	213	175					
		59.61%	54.47%	52.24%	57.99%	50.11%	55.12%	57.19%	57.07%	54.55%	71.38%	64.43%	55.08%	68.57%	59.92%	60.98%	69.80%	71.70%	59.53%	70.03%	62.76%	63.81%	51.22%	54.17%	72.28%	66.34%	43.96%	56.43%	51.91%	65.20%	62.87%	75.54%	71.12%	70.10%	64.35%	60.49%	48.46%	59.64%	63.04%	71.21%	54.32%	79.09%	64.74%	51.39%	58.04%	54.20%	75.76%					
22	. Хакамада Ирина Муцуовна	681	40	35	31	23	42	40	19	23	5	0	48	26	17	30	7	6	10	4	0	6	15	2	2	10	4	7	0	42	61	4	12	12	19	12	17	3	1	6	11	5	3	5	10	2	4					
		2.20%	2.81%	3.34%	2.44%	2.43%	3.31%	3.38%	2.46%	2.14%	1.81%	0.00%	2.92%	3.30%	2.14%	3.14%	1.10%	1.89%	1.80%	1.01%	0.00%	1.05%	1.82%	0.83%	0.75%	1.97%	1.24%	2.05%	0.00%	3.93%	3.29%	1.22%	1.72%	2.10%	1.79%	1.82%	1.50%	0.90%	1.09%	1.14%	0.86%	1.52%	0.76%	0.87%	1.75%	0.51%	1.73%					
23	. Харитонов Николай Михайлович	8920	449	352	375	363	401	372	209	353	48	29	505	149	204	221	96	56	172	80	39	155	321	85	56	139	155	123	57	225	394	32	145	113	306	219	500	101	26	113	452	39	106	216	181	147	41					
		28.81%	31.60%	33.56%	29.50%	38.37%	31.57%	31.47%	27.11%	32.81%	17.39%	19.46%	30.70%	18.88%	25.63%	23.12%	15.02%	17.61%	30.94%	20.15%	26.90%	27.10%	39.05%	35.42%	20.97%	27.36%	47.99%	35.96%	43.51%	21.05%	21.26%	9.79%	20.83%	19.76%	28.79%	33.28%	43.98%	30.42%	28.26%	21.40%	35.48%	11.82%	26.70%	37.50%	31.64%	37.40%	17.75%					
																																																				
24	Против всех	624	45	31	29	20	36	23	16	25	8	0	42	9	31	31	13	1	6	6	3	5	11	2	0	5	4	2	2	30	74	6	5	7	8	8	12	3	1	7	25	5	7	5	8	3	4					
