Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Щучанская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1100	УИК №1101	УИК №1102	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116					
1	"Число избирателей, внесенных в список избирателей"	19695	605	474	1361	482	333	874	365	856	1482	274	1885	474	305	132	297	633	185	127	398	419	116	202	271	510	131	864	189	453	208	187	95	796	132	117	505	342	132	90	348	56	275	112	57	333	96	43	850	224					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19440	600	470	1360	490	330	890	360	840	1490	270	1490	490	310	130	310	650	190	120	400	420	110	210	270	510	130	870	180	470	210	190	90	850	140	110	500	360	130	90	360	50	280	110	50	330	90	40	880	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9716	219	157	569	245	104	399	153	319	571	99	1381	237	162	73	179	280	102	50	252	239	82	106	140	313	51	434	96	206	109	109	51	245	69	51	301	210	79	63	138	32	202	82	35	172	55	31	376	88					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1111	21	8	53	20	13	13	17	21	19	9	74	36	29	21	17	47	15	14	0	0	0	19	29	33	25	59	11	37	12	14	7	64	0	12	66	27	5	1	50	11	8	12	5	20	9	2	96	30					
6	Число погашенных избирательных бюллетеней	8613	360	305	738	225	213	478	190	500	900	162	35	217	119	36	114	323	73	56	148	181	28	85	101	164	54	377	73	227	89	67	32	541	71	47	133	123	46	26	172	7	70	16	10	138	26	7	408	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1111	21	8	53	20	13	13	17	21	19	9	74	36	29	21	17	47	15	14	0	0	0	19	29	33	25	59	11	37	12	14	7	64	0	12	66	27	5	1	50	11	8	12	5	20	9	2	96	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9716	219	157	569	245	104	399	153	319	571	99	1381	237	162	73	179	280	102	50	252	239	82	106	140	313	51	434	96	206	109	109	51	245	69	51	301	210	79	63	138	32	202	82	35	172	55	31	376	88					
9	Число недействительных избирательных бюллетеней	149	4	0	8	2	1	6	0	4	8	5	13	1	3	0	2	6	4	0	5	0	1	5	3	3	0	13	4	4	2	1	0	10	0	0	10	5	0	0	0	0	1	0	0	2	0	0	11	2					
10	Число действительных избирательных бюллетеней	10678	236	165	614	263	116	406	170	336	582	103	1442	272	188	94	194	321	113	64	247	239	81	120	166	343	76	480	103	239	119	122	58	299	69	63	357	232	84	64	188	43	209	94	40	190	64	33	461	116					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	513	6	3	29	15	6	16	6	15	23	5	29	24	7	2	8	22	13	2	7	7	4	12	11	9	2	15	3	12	10	6	2	57	13	7	22	18	2	2	13	2	7	2	2	6	7	2	19	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	418	4	3	25	15	4	12	4	9	21	1	29	23	5	2	8	15	10	1	4	3	3	9	8	6	2	12	3	12	4	5	2	57	8	3	22	16	1	2	12	0	5	2	0	3	2	2	19	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	255	2	3	18	8	2	7	2	9	2	1	68	2	3	2	2	1	3	0	5	4	2	3	2	3	3	5	8	3	2	3	1	7	2	2	30	5	3	1	3	1	3	1	1	5	2	2	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	95	2	0	4	0	2	4	2	6	2	4	0	1	2	0	0	7	3	1	3	4	1	3	3	3	0	3	0	0	6	1	0	0	5	4	0	2	1	0	1	2	2	0	2	3	5	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	0	6	1	0	4	0	1	2	0	1	0	2	0	2	0	0	0	2	0	1	0	0	2	0	0	2	2	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	2	0	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1401	47	32	125	37	29	79	19	47	110	20	118	21	29	6	31	27	10	7	16	36	9	10	30	55	13	43	14	32	9	12	12	53	10	9	31	27	6	11	25	2	23	8	4	19	4	2	70	12					
		12.94%	19.58%	19.39%	20.10%	13.96%	24.79%	19.17%	11.18%	13.82%	18.64%	18.52%	8.11%	7.69%	15.18%	6.38%	15.82%	8.26%	8.55%	10.94%	6.35%	15.06%	10.98%	8.00%	17.75%	15.90%	17.11%	8.72%	13.08%	13.17%	7.44%	9.76%	20.69%	17.15%	14.49%	14.29%	8.45%	11.39%	7.14%	17.19%	13.30%	4.65%	10.95%	8.51%	10.00%	9.90%	6.25%	6.06%	14.83%	10.17%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1767	36	32	84	49	25	59	37	57	98	7	361	35	34	9	28	36	11	2	38	22	7	23	18	57	23	82	9	39	22	13	19	28	15	15	50	20	26	19	38	7	42	12	7	36	8	5	56	11					
		16.32%	15.00%	19.39%	13.50%	18.49%	21.37%	14.32%	21.76%	16.76%	16.61%	6.48%	24.81%	12.82%	17.80%	9.57%	14.29%	11.01%	9.40%	3.13%	15.08%	9.21%	8.54%	18.40%	10.65%	16.47%	30.26%	16.63%	8.41%	16.05%	18.18%	10.57%	32.76%	9.06%	21.74%	23.81%	13.62%	8.44%	30.95%	29.69%	20.21%	16.28%	20.00%	12.77%	17.50%	18.75%	12.50%	15.15%	11.86%	9.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	80	1	0	7	3	0	2	1	1	6	1	10	4	1	2	1	1	1	0	0	0	0	2	1	1	0	3	1	4	1	0	0	2	1	1	5	3	1	0	1	0	1	0	0	2	0	0	6	2					
		0.74%	0.42%	0.00%	1.13%	1.13%	0.00%	0.49%	0.59%	0.29%	1.02%	0.93%	0.69%	1.47%	0.52%	2.13%	0.51%	0.31%	0.85%	0.00%	0.00%	0.00%	0.00%	1.60%	0.59%	0.29%	0.00%	0.61%	0.93%	1.65%	0.83%	0.00%	0.00%	0.65%	1.45%	1.59%	1.36%	1.27%	1.19%	0.00%	0.53%	0.00%	0.48%	0.00%	0.00%	1.04%	0.00%	0.00%	1.27%	1.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1817	55	32	162	53	17	106	33	58	121	17	160	53	27	20	41	54	9	11	62	26	4	19	22	47	7	105	9	55	20	10	6	48	9	16	46	20	5	6	23	12	19	12	4	42	7	12	86	29					
		16.78%	22.92%	19.39%	26.05%	20.00%	14.53%	25.73%	19.41%	17.06%	20.51%	15.74%	10.99%	19.41%	14.14%	21.28%	20.92%	16.51%	7.69%	17.19%	24.60%	10.88%	4.88%	15.20%	13.02%	13.58%	9.21%	21.30%	8.41%	22.63%	16.53%	8.13%	10.34%	15.53%	13.04%	25.40%	12.53%	8.44%	5.95%	9.38%	12.23%	27.91%	9.05%	12.77%	10.00%	21.88%	10.94%	36.36%	18.22%	24.58%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	116	3	2	6	5	2	13	0	3	4	2	16	4	0	2	1	0	0	1	5	2	0	1	2	5	0	5	1	0	0	0	0	4	4	0	6	3	0	0	0	0	1	0	0	3	1	0	7	2					
